"","Mo_2019_320","Mo_2019_321","Mo_2019_322","Mo_2019_323","Mo_2019_324_B","Mo_2019_325","Mo_2019_326","Mo_2019_327","Mo_2019_328","Mo_2019_329","Mo_2019_330","Mo_2019_331","Mo_2019_332","Mo_2019_333","Mo_2019_334","Mo_2019_335","Mo_2019_336","Mo_2019_337","Mo_2019_338","Mo_2019_339","Mo_2019_340","Mo_2019_341","Mo_2019_342","Mo_2019_343","Mo_2019_344","Mo_2019_345","Mo_2019_346","Mo_2019_347","Mo_2019_348","Mo_2019_349","Mo_2019_350","Mo_2019_351","Mo_2019_352","Mo_2019_353","Mo_2019_543"
"13342_287.1675_6.2104_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13343_287.1676_7.2044_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13344_287.1677_7.5784_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13345_287.1677_7.743_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13346_287.1677_6.0808_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13347_287.1677_6.3479_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.231211e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13348_287.1678_3.8205_7398_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","3.706078e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.605420e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.409566e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.564201e+03","0.000000e+00","0.000000e+00","2.163624e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.202122e+03","0.000000e+00","2.373717e+03","3.773118e+03","0.000000e+00","3.329170e+03"
"13349_287.1678_7.8178_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13350_287.1678_6.9776_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13351_287.1678_7.092_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13352_287.1678_7.3564_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13354_287.1679_6.8376_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13357_287.1679_6.9157_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13358_287.168_3.5856_282_N/A_NA_no matches_no matches_no matches_no matches","3.028790e+03","0.000000e+00","3.899362e+03","0.000000e+00","5.158017e+03","0.000000e+00","1.475885e+04","7.990125e+03","0.000000e+00","3.826847e+03","4.630209e+03","0.000000e+00","3.001736e+03","0.000000e+00","5.502880e+03","2.034164e+04","5.754915e+03","3.442896e+03","0.000000e+00","3.548311e+03","3.941052e+03","2.909357e+03","2.932346e+03","0.000000e+00","4.379995e+03","0.000000e+00","0.000000e+00","0.000000e+00","2.563613e+03","3.194358e+03","2.797878e+03","0.000000e+00","2.477928e+04","4.070853e+04","2.706443e+04"
"13359_287.168_5.9788_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13362_287.1681_5.8342_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13364_287.1682_5.11_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","2.153090e+04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.700135e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","5.608054e+03","0.000000e+00","0.000000e+00","1.543942e+04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13368_287.1759_7.6998_-1_N/A_NA_no matches_no matches_no matches_no matches","2.232558e+04","1.297838e+04","2.781786e+04","1.575844e+04","1.170540e+04","0.000000e+00","0.000000e+00","0.000000e+00","2.803030e+04","0.000000e+00","0.000000e+00","1.324169e+04","4.676461e+04","1.134419e+04","0.000000e+00","0.000000e+00","0.000000e+00","2.519921e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.558439e+03","0.000000e+00","8.125626e+03","2.977976e+04","0.000000e+00","2.892857e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13369_287.1841_2.1476_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","2.767058e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.770715e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13372_287.1852_4.5495_1030_N/A_NA_no matches_no matches_no matches_no matches","3.034244e+04","2.967594e+04","1.795423e+04","8.329004e+03","2.305429e+04","2.848151e+04","5.304989e+04","4.339674e+04","3.680131e+04","2.043920e+04","3.302232e+04","2.402128e+04","3.629540e+04","3.564688e+04","3.230095e+04","4.673208e+04","2.695397e+04","2.983173e+04","3.370646e+04","2.576423e+04","4.086212e+04","3.036359e+04","3.880879e+04","1.530926e+04","3.793894e+04","3.233131e+04","3.088079e+04","3.249659e+04","2.110435e+04","4.120994e+04","3.176013e+04","4.182919e+04","5.511314e+04","4.906442e+04","4.199449e+04"
"13393_287.1966_3.227_1782_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","1.033835e+04","2.741434e+03","6.710372e+05","1.713914e+04","2.018062e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.796517e+03","0.000000e+00","0.000000e+00","2.191187e+03","0.000000e+00","0.000000e+00","2.530300e+03","3.627460e+03","0.000000e+00","4.105617e+05","1.428927e+04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.981113e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13423_287.2147_6.3961_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.186826e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13426_287.233_8.7323_1456_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13434_287.2371_7.5782_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","2.411863e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.282135e+03","0.000000e+00","0.000000e+00","0.000000e+00","2.008184e+03","0.000000e+00","0.000000e+00","2.437470e+03","0.000000e+00","0.000000e+00","2.716885e+03","2.398252e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13435_287.2371_7.407_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.282135e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.716885e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13443_287.2372_8.9015_601_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","4.393868e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.010604e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.079041e+03","0.000000e+00","0.000000e+00","1.029810e+04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.284145e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13444_287.2373_6.4847_1030_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13457_288.0813_6.4202_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13459_288.1004_2.0048_3436_N/A_NA_no matches_no matches_no matches_no matches","1.354641e+05","5.389101e+04","4.425107e+05","0.000000e+00","2.045438e+05","0.000000e+00","2.204142e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.768724e+05","1.495642e+05","1.870008e+05","0.000000e+00","0.000000e+00","0.000000e+00","2.196196e+03","2.941109e+03","1.308851e+04","4.646842e+03","5.818329e+04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.185123e+04","8.293104e+03","2.298071e+04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13461_288.1008_1.6456_3436_N/A_NA_no matches_no matches_no matches_no matches","1.036271e+05","3.946950e+04","6.717088e+05","2.331074e+03","2.901133e+04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.325188e+05","1.521769e+05","2.211034e+05","0.000000e+00","0.000000e+00","0.000000e+00","4.223466e+03","0.000000e+00","4.726675e+04","0.000000e+00","4.808403e+04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.601682e+04","2.759270e+03","1.075864e+04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13467_288.1235_0.6757_3436_N/A_NA_no matches_no matches_no matches_no matches","2.282391e+04","1.435139e+04","6.727903e+03","1.057025e+04","1.237923e+04","2.135464e+04","1.097011e+04","4.282367e+04","1.646061e+04","4.196303e+04","1.239036e+04","2.310936e+04","4.596572e+04","2.597184e+04","1.305871e+04","1.276792e+04","2.259447e+04","3.501836e+04","3.631356e+04","1.236575e+04","1.250673e+04","1.910043e+04","4.089711e+04","3.042928e+04","2.189842e+04","1.356685e+04","1.962132e+04","1.174820e+04","2.660953e+04","1.432341e+04","2.490525e+04","3.494341e+04","3.878200e+04","4.810196e+04","2.019100e+04"
"13468_288.1246_6.8915_-1_N/A_NA_no matches_no matches_no matches_no matches","2.896962e+03","0.000000e+00","0.000000e+00","1.528588e+05","2.087009e+03","6.650102e+03","2.563259e+03","2.305709e+03","2.088349e+03","0.000000e+00","5.927915e+04","2.238796e+03","0.000000e+00","0.000000e+00","3.740055e+03","0.000000e+00","0.000000e+00","2.444456e+03","2.538820e+03","0.000000e+00","2.178697e+05","2.058594e+03","2.270100e+03","0.000000e+00","0.000000e+00","2.398078e+03","2.748966e+03","5.167850e+04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.150302e+03","0.000000e+00","0.000000e+00"
"13493_288.1596_3.4581_804_N/A_NA_no matches_no matches_no matches_no matches","3.947808e+04","2.100173e+04","2.038977e+04","1.510506e+04","1.914122e+04","3.686364e+04","3.047040e+04","2.158794e+04","3.960991e+04","1.429606e+04","1.657020e+04","5.506517e+04","1.794801e+04","2.862664e+04","3.952513e+04","9.592066e+04","1.727370e+04","1.578728e+04","3.469716e+04","1.831775e+04","2.341474e+04","1.863918e+04","1.635121e+04","3.197963e+04","1.723249e+04","1.980272e+04","5.211009e+04","2.234109e+04","3.555333e+04","2.551826e+04","2.998177e+04","1.619554e+04","3.220182e+04","2.481208e+04","2.983238e+04"
"13517_288.1918_1.9819_8399_N/A_NA_no matches_no matches_no matches_no matches","2.950218e+03","0.000000e+00","3.729608e+03","1.332645e+05","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.536681e+04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13534_288.2032_0.9911_-1_Spectral Match to Ile-Arg from NIST14_Spectral Match to Ile-Arg from NIST14_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues","1.390069e+05","2.741256e+04","2.442730e+04","3.306667e+05","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.087985e+05","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.480000e+04","0.000000e+00","0.000000e+00","0.000000e+00","3.651521e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13557_288.2283_2.0998_8399_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13564_288.2533_4.5588_1017_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.356126e+03","0.000000e+00"
"13566_288.2534_4.6385_1017_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13568_288.2534_5.2387_1931_N/A_NA_no matches_no matches_no matches_no matches","3.081189e+03","0.000000e+00","4.624818e+03","2.420692e+04","1.024757e+04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.162994e+03","3.775285e+03","2.139269e+04","8.457674e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.781956e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13572_288.2534_4.7864_1017_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13577_288.2647_7.611_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.179181e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"13599_289.0716_0.6936_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.940518e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
