CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
35922	40196	8	0.8986	-44.026
39005	71831	8	0.8286	207.100
34882	152927	8	0.9528	-0.036
46710	71831	8	0.8251	44.026
35922	71831	8	0.7186	163.037
35922	156315	8	0.7219	163.012
72419	156315	8	0.7223	163.012
40196	110853	8	0.7086	251.017
37801	40196	8	0.947	-44.026
35191	88279	8	0.8052	-44.027
39005	110853	8	0.7208	251.053
35922	140786	8	0.8556	13.942
71831	88279	8	0.8949	-44.016
40196	152927	8	0.8685	43.953
39005	156315	8	0.839	207.074
35922	37801	8	0.9504	-0.000
35922	88279	8	0.7408	119.022
40196	88279	8	0.8463	163.048
34882	35922	8	0.9552	0.037
84912	220556	9	0.8531	235.142
151142	200841	9	0.9289	-0.037
51663	105569	9	0.9246	28.031
50939	162388	9	0.8624	18.046
71707	250160	9	0.8588	-145.146
71935	103397	9	0.9072	-35.001
35923	39444	9	0.8831	35.000
38862	41133	9	0.9196	-55.042
49604	162388	9	0.8886	18.046
71935	93672	9	0.9447	0.036
40974	201228	9	0.9166	-0.073
38185	60227	9	0.9513	-0.036
51663	87764	9	0.848	86.073
34899	101591	9	0.8995	105.990
53756	91842	9	0.9069	128.083
35566	151142	9	0.9634	0.000
37396	38639	9	0.9479	0.047
105285	212678	9	0.8623	-0.036
34899	72886	9	0.9302	0.036
38862	71935	9	0.9006	35.001
43787	220556	9	0.9471	0.000
38295	38639	9	0.948	-0.000
42181	101845	9	0.9591	0.000
37423	39533	9	0.9161	0.001
39211	47997	9	0.8886	70.964
36466	74650	9	0.8565	-105.079
41517	91821	9	0.8708	55.031
38862	69218	9	0.9129	35.001
53001	162388	9	0.8602	-215.105
43787	93672	9	0.922	156.079
36051	74888	9	0.8489	146.022
77808	93305	9	0.9872	0.000
37423	39444	9	0.9298	44.027
71485	197370	9	0.9993	0.000
77808	162388	9	0.9775	0.036
37423	101591	9	0.871	172.038
127548	207384	9	0.9007	-28.031
49702	71935	9	0.8687	35.074
69218	101591	9	0.9045	-0.036
36506	41133	9	0.918	-55.078
71485	263630	9	0.8919	172.089
38295	38450	9	0.961	0.000
76825	89240	9	0.9122	200.032
47258	99357	9	0.8832	-0.048
51663	127548	9	0.8958	42.047
38862	103397	9	0.9961	0.000
38639	44019	9	0.936	105.990
39211	101657	9	0.9266	-16.979
93305	130869	9	0.9676	-0.036
39679	44019	9	0.928	17.995
35939	41517	9	0.8491	-55.031
35923	74987	9	0.91	-172.111
101295	102516	9	0.947	0.022
102634	200757	9	0.8534	112.053
77808	130869	9	0.9833	-0.036
102065	162388	9	0.8859	17.974
38031	101657	9	0.9056	-16.979
38667	72886	9	0.8758	145.146
69218	127411	9	0.948	-156.080
127548	197205	9	0.8548	17.026
54224	76825	9	0.8803	-128.036
42181	170204	9	0.9996	-0.073
49604	200841	9	0.8733	172.110
43999	101845	9	0.9737	0.000
89074	220556	9	0.9459	-200.069
39324	204364	9	0.9668	0.036
102065	150850	9	0.8566	100.017
39444	75236	9	0.9143	-0.036
250160	254105	9	0.9048	-88.017
75236	102634	9	0.8794	-71.985
103193	197370	9	0.8554	-172.089
35444	38450	9	0.8807	0.036
36506	49702	9	0.9745	-0.109
39444	75010	9	0.8741	-72.057
53756	84912	9	0.8844	-71.985
72112	89074	9	0.8714	0.036
53001	76825	9	0.8661	-53.999
44846	207384	9	0.8455	-72.057
76825	89074	9	0.8888	200.069
43787	76825	9	0.9382	0.000
40974	84912	9	0.86	-128.084
81392	250160	9	0.8683	-17.974
38450	72886	9	0.8674	0.000
72112	104088	9	0.8505	-200.032
122341	151835	9	0.9775	-17.026
96881	204364	9	0.9568	0.000
44019	71935	9	0.9505	0.000
72647	193789	9	0.8561	58.042
36506	39211	9	0.8914	-71.073
43787	89074	9	0.8873	200.069
204364	254105	9	0.9572	-0.036
38185	47997	9	0.8869	70.964
40045	75062	9	0.979	44.026
36506	38185	9	0.8955	-71.073
39533	75062	9	0.8961	-17.026
38295	72886	9	0.8836	0.000
38817	39324	9	0.9668	-0.000
45721	50939	9	0.8786	-30.010
38185	39211	9	0.9834	0.000
38817	96881	9	0.9568	0.036
50377	87764	9	0.854	72.057
38862	44019	9	0.9358	35.001
44019	127411	9	0.9211	-156.080
38185	72886	9	0.9007	0.047
101657	103397	9	0.9322	88.016
34899	71707	9	0.9551	0.036
39324	254105	9	0.9989	0.000
74888	76825	9	0.8972	-200.032
35566	52674	9	0.8948	-200.142
45721	49604	9	0.8789	-30.010
43787	89240	9	0.917	200.032
102218	254105	9	0.957	-0.073
122341	151142	9	0.8998	-17.026
35674	74650	9	0.9113	-0.036
44019	103397	9	0.9425	-35.001
75062	197205	9	0.8846	17.026
38031	39211	9	0.9938	0.000
39211	60227	9	0.9543	-0.036
36506	38640	9	0.9106	-55.031
50939	74987	9	0.9129	0.036
102065	122341	9	0.905	189.100
44846	75062	9	0.9005	-44.026
102065	151835	9	0.9008	172.074
197370	263630	9	0.8901	172.089
81392	170204	9	0.9252	0.000
37396	60227	9	0.8962	-0.036
60227	71707	9	0.9141	0.084
96881	254105	9	0.9998	-0.036
40045	101845	9	0.9963	0.036
53756	76825	9	0.8504	163.157
72647	201228	9	0.9785	-0.037
38667	74650	9	0.8596	-14.016
105569	207384	9	0.864	-14.016
75236	102065	9	0.8638	-207.038
89240	127411	9	0.9121	-200.070
102065	200841	9	0.8861	172.038
54224	89240	9	0.8606	71.996
42565	75062	9	0.8806	14.016
38185	101657	9	0.8905	-16.979
38031	38295	9	0.9308	0.047
93305	200634	9	0.9999	0.000
39211	71707	9	0.9728	0.047
38031	60227	9	0.9278	-0.036
77808	102065	9	0.8802	-17.938
102218	250160	9	0.8583	87.944
75062	105569	9	0.8462	-14.016
38640	69218	9	0.916	89.995
201228	279986	9	0.8417	58.042
42181	43999	9	0.9722	0.000
36466	71485	9	0.8438	18.010
35566	151835	9	0.9418	0.000
40045	254105	9	0.8656	-106.028
39533	127548	9	0.9322	-17.026
39679	105010	9	0.9503	-0.027
36051	53001	9	0.9023	-0.011
76825	127411	9	0.9376	-0.038
39679	93672	9	0.9225	18.031
40045	43999	9	0.976	0.036
34899	38031	9	0.9748	-0.011
71485	103193	9	0.8573	172.089
38295	39211	9	0.9423	-0.047
75062	162388	9	0.8563	-128.048
35566	200841	9	0.9422	-0.037
39679	86850	9	0.8918	17.995
43787	53001	9	0.8597	54.000
42565	162388	9	0.8429	-114.033
41133	105010	9	0.9166	72.021
39211	72886	9	0.9255	0.047
49604	77808	9	0.8759	18.010
50939	102065	9	0.9618	0.072
49604	151142	9	0.8841	172.147
36051	89074	9	0.8441	146.058
50377	75062	9	0.8983	28.031
39444	151142	9	0.9112	-35.000
38639	101657	9	0.9592	-17.027
72112	89240	9	0.9209	0.000
49702	101657	9	0.8983	-87.943
69218	73413	9	0.929	-156.079
73413	91842	9	0.8449	-35.036
50939	102634	9	0.8596	135.125
49604	102065	9	0.9958	0.072
43787	104088	9	0.961	0.000
34899	37396	9	0.9942	-0.011
102316	151835	9	0.8623	172.111
47997	93672	9	0.9141	35.110
43787	127411	9	0.9462	-0.037
41133	47997	9	0.9257	54.969
40974	72647	9	0.9369	-0.036
39444	49604	9	0.884	-207.147
40045	87764	9	0.9101	88.052
53001	89074	9	0.889	146.069
70532	73413	9	0.8866	18.010
37396	71707	9	0.9575	0.047
50377	127548	9	0.8782	28.031
35939	193789	9	0.877	-72.021
75236	150850	9	0.8506	-107.021
43999	254105	9	0.8455	-106.064
49604	122341	9	0.8721	189.173
42565	51663	9	0.9119	-28.031
39679	47997	9	0.932	-17.078
60227	122341	9	0.8711	-39.948
74888	104088	9	0.9148	-200.032
162388	207384	9	0.883	100.017
34899	101657	9	0.9043	-16.990
36506	47997	9	0.9848	-0.109
36466	41517	9	0.9091	-28.031
104088	220556	9	0.9655	0.000
50939	52674	9	0.9076	-27.996
53001	220556	9	0.8846	-54.000
39533	81392	9	0.8591	-61.089
39059	101295	9	0.8724	-72.043
50377	162388	9	0.8884	-100.017
38862	49702	9	0.9777	-0.073
49702	105010	9	0.9232	17.052
93672	101657	9	0.9025	-123.053
50377	75010	9	0.9044	17.026
70532	220556	9	0.8535	18.047
38862	93672	9	0.9296	35.037
130869	162388	9	0.9833	0.073
84912	201228	9	0.8935	128.011
35939	279986	9	0.8696	-72.057
122341	200757	9	0.8862	58.006
37423	75010	9	0.8548	-28.030
37423	197205	9	0.9239	0.000
76825	201228	9	0.897	-107.131
39679	71935	9	0.8816	17.995
130869	200634	9	0.9671	0.036
50939	151835	9	0.9207	172.147
39444	197370	9	0.886	-14.016
38640	105010	9	0.9007	71.974
40045	51663	9	0.8582	1.979
43787	47258	9	0.8466	112.053
76825	84912	9	0.8921	-235.142
102065	130869	9	0.8999	17.901
41517	102516	9	0.9166	-16.990
38640	38862	9	0.9325	54.995
39324	101845	9	0.8675	106.064
38667	254105	9	0.9008	-88.017
39679	69218	9	0.9185	17.995
72112	74888	9	0.92	0.000
53756	73413	9	0.9301	163.120
51663	207384	9	0.9178	14.016
40045	127548	9	0.9557	44.026
37423	75062	9	0.9255	-17.025
37423	200757	9	0.9007	84.058
69218	74888	9	0.8932	43.990
36466	197370	9	0.8427	18.011
38640	47997	9	0.9294	54.922
35444	71707	9	0.8905	0.036
53001	74888	9	0.8908	146.033
96881	250160	9	0.9056	87.981
35566	35923	9	0.9825	0.000
39679	41133	9	0.8824	-72.048
47997	105010	9	0.9358	17.052
92643	102632	9	0.908	0.000
38817	254105	9	0.9572	-0.000
39444	71485	9	0.8853	-14.016
43787	72112	9	0.8417	200.032
69218	93672	9	0.9614	0.036
53001	89240	9	0.907	146.033
38639	39211	9	0.9732	-0.047
38234	92643	9	0.8835	-17.027
