Well,Plate,Plate_Well,Sample
C6,3,03-Well-C6,PC_BL3_T7H_E
C7,3,03-Well-C7,PC_BL3_T7H_F
C8,3,03-Well-C8,PC_HE1_T7C_A
C9,3,03-Well-C9,PC_HE1_T7C_B
C10,3,03-Well-C10,PC_HE1_T7C_C
C11,3,03-Well-C11,PC_HE1_T7C_D
C12,3,03-Well-C12,PC_HE1_T7C_E
D1,3,03-Well-D1,PC_HE1_T7C_F
D2,3,03-Well-D2,PC_HE1_T7H_A
D3,3,03-Well-D3,PC_HE1_T7H_B
D4,3,03-Well-D4,PC_HE1_T7H_C
D5,3,03-Well-D5,PC_HE1_T7H_D
D6,3,03-Well-D6,PC_HE1_T7H_E
D7,3,03-Well-D7,PC_HE1_T7H_F
D8,3,03-Well-D8,PC_HE2_T7C_A
D9,3,03-Well-D9,PC_HE2_T7C_B
D10,3,03-Well-D10,PC_HE2_T7C_C
D11,3,03-Well-D11,PC_HE2_T7C_D
D12,3,03-Well-D12,PC_HE2_T7C_E
E1,3,03-Well-E1,PC_HE2_T7C_F
E2,3,03-Well-E2,PC_HE2_T7H_A
E3,3,03-Well-E3,PC_HE2_T7H_B
E4,3,03-Well-E4,PC_HE2_T7H_C
E5,3,03-Well-E5,PC_HE2_T7H_D
E6,3,03-Well-E6,PC_HE2_T7H_E
E7,3,03-Well-E7,PC_HE2_T7H_F
E8,3,03-Well-E8,PC_HE3_T7C_A
E9,3,03-Well-E9,PC_HE3_T7C_B
E10,3,03-Well-E10,PC_HE3_T7C_C
E11,3,03-Well-E11,PC_HE3_T7C_D
E12,3,03-Well-E12,PC_HE3_T7C_E
F1,3,03-Well-F1,PC_HE3_T7C_F
F2,3,03-Well-F2,PC_HE3_T7H_A
F3,3,03-Well-F3,PC_HE3_T7H_B
F4,3,03-Well-F4,PC_HE3_T7H_C
F5,3,03-Well-F5,PC_HE3_T7H_D
F6,3,03-Well-F6,PC_HE3_T7H_E
F7,3,03-Well-F7,PC_HE3_T7H_F
F8,3,03-Well-F8,PC_BL1_T7C_E_v1
F9,3,03-Well-F9,milliq1
F10,3,03-Well-F10,milliq2
F11,3,03-Well-F11,milliq3
