Tube Name:,Plate,Well,Sample ID:,All Events ,include Events,Sym-FSC Events,Sym-SSC Events,All Events  Events/μL(V),include Events/μL(V),Sym-FSC Events/μL(V),Sym-SSC Events/μL(V),Notes,Run Volume,Run Speed (uL/min),Run Time (seconds),starting time gate (seconds),run time for data collection (seconds),volume for data collection (uL),events/event*ul-1,include events/events*uL-1,symFSC events/symFSC events*uL-1,Sym-FSC Events/μL(V)_corrected,Sym-FSC Events/μL(V),symFSC_diff_percentage,Sym-SSC Events/μL(V)_corrected,Sym-SSC Events/μL(V),symSSC_diff_percentage
03-Well-B4,3,B4,,32930,23337,5443,4793,274.34,253.76,45.35,39.93,,120,60,120,10,110,110,120.033535,91.96484868,120.0220507,49.48181818,45.35,1.091109552,43.57272727,39.93,0.916398915
03-Well-B5,3,B5,,34602,24322,153,169,288.17,264.35,1.27,1.41,,120,60,120,10,110,110,120.0749558,92.00680915,120.4724409,1.390909091,1.27,1.095204009,1.536363636,1.41,0.917751479
03-Well-B6,3,B6,,4267,2043,200,267,35.53,22.2,1.67,2.22,Use Sym-SSC Sym-SSC Events/μL(V),120,60,120,10,110,110,120.0956938,92.02702703,119.760479,1.818181818,1.67,1.088731628,2.427272727,2.22,0.914606742
03-Well-B7,3,B7,,3010,2287,74,37,25.07,24.86,0.62,0.31,,120,60,120,10,110,110,120.0638213,91.99517297,119.3548387,0.672727273,0.62,1.085043988,0.336363636,0.31,0.921621622
03-Well-B8,3,B8,,2125,1572,219,104,17.69,17.08,1.82,0.87,,120,60,120,10,110,110,120.124364,92.03747073,120.3296703,1.990909091,1.82,1.093906094,0.945454545,0.87,0.920192308
03-Well-B9,3,B9,,6591,4747,1633,888,54.89,51.59,13.6,7.4,,120,60,120,10,110,110,120.0765167,92.01395619,120.0735294,14.84545455,13.6,1.09157754,8.072727273,7.4,0.916666667
03-Well-B10,3,B10,,3593,2603,949,573,29.93,28.3,7.91,4.77,,120,60,120,10,110,110,120.0467758,91.97879859,119.9747155,8.627272727,7.91,1.090679232,5.209090909,4.77,0.915706806
03-Well-B11,3,B11,,79966,58896,425,390,666.2,640.41,3.54,3.25,Use Sym-SSC Sym-SSC Events/μL(V),120,60,120,10,110,110,120.0330231,91.96608423,120.0564972,3.863636364,3.54,1.091422702,3.545454545,3.25,0.916666667
03-Well-B12,3,B12,,84851,59299,6616,5311,706.98,644.89,55.12,44.25,,120,60,120,10,110,110,120.0189539,91.95211586,120.0290276,60.14545455,55.12,1.091172978,48.28181818,44.25,0.916494069
03-Well-C1,3,C1,,1859,1212,4,1,15.49,13.18,0.03,0.01,,120,60,120,10,110,110,120.0129116,91.95751138,133.3333333,0.036363636,0.03,1.212121212,0.009090909,0.01,1.1
