CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
990	1100	7	0.906	44.026
1133	2537	7	0.9339	-132.078
7372	8051	7	0.953	44.026
5582	7372	7	0.9352	-44.027
5582	7233	7	0.9167	43.990
1089	1115	7	0.9446	-132.079
1060	1401	7	0.9732	-88.052
1421	8051	7	0.9093	-44.006
1069	1089	7	0.9698	44.026
1100	5866	7	0.9593	0.020
1060	1069	7	0.9231	78.069
1301	7806	7	0.9048	-44.006
1069	1133	7	0.9179	-122.095
1965	7960	7	0.9076	220.131
1115	11811	7	0.9282	88.073
1012	1133	7	0.9548	-132.079
5073	8903	8	0.9076	0.000
6856	8903	8	0.9196	0.000
6856	7723	8	0.9347	0.036
7723	8903	8	0.9076	-0.036
6488	8929	9	0.7224	242.170
1963	9876	10	0.9214	-0.036
2152	4831	11	0.9233	-16.990
333	6461	11	0.9131	44.955
926	9276	11	0.9185	-154.039
3066	3511	11	0.9983	0.023
1056	9092	11	0.995	-0.036
1029	3268	11	0.9481	-0.073
6461	7487	11	0.9789	0.103
8483	8488	11	0.888	-91.100
3511	8649	11	0.9598	-140.156
914	2143	11	0.9793	0.000
2060	2696	11	0.9911	-0.015
2143	9092	11	0.9253	102.068
1029	1056	11	0.9001	46.042
926	2194	11	0.8822	84.094
868	6074	11	0.9257	-28.046
1367	10758	11	0.9695	-0.032
7880	8649	11	0.9329	0.001
7487	8488	11	0.9785	-17.027
488	11997	11	0.8885	-24.995
7352	8649	11	0.9484	-196.219
1320	11997	11	0.9989	0.000
868	1650	11	0.8982	73.089
1650	8483	11	0.8818	-24.000
926	7352	11	0.886	112.125
3066	8649	11	0.9582	-140.133
6461	8488	11	0.9528	-16.925
2448	6461	11	0.9188	-42.113
926	3511	11	0.9061	56.063
3511	7880	11	0.9611	-140.157
1621	2143	11	0.94	-74.073
926	8649	11	0.9044	-84.094
1650	10758	11	0.882	-114.100
827	6074	11	0.9678	-0.015
7352	9276	11	0.9128	-266.164
1056	1621	11	0.9541	-28.031
4332	4831	11	0.9618	-17.027
868	7487	11	0.9127	-24.984
868	2448	11	0.96	17.027
914	1510	11	0.906	20.005
8649	9276	11	0.9247	-69.945
811	7487	11	0.9244	-42.011
1029	2060	11	0.891	45.984
827	868	11	0.9517	28.031
7880	9276	11	0.9137	-69.944
244	1621	11	0.9176	186.198
1621	9092	11	0.9205	27.995
1367	1653	11	0.8966	-17.027
244	914	11	0.9467	112.125
1510	2448	11	0.8955	-102.068
3066	9276	11	0.94	-210.078
1653	10758	11	0.9365	16.995
6461	8483	11	0.9445	74.176
914	1621	11	0.951	74.073
2060	4332	11	0.8918	-14.016
1056	2143	11	0.9416	-102.104
1621	7352	11	0.9258	50.039
244	9092	11	0.9175	214.193
2448	6074	11	0.8964	-45.073
488	2060	11	0.8951	-2.963
914	1056	11	0.9442	102.105
1029	2143	11	0.8817	-56.062
2448	7487	11	0.9018	-42.011
3511	9276	11	0.9427	-210.101
926	3066	11	0.9084	56.039
1650	6461	11	0.8985	-98.176
914	1029	11	0.8914	56.063
811	2448	11	0.9748	0.000
333	7487	11	0.9433	45.058
1510	2143	11	0.8829	-20.005
811	6074	11	0.8834	-45.073
811	827	11	0.9067	-45.058
244	2143	11	0.9709	112.125
7352	7880	11	0.9594	-196.220
2194	2458	11	0.991	-0.024
7487	8483	11	0.9269	74.073
811	1510	11	0.8955	102.068
827	2448	11	0.9099	45.058
244	1056	11	0.928	214.230
1650	2448	11	0.9467	-56.062
868	6461	11	0.9046	-25.087
811	868	11	0.9759	-17.027
811	6461	11	0.9254	-42.113
3066	7352	11	0.9783	56.086
333	8488	11	0.9836	28.031
2152	4332	11	0.9604	0.036
3066	7880	11	0.957	-140.134
868	8488	11	0.8977	-42.011
811	1650	11	0.9272	56.062
914	9092	11	0.9251	102.068
3511	7352	11	0.9818	56.063
2989	3332	12	0.9352	0.000
2043	3332	12	0.8835	-40.032
5546	11669	12	0.8882	-14.016
3332	9353	12	0.9135	28.032
9353	11669	12	0.9062	26.016
9084	9353	12	0.9962	0.019
2576	2600	14	0.8594	-6.047
5395	9833	16	0.9688	-0.036
5395	8193	16	0.9408	14.016
5592	9833	16	0.986	-0.036
8193	9833	16	0.8437	-14.052
5395	5592	16	0.9558	0.000
5592	8193	16	0.926	14.016
4827	5105	17	0.9272	0.000
2980	3164	17	0.9223	0.000
3029	3164	17	0.885	0.000
