cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
3747	267	15	Organic compounds	1.0	Organoheterocyclic compounds	0.25571428571428567	Benzene and substituted derivatives	0.20365079365079364		0.22904761904761903	Phenylmethylamines	0.13396825396825396	Aromatic heteropolycyclic compounds	0.47611111111111115
4214	267	15	Organic compounds	1.0	Organoheterocyclic compounds	0.25571428571428567	Benzene and substituted derivatives	0.20365079365079364		0.22904761904761903	Phenylmethylamines	0.13396825396825396	Aromatic heteropolycyclic compounds	0.47611111111111115
4249	267	15	Organic compounds	1.0	Organoheterocyclic compounds	0.25571428571428567	Benzene and substituted derivatives	0.20365079365079364		0.22904761904761903	Phenylmethylamines	0.13396825396825396	Aromatic heteropolycyclic compounds	0.47611111111111115
4251	267	15	Organic compounds	1.0	Organoheterocyclic compounds	0.25571428571428567	Benzene and substituted derivatives	0.20365079365079364		0.22904761904761903	Phenylmethylamines	0.13396825396825396	Aromatic heteropolycyclic compounds	0.47611111111111115
8698	267	15	Organic compounds	1.0	Organoheterocyclic compounds	0.25571428571428567	Benzene and substituted derivatives	0.20365079365079364		0.22904761904761903	Phenylmethylamines	0.13396825396825396	Aromatic heteropolycyclic compounds	0.47611111111111115
8754	267	15	Organic compounds	1.0	Organoheterocyclic compounds	0.25571428571428567	Benzene and substituted derivatives	0.20365079365079364		0.22904761904761903	Phenylmethylamines	0.13396825396825396	Aromatic heteropolycyclic compounds	0.47611111111111115
10006	267	15	Organic compounds	1.0	Organoheterocyclic compounds	0.25571428571428567	Benzene and substituted derivatives	0.20365079365079364		0.22904761904761903	Phenylmethylamines	0.13396825396825396	Aromatic heteropolycyclic compounds	0.47611111111111115
10014	267	15	Organic compounds	1.0	Organoheterocyclic compounds	0.25571428571428567	Benzene and substituted derivatives	0.20365079365079364		0.22904761904761903	Phenylmethylamines	0.13396825396825396	Aromatic heteropolycyclic compounds	0.47611111111111115
10087	267	15	Organic compounds	1.0	Organoheterocyclic compounds	0.25571428571428567	Benzene and substituted derivatives	0.20365079365079364		0.22904761904761903	Phenylmethylamines	0.13396825396825396	Aromatic heteropolycyclic compounds	0.47611111111111115
10113	267	15	Organic compounds	1.0	Organoheterocyclic compounds	0.25571428571428567	Benzene and substituted derivatives	0.20365079365079364		0.22904761904761903	Phenylmethylamines	0.13396825396825396	Aromatic heteropolycyclic compounds	0.47611111111111115
11171	267	15	Organic compounds	1.0	Organoheterocyclic compounds	0.25571428571428567	Benzene and substituted derivatives	0.20365079365079364		0.22904761904761903	Phenylmethylamines	0.13396825396825396	Aromatic heteropolycyclic compounds	0.47611111111111115
2895	604	2	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Prenol lipids	0.5	Diterpenoids	0.5	Diterpenoids	0.5	Aromatic homopolycyclic compounds	0.2857142857142857
6776	604	2	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Prenol lipids	0.5	Diterpenoids	0.5	Diterpenoids	0.5	Aromatic homopolycyclic compounds	0.2857142857142857
2897	S777	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2900	S778	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2903	565	2	Organic compounds	1.0	Lipids and lipid-like molecules	0.5142857142857142	Prenol lipids	0.5142857142857142	Sesquiterpenoids	0.5142857142857142	Sesquiterpenoids	0.5142857142857142	Aliphatic homopolycyclic compounds	0.7571428571428571
3663	565	2	Organic compounds	1.0	Lipids and lipid-like molecules	0.5142857142857142	Prenol lipids	0.5142857142857142	Sesquiterpenoids	0.5142857142857142	Sesquiterpenoids	0.5142857142857142	Aliphatic homopolycyclic compounds	0.7571428571428571
2907	S779	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2908	991	6	Organic compounds	1.0	Organoheterocyclic compounds	0.3828703703703704	Tetrahydroisoquinolines	0.15416666666666667		0.2791666666666666	Tetrahydroisoquinolines	0.15416666666666667	Aromatic heteropolycyclic compounds	0.4576058201058201
5108	991	6	Organic compounds	1.0	Organoheterocyclic compounds	0.3828703703703704	Tetrahydroisoquinolines	0.15416666666666667		0.2791666666666666	Tetrahydroisoquinolines	0.15416666666666667	Aromatic heteropolycyclic compounds	0.4576058201058201
5190	991	6	Organic compounds	1.0	Organoheterocyclic compounds	0.3828703703703704	Tetrahydroisoquinolines	0.15416666666666667		0.2791666666666666	Tetrahydroisoquinolines	0.15416666666666667	Aromatic heteropolycyclic compounds	0.4576058201058201
