,SMILES
46,[C@H]1([C@H]([C@@H]([C@H]([C@@H](O1)C)O)N(C)C)O)O[C@H]1[C@@H]([C@@H](CC(=O)O[C@@H](C/C=C\C=C\C(=O)[C@@H](C[C@@H]1CC=O)C)C)OC(=O)CC)OC
47,COC1=C(CC=C(C)CCC=C(C)C)C(O)=C2CN(CCC3=CC=CC=C3)C(=O)C2=C1
48,Cc1ccc(cc1)S(=O)(=O)N1CC2(CN(Cc3ccccc3)[C@H](CO)c3c2c2ccc(cc2[nH]3)OC)C1
49,[C@@]1(C[C@H]([C@H]([C@@H](C1)O)O)OC/C=C\c1ccc(cc1)O)(C(=O)O)O
50,CCOC(=O)N1CCN(CC1)Cc1cc(=O)oc2c1ccc(c2O)O
51,CCn1c2ccc(C)cc2ccc1=C1C(=O)N(C)C(=S)N1C
52,Cc1cc(=O)oc2c1ccc(c2)OCC(=O)NCc1ccc(cc1)F
53,c12c(C(=O)C(=CC2=O)O)ccc(c1O)CC
54,COc1cccc(c1)c1nnnn1[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2[NH3+]
55,c1(c(cc(cc1)/C=C/CO)OC)OC/C=C(/C/C=C/C(OO)(C)C)\C
56,COc1ccccc1c1ccnc(n1)N[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2NC(=O)NC1CCCCC1
57,[C@]123[C@H]4[C@](C=N[C@@H]2[C@H](C4)[C@@]2([C@@H]4[C@H]1C[C@@H]([C@@H]4O)[C@H](C2)OC)O)(CC[C@@H]3OC)COC
58,[C@@](CC/C=C(/C(=O)O)\CO)(OCCCC)(C=C)C
59,C[C@H]1[C@@H](CC[C@@H]2[N@@H+]1CC[C@@H](C2)[C@@H](CCCCCC[C@H](CC(=O)[O-])O)O)O
60,[C@@]123[C@H]4[C@H]([C@@H](C(=O)[C@H]1CCCN2CCC4)O)C=C(C3)C
61,CCCCCC(=CC/C=C\CCCCCCCC(=O)O)OO
62,CS(=O)(=O)N1CCN2[C@@H](C1)C(=O)N1CCC[C@H]1C2=O
63,[C@@]12([C@H]([C@H]3[C@H](CC2)[C@@]2(C(=CC3)C[C@H](CC2)OC(=O)CCCCCCCCCCC)C)CC[C@@H]1[C@@H](CC[C@H](C(C)C)CC)C)C
64,C1C(=O)C=C([C@H](C1(C)C)CC[C@H](O[C@H]1[C@@H]([C@H]([C@H](O[C@@H]2[C@H]([C@@H]([C@@H](O[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)O)[C@@H](O2)CO)O)O)[C@H](O1)CO)O)O)C)C
65,C[C@@H]1c2c(sc(n2)NCC=C)C[C@]2([C@H]1[C@H]([C@H](CC2)[C@H](C)C(=O)NC1CC1)O)C
66,CC(=O)NCCC1=CC=CC=C1
67,CCCC(=N)C1=C([O-])CC([C@H](C1=O)C(=O)OC)(C)C
68,[C@]12([C@H](N3[C@@H](C2)C(=O)N([C@H](C3=O)Cc2ccccc2)C)Nc2c1cccc2)C
69,CCOC(=O)C[C@@]12C[N@H+](C[C@@](C1=O)(CN(C2)C)CC(=O)OCC)C
70,c1cc(ccc1COc1ccc(cc1)C(=O)N[C@@H]1C[N@@H+](CCC[C@H]1O)CC1CC1)F
71,CC(C)(C(=N[C@H](Cc1c[nH]c2ccccc12)C(=O)O)O)N
72,CC[C@]12CCN(CC3(CC3)O)[C@H](Cc3ccc(cc13)O)C2(C)C
73,C[C@H]1C[C@@H]([C@@H](C[C@H]1CNC(=[NH2+])NC)[C@@H](C[C@@H](CCc1ccc(c(c1)OC)O)OC(=O)C)O)CCO
74,CC(C)C(c1ccc(cc1)Cl)C(=O)O
