OTU,ESV
Otu00356,esv_369
Otu00357,esv_370
Otu00358,esv_371
Otu00359,esv_372
Otu00360,esv_373
Otu00361,esv_374
Otu00362,esv_376
Otu00363,esv_377
Otu00364,esv_378
Otu00365,esv_379
Otu00366,esv_380
Otu00367,esv_381
Otu00368,esv_383
Otu00369,esv_384
Otu00370,esv_385
Otu00372,esv_387
Otu00373,esv_388
Otu00374,esv_389
Otu00375,esv_390
Otu00376,esv_391
Otu00377,esv_392
Otu00378,esv_394
Otu00379,esv_395
Otu00380,esv_396
Otu00381,esv_397
Otu00382,esv_398
Otu00383,esv_399
Otu00384,esv_400
Otu00386,esv_402
Otu00387,esv_403
Otu00388,esv_404
Otu00389,esv_405
Otu00390,esv_407
Otu00391,esv_408
Otu00392,esv_410
Otu00393,esv_411
Otu00394,esv_412
Otu00395,esv_413
Otu00396,esv_415
Otu00397,esv_416
Otu00399,esv_418
Otu00401,esv_420
Otu00402,esv_421
Otu00403,esv_423
Otu00404,esv_425
Otu00405,esv_426
Otu00406,esv_427
Otu00408,esv_430
Otu00409,esv_431
Otu00410,esv_432
Otu00411,esv_433
Otu00412,esv_434
Otu00413,esv_435
Otu00414,esv_436
Otu00415,esv_437
Otu00416,esv_438
Otu00417,esv_439
Otu00418,esv_440
Otu00419,esv_441
Otu00420,esv_442
Otu00421,esv_443
Otu00422,esv_445
Otu00423,esv_446
Otu00424,esv_447
Otu00425,esv_449
Otu00427,esv_451
Otu00428,esv_452
Otu00429,esv_453
Otu00430,esv_455
Otu00431,esv_456
Otu00432,esv_457
Otu00434,esv_459
Otu00435,esv_460
Otu00436,esv_461
Otu00437,esv_462
Otu00438,esv_463
Otu00439,esv_464
Otu00440,esv_465
Otu00441,esv_466
Otu00443,esv_468
Otu00444,esv_469
Otu00445,esv_470
Otu00447,esv_472
Otu00448,esv_473
Otu00449,esv_475
Otu00450,esv_476
Otu00451,esv_478
Otu00452,esv_477
Otu00453,esv_479
Otu00455,esv_482
Otu00456,esv_483
Otu00457,esv_484
Otu00458,esv_485
Otu00459,esv_486
Otu00460,esv_488
Otu00462,esv_490
Otu00463,esv_491
Otu00464,esv_492
Otu00465,esv_493
Otu00466,esv_494
Otu00467,esv_495
Otu00468,esv_496
Otu00469,esv_497
Otu00470,esv_499
Otu00471,esv_500
Otu00472,esv_501
Otu00474,esv_503
Otu00475,esv_504
Otu00476,esv_505
Otu00477,esv_506
Otu00478,esv_507
Otu00479,esv_508
Otu00480,esv_509
Otu00481,esv_510
Otu00482,esv_511
Otu00483,esv_512
Otu00484,esv_513
Otu00485,esv_514
Otu00486,esv_515
Otu00487,esv_516
Otu00488,esv_517
Otu00489,esv_518
Otu00490,esv_519
Otu00491,esv_521
Otu00492,esv_522
Otu00493,esv_523
Otu00494,esv_524
Otu00495,esv_525
Otu00496,esv_526
Otu00497,esv_528
Otu00498,esv_529
Otu00499,esv_530
Otu00500,esv_531
Otu00501,esv_532
Otu00505,esv_537
Otu00507,esv_539
Otu00508,esv_540
Otu00509,esv_543
Otu00510,esv_542
Otu00511,esv_544
Otu00512,esv_545
Otu00514,esv_550
Otu00515,esv_551
Otu00516,esv_552
Otu00518,esv_555
Otu00519,esv_556
Otu00521,esv_558
Otu00522,esv_559
Otu00523,esv_561
Otu00525,esv_562
Otu00526,esv_563
Otu00527,esv_564
Otu00528,esv_565
Otu00529,esv_567
Otu00530,esv_568
Otu00531,esv_569
Otu00532,esv_570
Otu00533,esv_571
Otu00534,esv_572
Otu00535,esv_573
Otu00536,esv_574
Otu00537,esv_575
Otu00539,esv_577
Otu00540,esv_578
Otu00541,esv_580
Otu00542,esv_581
Otu00543,esv_582
Otu00544,esv_584
Otu00545,esv_583
Otu00546,esv_585
Otu00547,esv_586
Otu00548,esv_587
Otu00549,esv_588
Otu00550,esv_589
Otu00551,esv_591
Otu00552,esv_590
Otu00553,esv_592
Otu00554,esv_593
Otu00555,esv_594
Otu00556,esv_595
Otu00557,esv_596
Otu00558,esv_597
Otu00559,esv_598
Otu00560,esv_599
Otu00561,esv_600
Otu00562,esv_601
Otu00563,esv_603
Otu00564,esv_607
Otu00565,esv_606
Otu00566,esv_608
Otu00567,esv_609
Otu00568,esv_610
Otu00569,esv_611
Otu00570,esv_612
Otu00571,esv_613
Otu00572,esv_615
Otu00573,esv_616
Otu00574,esv_618
Otu00575,esv_619
Otu00577,esv_621
Otu00578,esv_623
Otu00579,esv_622
Otu00580,esv_624
Otu00581,esv_626
Otu00582,esv_627
Otu00583,esv_628
Otu00584,esv_629
Otu00585,esv_630
Otu00586,esv_631
Otu00587,esv_633
Otu00589,esv_634
Otu00590,esv_635
Otu00591,esv_636
Otu00592,esv_637
Otu00593,esv_638
Otu00594,esv_639
Otu00595,esv_640
Otu00597,esv_642
Otu00598,esv_643
Otu00599,esv_645
Otu00600,esv_646
Otu00601,esv_648
Otu00602,esv_649
Otu00603,esv_650
Otu00604,esv_651
Otu00605,esv_652
Otu00606,esv_653
Otu00607,esv_654
Otu00608,esv_656
Otu00609,esv_657
Otu00610,esv_658
Otu00611,esv_659
Otu00612,esv_660
Otu00613,esv_661
Otu00614,esv_662
Otu00615,esv_664
Otu00616,esv_666
Otu00617,esv_665
Otu00618,esv_668
Otu00619,esv_669
Otu00620,esv_670
Otu00621,esv_671
Otu00622,esv_672
Otu00623,esv_674
Otu00624,esv_675
Otu00626,esv_678
Otu00627,esv_679
Otu00628,esv_680
Otu00629,esv_681
Otu00630,esv_682
Otu00631,esv_683
Otu00632,esv_684
Otu00633,esv_685
Otu00634,esv_686
Otu00635,esv_687
Otu00636,esv_690
Otu00637,esv_691
Otu00638,esv_692
Otu00639,esv_693
Otu00640,esv_694
Otu00641,esv_698
Otu00643,esv_700
Otu00644,esv_701
Otu00645,esv_702
Otu00646,esv_703
Otu00647,esv_704
Otu00648,esv_705
Otu00649,esv_707
Otu00650,esv_706
Otu00651,esv_708
Otu00652,esv_709
Otu00653,esv_711
Otu00654,esv_712
Otu00655,esv_715
Otu00656,esv_716
Otu00657,esv_718
Otu00658,esv_717
Otu00659,esv_719
Otu00660,esv_720
Otu00661,esv_722
Otu00662,esv_724
Otu00663,esv_725
Otu00664,esv_727
Otu00665,esv_728
Otu00667,esv_730
Otu00668,esv_731
Otu00669,esv_733
Otu00670,esv_734
Otu00671,esv_737
Otu00672,esv_738
Otu00673,esv_739
Otu00675,esv_741
Otu00676,esv_742
Otu00677,esv_744
Otu00678,esv_745
Otu00679,esv_746
Otu00680,esv_747
Otu00682,esv_749
Otu00683,esv_750
Otu00685,esv_752
Otu00686,esv_753
Otu00687,esv_755
Otu00688,esv_756
Otu00689,esv_757
Otu00690,esv_759
Otu00691,esv_760
Otu00692,esv_761
Otu00693,esv_762
Otu00694,esv_763
Otu00695,esv_764
Otu00696,esv_765
Otu00698,esv_768
Otu00699,esv_770
Otu00700,esv_769
Otu00701,esv_771
Otu00702,esv_772
Otu00703,esv_773
Otu00705,esv_776
Otu00706,esv_777
Otu00707,esv_780
Otu00708,esv_781
Otu00709,esv_782
Otu00710,esv_783
Otu00711,esv_784
Otu00712,esv_785
Otu00713,esv_787
Otu00714,esv_788
Otu00715,esv_789
Otu00716,esv_791
Otu00717,esv_792
Otu00718,esv_793
Otu00719,esv_795
Otu00720,esv_794
Otu00721,esv_796
Otu00722,esv_798
Otu00723,esv_799
Otu00724,esv_802
Otu00726,esv_804
Otu00727,esv_807
Otu00728,esv_808
Otu00730,esv_810
Otu00731,esv_811
Otu00732,esv_812
Otu00733,esv_813
Otu00734,esv_814
Otu00735,esv_815
Otu00736,esv_817
Otu00737,esv_816
Otu00739,esv_819
Otu00740,esv_823
Otu00741,esv_824
Otu00742,esv_826
Otu00743,esv_827
Otu00745,esv_829
Otu00746,esv_830
Otu00747,esv_832
Otu00748,esv_831
Otu00749,esv_833
Otu00750,esv_834
Otu00751,esv_835
Otu00753,esv_837
Otu00754,esv_839
Otu00755,esv_840
Otu00757,esv_842
Otu00758,esv_843
Otu00759,esv_844
Otu00760,esv_845
Otu00761,esv_846
Otu00762,esv_847
Otu00763,esv_848
Otu00764,esv_849
Otu00765,esv_850
Otu00766,esv_851
Otu00767,esv_852
Otu00768,esv_853
Otu00770,esv_858
Otu00771,esv_859
Otu00772,esv_860
Otu00774,esv_864
Otu00775,esv_863
Otu00776,esv_866
Otu00777,esv_868
Otu00778,esv_867
Otu00779,esv_869
Otu00780,esv_870
Otu00781,esv_871
Otu00782,esv_872
Otu00783,esv_873
Otu00784,esv_875
Otu00785,esv_876
Otu00786,esv_877
Otu00787,esv_880
Otu00788,esv_879
Otu00789,esv_881
Otu00790,esv_882
Otu00791,esv_883
Otu00792,esv_885
Otu00793,esv_886
Otu00794,esv_887
Otu00795,esv_888
Otu00796,esv_889
Otu00798,esv_891
Otu00799,esv_893
Otu00800,esv_892
Otu00801,esv_894
Otu00802,esv_895
Otu00803,esv_896
Otu00804,esv_898
Otu00805,esv_899
Otu00806,esv_900
Otu00807,esv_901
Otu00808,esv_902
Otu00809,esv_903
Otu00810,esv_904
Otu00811,esv_905
Otu00812,esv_906
Otu00813,esv_907
Otu00814,esv_908
Otu00815,esv_909
Otu00816,esv_912
Otu00818,esv_911
Otu00819,esv_913
Otu00820,esv_914
Otu00821,esv_915
Otu00822,esv_916
Otu00823,esv_918
Otu00824,esv_919
Otu00825,esv_920
Otu00826,esv_921
Otu00827,esv_922
Otu00828,esv_923
Otu00829,esv_924
Otu00830,esv_930
Otu00832,esv_928
Otu00833,esv_927
Otu00835,esv_932
Otu00837,esv_934
Otu00838,esv_935
Otu00839,esv_937
Otu00840,esv_938
Otu00841,esv_940
Otu00842,esv_941
Otu00843,esv_943
Otu00844,esv_944
Otu00845,esv_945
Otu00846,esv_947
Otu00847,esv_946
Otu00848,esv_948
Otu00849,esv_951
Otu00850,esv_950
Otu00851,esv_952
Otu00852,esv_953
Otu00853,esv_955
Otu00854,esv_954
Otu00855,esv_957
Otu00857,esv_958
Otu00858,esv_962
Otu00859,esv_963
Otu00860,esv_965
Otu00861,esv_966
Otu00862,esv_967
Otu00863,esv_968
Otu00864,esv_969
Otu00865,esv_970
Otu00866,esv_971
Otu00867,esv_973
Otu00868,esv_972
Otu00869,esv_975
Otu00870,esv_974
Otu00871,esv_976
Otu00872,esv_978
Otu00873,esv_979
Otu00875,esv_981
Otu00876,esv_983
Otu00879,esv_986
Otu00880,esv_987
Otu00881,esv_988
Otu00882,esv_989
Otu00883,esv_990
Otu00884,esv_991
Otu00885,esv_992
Otu00886,esv_993
Otu00887,esv_995
Otu00888,esv_996
Otu00889,esv_997
Otu00890,esv_998
Otu00892,esv_999
Otu00893,esv_1003
Otu00894,esv_1006
Otu00895,esv_1005
Otu00896,esv_1009
Otu00897,esv_1010
Otu00898,esv_1012
Otu00899,esv_1013
Otu00900,esv_1014
Otu00901,esv_1015
Otu00904,esv_1019
Otu00905,esv_1021
Otu00906,esv_1022
Otu00907,esv_1023
Otu00908,esv_1024
Otu00909,esv_1025
Otu00910,esv_1026
Otu00911,esv_1027
Otu00912,esv_1028
Otu00913,esv_1030
Otu00914,esv_1029
Otu00915,esv_1031
Otu00916,esv_1032
Otu00917,esv_1033
Otu00919,esv_1037
Otu00920,esv_1038
Otu00921,esv_1040
Otu00923,esv_1041
Otu00924,esv_1042
Otu00925,esv_1044
Otu00926,esv_1046
Otu00927,esv_1047
Otu00928,esv_1048
Otu00929,esv_1049
Otu00930,esv_1050
Otu00931,esv_1051
Otu00932,esv_1052
Otu00933,esv_1053
Otu00934,esv_1054
Otu00935,esv_1055
Otu00936,esv_1056
Otu00937,esv_1057
Otu00938,esv_1058
Otu00939,esv_1059
Otu00940,esv_1060
Otu00942,esv_1062
Otu00944,esv_1064
Otu00945,esv_1065
Otu00946,esv_1066
Otu00947,esv_1067
Otu00948,esv_1069
Otu00949,esv_1070
Otu00950,esv_1072
Otu00951,esv_1071
Otu00952,esv_1073
Otu00953,esv_1074
Otu00954,esv_1076
Otu00955,esv_1077
Otu00956,esv_1080
Otu00957,esv_1078
Otu00958,esv_1082
Otu00959,esv_1084
Otu00960,esv_1083
Otu00962,esv_1086
Otu00963,esv_1088
Otu00964,esv_1089
Otu00965,esv_1090
Otu00966,esv_1092
Otu00967,esv_1091
Otu00968,esv_1093
Otu00969,esv_1094
Otu00970,esv_1095
Otu00971,esv_1097
Otu00972,esv_1099
Otu00973,esv_1096
Otu00974,esv_1101
Otu00976,esv_1104
Otu00977,esv_1105
Otu00978,esv_1106
Otu00979,esv_1107
Otu00980,esv_1108
Otu00981,esv_1110
Otu00982,esv_1112
Otu00983,esv_1114
Otu00984,esv_1113
Otu00985,esv_1115
Otu00986,esv_1116
Otu00987,esv_1117
Otu00988,esv_1120
Otu00989,esv_1121
Otu00990,esv_1122
Otu00991,esv_1123
Otu00992,esv_1125
Otu00993,esv_1126
Otu00994,esv_1130
Otu00995,esv_1133
Otu00996,esv_1135
Otu00997,esv_1136
Otu00998,esv_1137
Otu00999,esv_1138
Otu01000,esv_1139
Otu01001,esv_1141
Otu01002,esv_1140
Otu01003,esv_1143
Otu01004,esv_1142
Otu01005,esv_1145
Otu01006,esv_1146
Otu01007,esv_1148
Otu01008,esv_1147
Otu01009,esv_1149
Otu01010,esv_1150
Otu01012,esv_1151
Otu01013,esv_1153
Otu01015,esv_1155
Otu01016,esv_1157
Otu01017,esv_1158
Otu01018,esv_1159
Otu01019,esv_1160
Otu01020,esv_1161
Otu01021,esv_1162
Otu01022,esv_1164
Otu01023,esv_1165
Otu01024,esv_1166
Otu01025,esv_1168
Otu01026,esv_1169
Otu01027,esv_1170
Otu01029,esv_1173
Otu01030,esv_1172
Otu01031,esv_1174
Otu01032,esv_1177
Otu01033,esv_1179
Otu01034,esv_1178
Otu01035,esv_1180
Otu01036,esv_1181
Otu01037,esv_1182
Otu01038,esv_1183
Otu01039,esv_1184
Otu01040,esv_1185
Otu01041,esv_1187
Otu01043,esv_1189
Otu01044,esv_1193
Otu01045,esv_1192
Otu01046,esv_1194
Otu01047,esv_1195
Otu01049,esv_1197
Otu01050,esv_1200
Otu01051,esv_1198
Otu01052,esv_1201
Otu01053,esv_1202
Otu01054,esv_1205
Otu01055,esv_1204
Otu01056,esv_1203
Otu01057,esv_1206
Otu01058,esv_1208
Otu01059,esv_1209
Otu01060,esv_1210
Otu01061,esv_1211
Otu01062,esv_1212
Otu01063,esv_1213
Otu01064,esv_1214
Otu01065,esv_1215
Otu01066,esv_1219
Otu01067,esv_1218
Otu01068,esv_1220
Otu01069,esv_1222
Otu01070,esv_1221
Otu01071,esv_1223
Otu01072,esv_1224
Otu01073,esv_1225
Otu01074,esv_1226
Otu01075,esv_1228
Otu01076,esv_1227
Otu01077,esv_1229
Otu01078,esv_1230
Otu01079,esv_1231
Otu01080,esv_1234
Otu01081,esv_1235
Otu01082,esv_1236
Otu01083,esv_1237
Otu01084,esv_1239
Otu01085,esv_1238
Otu01086,esv_1240
Otu01087,esv_1241
Otu01088,esv_1246
Otu01089,esv_1247
Otu01090,esv_1248
Otu01091,esv_1249
Otu01093,esv_1251
Otu01094,esv_1253
Otu01095,esv_1254
Otu01096,esv_1255
Otu01097,esv_1256
Otu01098,esv_1257
Otu01099,esv_1259
Otu01100,esv_1260
Otu01101,esv_1261
Otu01102,esv_1262
Otu01103,esv_1264
Otu01104,esv_1263
Otu01105,esv_1265
Otu01106,esv_1266
Otu01107,esv_1267
Otu01108,esv_1268
Otu01109,esv_1269
Otu01110,esv_1270
Otu01111,esv_1272
Otu01113,esv_1274
Otu01114,esv_1276
Otu01115,esv_1277
Otu01116,esv_1281
Otu01117,esv_1280
Otu01118,esv_1279
Otu01119,esv_1285
Otu01120,esv_1284
Otu01121,esv_1287
Otu01122,esv_1289
Otu01123,esv_1293
Otu01124,esv_1291
Otu01125,esv_1290
Otu01126,esv_1292
Otu01127,esv_1294
Otu01128,esv_1295
Otu01129,esv_1297
Otu01130,esv_1299
Otu01131,esv_1298
Otu01132,esv_1300
Otu01133,esv_1301
Otu01134,esv_1302
Otu01135,esv_1303
Otu01136,esv_1304
Otu01137,esv_1305
Otu01138,esv_1306
Otu01139,esv_1307
Otu01140,esv_1309
Otu01141,esv_1310
Otu01143,esv_1313
Otu01144,esv_1315
Otu01145,esv_1316
Otu01146,esv_1317
Otu01147,esv_1318
Otu01148,esv_1320
Otu01149,esv_1321
Otu01150,esv_1323
Otu01151,esv_1325
Otu01152,esv_1326
Otu01153,esv_1324
Otu01154,esv_1327
Otu01155,esv_1329
Otu01157,esv_1330
Otu01158,esv_1332
Otu01159,esv_1333
Otu01161,esv_1335
Otu01162,esv_1336
Otu01163,esv_1338
Otu01164,esv_1337
Otu01165,esv_1340
Otu01166,esv_1341
Otu01167,esv_1342
Otu01168,esv_1343
Otu01170,esv_1344
Otu01172,esv_1347
Otu01174,esv_1350
Otu01175,esv_1349
Otu01176,esv_1351
Otu01177,esv_1352
Otu01178,esv_1354
Otu01179,esv_1355
Otu01180,esv_1356
Otu01181,esv_1359
Otu01182,esv_1358
Otu01183,esv_1360
Otu01184,esv_1361
Otu01185,esv_1362
Otu01186,esv_1363
Otu01187,esv_1364
Otu01188,esv_1365
Otu01189,esv_1367
Otu01190,esv_1366
Otu01191,esv_1370
Otu01192,esv_1369
Otu01193,esv_1376
Otu01194,esv_1372
Otu01195,esv_1377
Otu01196,esv_1379
Otu01197,esv_1378
Otu01198,esv_1381
Otu01200,esv_1384
Otu01201,esv_1383
Otu01203,esv_1385
Otu01204,esv_1390
Otu01205,esv_1389
Otu01206,esv_1391
Otu01207,esv_1392
Otu01208,esv_1394
Otu01209,esv_1396
Otu01210,esv_1397
Otu01211,esv_1398
Otu01212,esv_1399
Otu01213,esv_1401
Otu01214,esv_1402
Otu01215,esv_1403
Otu01216,esv_1404
Otu01217,esv_1405
Otu01218,esv_1406
Otu01219,esv_1407
Otu01220,esv_1408
Otu01222,esv_1410
Otu01223,esv_1411
Otu01224,esv_1412
Otu01225,esv_1413
Otu01226,esv_1416
Otu01227,esv_1415
Otu01228,esv_1414
Otu01229,esv_1417
Otu01230,esv_1418
Otu01231,esv_1420
Otu01232,esv_1419
Otu01233,esv_1421
Otu01234,esv_1422
Otu01235,esv_1425
Otu01236,esv_1426
Otu01237,esv_1427
Otu01238,esv_1428
Otu01239,esv_1429
Otu01240,esv_1430
Otu01241,esv_1431
Otu01242,esv_1432
Otu01244,esv_1434
Otu01245,esv_1437
Otu01246,esv_1438
Otu01247,esv_1439
Otu01248,esv_1441
Otu01249,esv_1444
Otu01250,esv_1448
Otu01252,esv_1446
Otu01253,esv_1451
Otu01254,esv_1452
Otu01255,esv_1453
Otu01256,esv_1456
Otu01258,esv_1455
Otu01259,esv_1457
Otu01260,esv_1459
Otu01262,esv_1462
Otu01263,esv_1463
Otu01264,esv_1466
Otu01265,esv_1467
Otu01266,esv_1468
Otu01267,esv_1474
Otu01268,esv_1473
Otu01269,esv_1472
Otu01270,esv_1475
Otu01271,esv_1476
Otu01272,esv_1479
Otu01273,esv_1480
Otu01274,esv_1482
Otu01276,esv_1484
Otu01277,esv_1485
Otu01278,esv_1486
Otu01279,esv_1487
Otu01280,esv_1489
Otu01281,esv_1490
Otu01282,esv_1488
Otu01283,esv_1491
Otu01284,esv_1492
Otu01285,esv_1494
Otu01286,esv_1496
Otu01288,esv_1500
Otu01289,esv_1499
Otu01290,esv_1498
Otu01291,esv_1501
Otu01292,esv_1502
Otu01293,esv_1503
Otu01294,esv_1504
Otu01295,esv_1506
Otu01296,esv_1505
Otu01297,esv_1507
Otu01298,esv_1508
Otu01299,esv_1510
Otu01300,esv_1512
Otu01301,esv_1511
Otu01302,esv_1513
Otu01303,esv_1514
Otu01304,esv_1515
Otu01306,esv_1517
Otu01307,esv_1516
Otu01308,esv_1521
Otu01309,esv_1520
Otu01310,esv_1522
Otu01311,esv_1526
Otu01312,esv_1525
Otu01314,esv_1529
Otu01315,esv_1527
Otu01316,esv_1528
Otu01317,esv_1531
Otu01318,esv_1532
Otu01319,esv_1534
Otu01320,esv_1535
Otu01321,esv_1539
Otu01322,esv_1538
Otu01323,esv_1536
Otu01324,esv_1540
Otu01325,esv_1543
Otu01326,esv_1546
Otu01327,esv_1545
