Sample_Name_Unique,Sample_Name,PCR_setting,Experiment,Replicate
BAK_02_DR,BAK_02_DR,Standard,ASRAMP,I
BAK_02_LR,BAK_02_LR,Standard,ASRAMP,I
BAK_02_WC,BAK_02_WC,Standard,ASRAMP,I
BAK_100_DR,BAK_100_DR,Standard,ASRAMP,I
BAK_100_LR,BAK_100_LR,Standard,ASRAMP,I
BAK_11_DR,BAK_11_DR,Standard,ASRAMP,I
BAK_11_LR,BAK_11_LR,Standard,ASRAMP,I
BAK_11_OS,BAK_11_OS,Standard,ASRAMP,I
BAK_11_WC,BAK_11_WC,Standard,ASRAMP,I
BAK_14_DR,BAK_14_DR,Standard,ASRAMP,I
BAK_14_LR,BAK_14_LR,Standard,ASRAMP,I
BAK_14_WC,BAK_14_WC,Standard,ASRAMP,I
BAKER_OS,BAKER_OS,Standard,ASRAMP,I
C1_a_T00,C1_a_T00,Standard,ROBO,I
C1_a_T00_v1,C1_a_T00,Standard,ROBO,II
C1_a_T36,C1_a_T36,Standard,ROBO,I
C1_a_T36_v1,C1_a_T36,Standard,ROBO,II
C1_c_T00,C1_c_T00,Standard,ROBO,I
C1_c_T00_v1,C1_c_T00,Standard,ROBO,II
C1_c_T36,C1_c_T36,Standard,ROBO,I
C1_c_T36_v1,C1_c_T36,Standard,ROBO,II
C1_w_T00,C1_w_T00,Standard,ROBO,I
C1_w_T00_v1,C1_w_T00,Standard,ROBO,II
C1_w_T36,C1_w_T36,Standard,ROBO,I
C1_w_T36_v1,C1_w_T36,Standard,ROBO,II
C1_x_T00,C1_x_T00,Standard,ROBO,I
C1_x_T00_v1,C1_x_T00,Standard,ROBO,II
C1_x_T-48,C1_x_T-48,Standard,ROBO,I
C1_x_T-48_v1,C1_x_T-48,Standard,ROBO,II
C2_a_T00,C2_a_T00,Standard,ROBO,I
C2_a_T00_v1,C2_a_T00,Standard,ROBO,II
C2_a_T36,C2_a_T36,Standard,ROBO,I
C2_a_T36_v1,C2_a_T36,Standard,ROBO,II
C2_c_T00,C2_c_T00,Standard,ROBO,I
C2_c_T00_v1,C2_c_T00,Standard,ROBO,II
C2_c_T36,C2_c_T36,Standard,ROBO,I
C2_c_T36_v1,C2_c_T36,Standard,ROBO,II
C2_w_T00,C2_w_T00,Standard,ROBO,I
