Tree#,Groups,WScore
1,A1_a_T00_v1-A2_a_T00,0.180068
1,A1_a_T36-A2_a_T00,0.398677
1,A1_a_T36_v1-A2_a_T00,0.350902
1,A1_c_T00-A2_a_T00,0.20806
1,A1_c_T00_v1-A2_a_T00,0.232446
1,A1_c_T36-A2_a_T00,0.338529
1,A1_c_T36_v1-A2_a_T00,0.339619
1,A1_w_T00-A2_a_T00,0.213882
1,A1_w_T00_v1-A2_a_T00,0.245392
1,A1_w_T36-A2_a_T00,0.330195
1,A1_w_T36_v1-A2_a_T00,0.369403
1,A1_x_T00-A2_a_T00,0.19907
1,A1_x_T00_v1-A2_a_T00,0.19702
1,A1_x_T_48-A2_a_T00,0.423654
1,A1_x_T_48_v1-A2_a_T00,0.374255
1,A1_a_T00-A2_a_T00_v1,0.189318
1,A1_a_T00_v1-A2_a_T00_v1,0.167261
1,A1_a_T36-A2_a_T00_v1,0.39437
1,A1_a_T36_v1-A2_a_T00_v1,0.349928
1,A1_c_T00-A2_a_T00_v1,0.198953
1,A1_c_T00_v1-A2_a_T00_v1,0.223123
1,A1_c_T36-A2_a_T00_v1,0.342883
1,A1_c_T36_v1-A2_a_T00_v1,0.343858
1,A1_w_T00-A2_a_T00_v1,0.206246
1,A1_w_T00_v1-A2_a_T00_v1,0.232108
1,A1_w_T36-A2_a_T00_v1,0.329448
1,A1_w_T36_v1-A2_a_T00_v1,0.371655
1,A1_x_T00-A2_a_T00_v1,0.170245
1,A1_x_T00_v1-A2_a_T00_v1,0.167684
1,A1_x_T_48-A2_a_T00_v1,0.413114
1,A1_x_T_48_v1-A2_a_T00_v1,0.36182
1,A2_a_T00-A2_a_T00_v1,0.065512
1,A1_a_T00-A2_a_T36,0.333026
1,A1_a_T00_v1-A2_a_T36,0.36863
1,A1_a_T36-A2_a_T36,0.119455
1,A1_a_T36_v1-A2_a_T36,0.170962
1,A1_c_T00-A2_a_T36,0.332153
1,A1_c_T00_v1-A2_a_T36,0.307463
1,A1_c_T36-A2_a_T36,0.259931
1,A1_c_T36_v1-A2_a_T36,0.27993
