"","Mo_2019_320","Mo_2019_321","Mo_2019_322","Mo_2019_323","Mo_2019_324","Mo_2019_325","Mo_2019_326","Mo_2019_327","Mo_2019_328","Mo_2019_329","Mo_2019_330","Mo_2019_331","Mo_2019_332","Mo_2019_333","Mo_2019_334","Mo_2019_335","Mo_2019_336","Mo_2019_337","Mo_2019_338","Mo_2019_339","Mo_2019_340","Mo_2019_341","Mo_2019_342","Mo_2019_343","Mo_2019_344","Mo_2019_345","Mo_2019_346","Mo_2019_347","Mo_2019_348","Mo_2019_349","Mo_2019_350","Mo_2019_351","Mo_2019_352","Mo_2019_353","Mo_2019_543"
"12078_584.4321_12.5934_1862_N/A_NA_NA_Organic compounds_Benzenoids_Phenol ethers_Anisoles",29399.73,0,0,14919.63,0,0,13034.53,0,0,0,78598.14,0,0,11619.04,0,0,0,19435.64,25966.53,55775.79,21741.93,23185.84,0,0,30057.24,39311.31,21096.14,0,0,0,0,106548.3,0,23473.86,4752.555
"12083_359.2403_1.0196_146_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",125064.3,0,0,14469190,0,0,0,0,0,0,14155930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12085_401.2872_3.0976_146_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",0,0,0,49254650,0,0,0,0,0,0,28075550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12088_502.3265_10.1326_2280_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Terpene lactones",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12095_367.7318_4.6164_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,0,0,4034199,0,0,0,0,0,0,29556220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12155_446.0495_7.598_457_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Benzopyrans_NA",0,0,0,22801480,0,0,0,0,0,0,10826380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12160_626.5145_13.0015_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",29666.33,0,60264.68,2727009,22400.47,0,0,0,0,5189.823,0,0,0,0,0,35872.1,0,0,0,12029.68,854427.1,3365.555,0,0,0,0,0,0,0,0,0,15150.76,5574.713,0,0
"12166_580.2526_7.429_545_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",0,0,0,0,0,0,0,0,0,0,2408395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387624.7,0,0,0,0,0,0,0
"12171_401.3124_3.1313_146_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Monoterpenoids",0,0,0,1283176,0,0,0,0,0,0,18307910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12191_687.6403_13.0066_68_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Fatty acids and conjugates",0,3999.393,13203.26,0,0,0,0,0,0,0,0,0,5110.956,0,13801.29,5912931,0,0,7273.759,45193.72,4752.267,4930.642,89255.78,0,0,0,0,0,60195.33,0,48115.69,0,0,0,0
"12192_673.6246_12.7325_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,57659.34,7544.689,0,0,0,0,0,0,0,0,0,0,0,0,18977000,0,8372.117,63690.57,15226.26,11211.98,7802.666,0,0,18049.28,0,0,0,62344.93,20320.39,12281.49,0,19763.4,0,0
"12290_518.2688_6.6707_1055_N/A_NA_NA_Organic compounds_Phenylpropanoids and polyketides_Macrolactams_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12293_264.1266_2.1662_2016_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Organooxygen compounds_Carbonyl compounds",0,0,0,719478.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12294_334.0437_7.7055_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263936.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12296_543.3503_4.5533_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,0,0,1221715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12298_686.3682_8.0674_1055_N/A_NA_NA_Organic compounds_Phenylpropanoids and polyketides_Macrolactams_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183448.5,0,0,0,0,0,0,190456.1,0,0,0,0,0
"12299_647.3727_2.7685_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,0,0,1393717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
