"","Mo_2019_320","Mo_2019_321","Mo_2019_322","Mo_2019_323","Mo_2019_324","Mo_2019_325","Mo_2019_326","Mo_2019_327","Mo_2019_328","Mo_2019_329","Mo_2019_330","Mo_2019_331","Mo_2019_332","Mo_2019_333","Mo_2019_334","Mo_2019_335","Mo_2019_336","Mo_2019_337","Mo_2019_338","Mo_2019_339","Mo_2019_340","Mo_2019_341","Mo_2019_342","Mo_2019_343","Mo_2019_344","Mo_2019_345","Mo_2019_346","Mo_2019_347","Mo_2019_348","Mo_2019_349","Mo_2019_350","Mo_2019_351","Mo_2019_352","Mo_2019_353","Mo_2019_543"
"8055_832.2405_11.1442_172_N/A_(3S,4R)-7-hydroxy-3-[(3S,4R)-7-hydroxy-4-(4-hydroxyphenyl)-2-oxo-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-3-yl]-4-(4-hydroxyphenyl)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydrochromen-2-one_NA_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_Flavonoid glycosides",0,0,0,0,0,75065.88,0,0,40095.81,0,0,0,0,0,926565.6,0,0,51355.86,0,0,31115.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8060_1222.3446_12.8279_314_N/A_3-[21-benzyl-3,24-bis(butan-2-yl)-6-(2-carboxyethyl)-7,10,28-trimethyl-2,5,8,11,14,20,23,26,29,32-decaoxo-9,30-bis(propan-2-yl)-25-oxa-1,4,7,10,13,19,22,28,31-nonaazatricyclo[31.4.0.01/4?,1/4?]heptatriacontan-27-yl]propanoic acid_NA_Organic compounds_Organic oxygen compounds_Organooxygen compounds_Carbohydrates and carbohydrate conjugates",0,9330.08,10195.68,76594.58,22967.1,7728.808,36051.67,0,56847.71,29817.56,10845.85,0,0,0,6539.683,0,5790.927,10610.54,0,5260.752,13459.69,24580.13,45801.07,17038.62,12616.43,46636.14,8330.937,0,208322,144522.9,22265.98,0,48324.02,9321.88,15664.96
"8158_758.7131_11.2801_68_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Fatty acids and conjugates",0,0,0,0,76804.79,0,0,127014.6,0,0,0,0,0,0,0,56745.72,0,18974.47,0,0,32059.74,133765.6,0,0,0,0,0,0,17486310,38879.29,0,95361.83,0,0,0
"8250_323.2347_10.2021_2499_N/A_Spectral Match to Monolauryl phosphate from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Lineolic acids and derivatives",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127591.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8288_826.0478_10.0721_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8372_203.1391_4.2523_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",0,0,0,0,0,0,1235555,0,0,0,0,0,0,0,0,0,0,132795.4,0,0,0,0,0,953243.3,0,0,0,0,0,0,0,139194,0,0,0
"8642_611.2185_13.1198_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",66749.29,0,38034.28,26081.45,76528.62,13718.95,37527.88,0,0,26663.87,19944.79,0,55123.29,25142.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28199.99,0,0,0,0,0
"8649_351.2657_10.5686_11_N/A_Spectral Match to Monolauryl phosphate from NIST14_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8860_614.4476_6.6704_665_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_1-hydroxy-2-unsubstituted benzenoids",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1497777,0,0,0,0,264510.3,0,0,0,0,0,0,0,0,0
"8921_526.3949_6.474_665_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_1-hydroxy-2-unsubstituted benzenoids",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302653,0,0,0,0,198061.9,0,0,0,0,0,0,0,0,0
