"","rep(abund.nosub.asv$ASV, times = 3)","adjusted_pval","Treatment","l2fc","Mean_Abundance","significant","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","Genus_OTU","Family_Genus_OTU","Family_OTU","significant1","fontface","l2fcSE"
"22","Otu00030",0.679987667917939,"Heated",0.581071470261693,5705.33333333333,"N","Otu00030","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu00030","Alteromonadaceae_Alteromonadaceae_unclassified_Otu00030","Alteromonadaceae_Otu00030","N","plain",0.563222210573017
"23","Otu00034",0.529882713450168,"Heated",-1.60384097636669,87,"N","Otu00034","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonas","Hyphomonas_Otu00034","Hyphomonadaceae_Hyphomonas_Otu00034","Hyphomonadaceae_Otu00034","N","plain",1.19808045439841
"24","Otu00036",0.962586824592977,"Heated",-0.127608995370124,1041.33333333333,"N","Otu00036","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00036","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00036","Rhodobacteraceae_Otu00036","N","plain",0.52000002261296
"25","Otu00038",0.630828189253863,"Heated",-0.77346051496864,597.666666666667,"N","Otu00038","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Shimia","Shimia_Otu00038","Rhodobacteraceae_Shimia_Otu00038","Rhodobacteraceae_Otu00038","N","plain",0.684945764757416
"26","Otu00039",0.788223435345261,"Heated",-0.976714101760641,179.666666666667,"N","Otu00039","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169_marine_group","AEGEAN-169_marine_group_ge","AEGEAN-169_marine_group_ge_Otu00039","AEGEAN-169_marine_group_AEGEAN-169_marine_group_ge_Otu00039","AEGEAN-169_marine_group_Otu00039","N","plain",1.27778054370486
"27","Otu00041",0.218197591814657,"Heated",-1.72174502105182,1223.66666666667,"N","Otu00041","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group_ge","NS9_marine_group_ge_Otu00041","NS9_marine_group_NS9_marine_group_ge_Otu00041","NS9_marine_group_Otu00041","N","plain",0.826776630937613
"28","Otu00043",0.696279630217857,"Heated",-1.18148929229228,457.333333333333,"N","Otu00043","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group_ge","NS9_marine_group_ge_Otu00043","NS9_marine_group_NS9_marine_group_ge_Otu00043","NS9_marine_group_Otu00043","N","plain",1.20616175079702
"29","Otu00044",0.964754625671379,"Heated",0.0518065678846061,1163,"N","Otu00044","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius","Thalassobius_Otu00044","Rhodobacteraceae_Thalassobius_Otu00044","Rhodobacteraceae_Otu00044","N","plain",0.539688718765755
"30","Otu00047",0.654024435753999,"Heated",-1.30259684711687,95.6666666666667,"N","Otu00047","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","SAR116_clade_ge","SAR116_clade_ge_Otu00047","SAR116_clade_SAR116_clade_ge_Otu00047","SAR116_clade_Otu00047","N","plain",1.2044926330697
"31","Otu00048",0.000425106850124648,"Heated",1.56096469335413,3282.66666666667,"Y","Otu00048","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aestuariibacter","Aestuariibacter_Otu00048","Alteromonadaceae_Aestuariibacter_Otu00048","Alteromonadaceae_Otu00048","Y","bold",0.364174906943865
"33","Otu00055",0.964754625671379,"Heated",0.337921809473012,271.666666666667,"N","Otu00055","Archaea(100)","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge","Marine_Group_II_ge_Otu00055","Marine_Group_II_fa_Marine_Group_II_ge_Otu00055","Marine_Group_II_fa_Otu00055","N","plain",2.42694161812559
"34","Otu00056",0.994778901512441,"Heated",-0.00307109811440678,331.666666666667,"N","Otu00056","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00056","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00056","Rhodobacteraceae_Otu00056","N","plain",0.469319682143729
"35","Otu00057",0.292684738534767,"Heated",1.72636328038184,198.666666666667,"N","Otu00057","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group","NS5_marine_group_Otu00057","Flavobacteriaceae_NS5_marine_group_Otu00057","Flavobacteriaceae_Otu00057","N","plain",0.890456893349788
