"","ESV","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","mean_abund","NC.relabund","BA.relabund","BH.relabund","NCH.relabund","NbA.relabund","NbH.relabund"
"Otu00006","esv_6","Otu00006","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group",1531.93333333333,0.159809069212411,0.0874653937947494,0.139073985680191,0.284143198090692,0.209221957040573,0.120286396181384
"Otu00060","esv_60","Otu00060","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified",1469.13333333333,0.476769549569201,0.0488057585341913,0.124295633838659,0.146035554586105,0.133093394408696,0.0710001090631476
"Otu00565","esv_606","Otu00565","Bacteria(80)","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",73.0666666666667,0.188411669367909,0.0303889789303079,0.216369529983793,0.185575364667747,0.262560777957861,0.116693679092382
"Otu00061","esv_61","Otu00061","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified",902.733333333333,0.234138179909455,0.0380880519650942,0.0888393150055771,0.472541171839118,0.103995800800472,0.0623974804802835
"Otu00571","esv_613","Otu00571","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60",103.066666666667,0.245142857142857,0.104571428571429,0.110857142857143,0.146857142857143,0.392571428571429,0
"Otu00063","esv_63","Otu00063","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","SAR116_clade_ge",111.466666666667,0.146824305746494,0.040417926862799,0.180368435523783,0.266153423150949,0.311795435798735,0.0544404729172395
"Otu00585","esv_630","Otu00585","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified",62.2,0.19562304600268,0.111210361768647,0.167038856632425,0.0384100044662796,0.29477445288075,0.192943278249218
"Otu00589","esv_634","Otu00589","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Amphritea",76.6,0.12626427406199,0.492332789559543,0.139641109298532,0,0.109624796084829,0.132137030995106
"Otu00590","esv_635","Otu00590","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","uncultured",98.8666666666667,0.041751012145749,0.598937246963563,0.138663967611336,0.0232793522267206,0.0895748987854251,0.107793522267206
"Otu00604","esv_651","Otu00604","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Terasakiellaceae","Terasakiella",44.6666666666667,0.174815807099799,0.0421969189551239,0.241125251172137,0.196918955123912,0.254521098459478,0.0904219691895512
"Otu00610","esv_658","Otu00610","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified",70.4666666666667,0.183874948580831,0.0703414232825997,0.131633072809543,0.30275606746195,0.174413821472645,0.136980666392431
"Otu00067","esv_67","Otu00067","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified",60.9333333333333,0.126181474480151,0.153119092627599,0.215500945179584,0.183364839319471,0.192816635160681,0.129017013232514
"Otu00626","esv_678","Otu00626","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptuniibacter",85.3333333333333,0.397337770382696,0,0.0479201331114809,0.287520798668885,0.220299500831947,0.0469217970049917
"Otu00007","esv_7","Otu00007","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Reinekea",116,0.188229571984436,0.160505836575875,0.118677042801556,0.257782101167315,0.162451361867704,0.112354085603113
"Otu00649","esv_707","Otu00649","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea",101.333333333333,0.0124688279301746,0.253532834580216,0.403435854807426,0.0127459129952896,0.110834026045996,0.206982543640898
"Otu00660","esv_720","Otu00660","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Amphritea",41.4,0.101779755283648,0.682424916573971,0.0723025583982202,0,0,0.14349276974416
"Otu00664","esv_727","Otu00664","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aestuariibacter",111.4,0.07512402551382,0.341601700921332,0.22206472950626,0,0.146468225844555,0.214741318214033
"Otu00682","esv_749","Otu00682","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Nitrincolaceae_unclassified",63.8,0.526823134953898,0,0.09639564124057,0.146689019279128,0.163453478625314,0.0666387259010897
"Otu00075","esv_75","Otu00075","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas",1114.93333333333,0.0697296898443072,0.35750301301129,0.298349607693632,0.107681334087611,0.0620311385493273,0.104705216813833
"Otu00686","esv_753","Otu00686","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas",105.666666666667,0.0960280373831776,0.455607476635514,0.0088785046728972,0,0.213084112149533,0.226401869158878
"Otu00687","esv_755","Otu00687","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified",84.0666666666667,0.430335655478151,0.102596580113996,0.0614312856238125,0.221659278024066,0.112729575680811,0.071247625079164
"Otu00079","esv_79","Otu00079","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oleiphilaceae","Oleiphilus",67.0666666666667,0.175681716584712,0.0509611086276263,0.0438086723290121,0.486365668305767,0.168082253017434,0.0751005811354493
"Otu00721","esv_796","Otu00721","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Psychrosphaera",96.1333333333333,0,0.302909298345693,0.356531660011409,0,0.11123787792356,0.229321163719338
"Otu00008","esv_8","Otu00008","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60",1573.53333333333,0.163143539038527,0.0845550630753495,0.165170284502027,0.206765920369739,0.310527711482365,0.0698374815319923
"Otu00731","esv_811","Otu00731","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Marinobacterium",37.1333333333333,0.292296072507553,0.0589123867069486,0.169184290030211,0.110271903323263,0.244712990936556,0.124622356495468
"Otu00734","esv_814","Otu00734","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified",64.7333333333333,0.0523826846125864,0.580574754456166,0.119316114950891,0,0,0.247726445980356
"Otu00083","esv_83","Otu00083","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116_clade","SAR116_clade_ge",79.7333333333333,0.193729003359462,0.0559910414333707,0.158268010451661,0.257558790593505,0.262784621127286,0.0716685330347144
"Otu00746","esv_830","Otu00746","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified",29.2666666666667,0.0551020408163265,0.104081632653061,0.23469387755102,0,0.453061224489796,0.153061224489796
"Otu00754","esv_839","Otu00754","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aestuariibacter",29.2666666666667,0.0904522613065327,0.153768844221106,0.205025125628141,0.136683417085427,0.305527638190955,0.108542713567839
"Otu00085","esv_85","Otu00085","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas",1354.53333333333,0.125590574726392,0.322707972011243,0.230289257022108,0.121922532543907,0.0780256364252537,0.121464027271096
"Otu00801","esv_894","Otu00801","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified",30.0666666666667,0,0.0900290416263311,0.197483059051307,0,0.422071636011617,0.290416263310745
"Otu00802","esv_895","Otu00802","Bacteria(100)","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade",81.2,0,0,0.391365888181175,0,0.194621372965322,0.414012738853503
"Otu00009","esv_9","Otu00009","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","OM43_clade",1004.73333333333,0.284002449050993,0.023265984431033,0.289162949357124,0.0565614157847168,0.290679028543106,0.0563281728330272
"Otu00818","esv_911","Otu00818","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified",69.3333333333333,0.0932203389830508,0.208232445520581,0.206618240516546,0.108958837772397,0.202582728006457,0.180387409200969
"Otu00823","esv_918","Otu00823","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas",31.4,0.0849056603773585,0.234133790737564,0.385934819897084,0.0377358490566038,0,0.257289879931389
"Otu00093","esv_93","Otu00093","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Leisingera",365.333333333333,0.238698839340257,0.136988393402566,0.177000610873549,0.168906536346976,0.164783139890043,0.11362248014661
"Otu00847","esv_946","Otu00847","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified",73.7333333333333,0.482027318475917,0.0744069015097052,0.0323508267433501,0.221423436376707,0.13156002875629,0.0582314881380302
"Otu00095","esv_95","Otu00095","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60",44.2,0.200562983814215,0,0.154820548909219,0.242083040112597,0.402533427163969,0
"Otu00853","esv_955","Otu00853","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas",58.4,0,0,0.633266533066132,0,0,0.366733466933868
"Otu00862","esv_967","Otu00862","Bacteria(100)","Bacteroidetes","Bacteroidia","Cytophagales","Flammeovirgaceae","Flammeovirga",47.8666666666667,0.0195497630331754,0.227488151658768,0.341232227488152,0.042654028436019,0.16824644549763,0.200829383886256
"Otu00886","esv_993","Otu00886","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas",52.1333333333333,0,0.283763277693475,0.129489124936773,0.243803743045018,0,0.342943854324734
