"","Sample","Family","abund","Sample_Name","Sample_Name_Unique","PCR_setting","Experiment.x","Replicate","Temp","Bleaching_Status","Stress_status","Treatment","Sample_Type","Timepoint_char","Timepoint","Bottle_NR","Notes","PLANC_aquaria","Experiment.y","Treatment_Timepoint","stress_status_v1","organism"
"21","ABC_055_v1","Marine_Group_II_fa",0.00575,"ABC_055","ABC_055_v1","Standard","ABC","II","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,1,NA,"PB1_T7H","ABCDOM","Bleached + Heated_36","Stressed","coral"
"22","ABC_055_v1","Clade_I",0.001917,"ABC_055","ABC_055_v1","Standard","ABC","II","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,1,NA,"PB1_T7H","ABCDOM","Bleached + Heated_36","Stressed","coral"
"23","ABC_055_v1","Bdellovibrionaceae",0.00825,"ABC_055","ABC_055_v1","Standard","ABC","II","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,1,NA,"PB1_T7H","ABCDOM","Bleached + Heated_36","Stressed","coral"
"24","ABC_055_v1","Flavobacteriales_unclassified",0.012583,"ABC_055","ABC_055_v1","Standard","ABC","II","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,1,NA,"PB1_T7H","ABCDOM","Bleached + Heated_36","Stressed","coral"
"25","ABC_056","Vibrionaceae",5e-04,"ABC_056","ABC_056","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,2,NA,"PB2_T7H","ABCDOM","Bleached + Heated_36","Stressed","coral"
"26","ABC_056","Saprospiraceae",0.004416,"ABC_056","ABC_056","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,2,NA,"PB2_T7H","ABCDOM","Bleached + Heated_36","Stressed","coral"
"27","ABC_056","Rhodobacteraceae",0.154664,"ABC_056","ABC_056","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,2,NA,"PB2_T7H","ABCDOM","Bleached + Heated_36","Stressed","coral"
"28","ABC_056","Clade_I",0.0035,"ABC_056","ABC_056","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,2,NA,"PB2_T7H","ABCDOM","Bleached + Heated_36","Stressed","coral"
"29","ABC_056","Other",0.0304180000000001,"ABC_056","ABC_056","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,2,NA,"PB2_T7H","ABCDOM","Bleached + Heated_36","Stressed","coral"
"30","ABC_056","Flavobacteriaceae",0.040249,"ABC_056","ABC_056","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,2,NA,"PB2_T7H","ABCDOM","Bleached + Heated_36","Stressed","coral"
