"","Alteromonadaceae","Bdellovibrionaceae","Clade_I","Colwelliaceae","Cryomorphaceae","Cyanobiaceae","Flavobacteriaceae","Flavobacteriales_unclassified","Halieaceae","Litoricolaceae","Marine_Group_II_fa","Marinobacteraceae","Methylophagaceae","Methylophilaceae","Nitrincolaceae","NS9_marine_group","Oleiphilaceae","Proteobacteria_unclassified","Pseudoalteromonadaceae","Rhodobacteraceae","Saprospiraceae","SAR116_clade","Vibrionaceae","Other"
"Control",-0.415084627854903,0.370333074642399,0.738345046844481,0.435521308389735,1.43402533994706,0.400337361237571,-0.259157423327958,1.4799448073521,1.49622446515909,1.63129033326703,-1.10053674438158,0.45071147702683,-0.582507999506598,0.960871212885669,-0.606536327981232,0.543238800534715,1.14675647083077,0.833743788789481,-0.71235034699415,-0.204454741301668,-1.0189773496152,0.77300518011674,-0.677952120105653,0.125566906627987
"Heated",1.20443614903658,0.948037329375832,-1.0376050588283,0.424955765786634,0.158211453780459,-0.85111669610364,1.94770841256619,-1.32304105846434,-1.07553806951998,0.402420437720004,-1.08398325318937,-1.16896275701774,0.276655189831808,-0.453829017999284,-0.227561740060814,-1.5606830060119,-0.839341827447921,-0.873198333047436,0.370499767770933,-1.09310759143054,0.571646717058761,-1.25930361809225,-0.671499086058891,-0.983783740418568
"Bleached",0.858533364553693,-0.774972694502606,-1.22770474833941,1.05219619980986,0.478611115565144,-0.791217115036001,-0.832179457702243,-0.0223651217075792,-1.02473080406101,-0.731482630412575,-0.321670308416446,-1.02399238660094,-0.486854293581904,-1.10925548505794,-0.0180071968094808,-0.371801995787967,-0.962005589929734,-0.830766066185977,1.49637688439993,-0.731971014046368,1.62994862674137,-0.980011903523452,-0.328616653620518,-0.697961125444758
"Bleached + Heated",0.517333705792057,1.29418998242027,-0.299023983077672,0.568302921025172,0.193357179870259,-0.803047947791379,-0.227397693705577,0.711402160700093,-0.237421150451323,0.391703085663253,0.46676737041887,-0.345748288614106,-0.709902011796014,0.855055740065232,-1.22534291429642,-0.306468065139738,-0.76752838336465,-0.582705963689801,0.627452000857457,-0.406993228095803,0.106824792590794,0.200350320718566,-0.514958451305067,-0.318500987252163
"Negative Control",-0.963784132468961,-0.928892987938672,0.673797176242441,-0.993478690785531,-1.34278301168373,0.408797283691555,-0.628519532103004,-0.735159906569566,0.689113147584639,-0.683029658597303,0.693496308261417,0.840983973298892,-0.413650654187608,0.842401006601778,1.71719455762089,0.300464529730169,0.234253297169158,-0.127111447230125,-0.63144747034902,1.4345479657685,-0.904942241452533,-0.079314317751474,1.90633307012246,0.0233921781732222
"Negative Control + Heated",-1.20143445905847,-0.908694703997224,1.15219156715846,-1.48749750422587,-0.921422077479186,1.6362471140019,-0.000454305727410896,-0.110780881310712,0.152352411288581,-1.01090156764041,1.34592662730711,1.24700798190706,1.91625976924032,-1.09524345649546,0.360253621527061,1.39524973667472,1.18786603274237,1.58003802136386,-1.15053083568515,1.00197860910588,-0.384500545323201,1.34527433853187,0.286693240967671,1.85128676831428
