"","ASV","heated.p","heated.padj","bleached.p","bleached.padj","bleached.heated.p","bleached.heated.padj","heated.l2fc","bleached.l2fc","bleached.heated.l2fc","heated.sig","bleached.sig","bleached.heated.sig","ESV","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","X","X.1","X.2","X.3","X.4","DA_in"
"Otu01153","Otu01153",0.879106304605151,0.964756238204011,0.322583628942897,0.76613611873938,0.994367024508843,0.997343993153846,-0.387927791951409,2.49853046303126,0.0159763319966068,"N","N","N","esv_1324","Otu01153","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonadaceae_unclassified","",NA,NA,NA,"","NNN"
"Otu01163","Otu01163",0.738731200618174,NA,0.850171287364444,0.959420102588947,0.752227610014142,0.997343993153846,-0.847291606954307,-0.476962989052513,-0.712268552714617,NA,"N","N","esv_1338","Otu01163","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Agaribacter","",NA,NA,NA,"","NANN"
"Otu00134","Otu00134",0.083763425954626,0.394038388015291,0.23339667370018,0.682236430815912,0.387496648853994,0.997343993153846,-2.01520147921268,-1.37678078066098,-0.891109575525646,"N","N","N","esv_134","Otu00134","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptuniibacter","",NA,NA,NA,"","NNN"
"Otu00014","Otu00014",0.502678305770744,0.805201058449805,0.590800248164432,0.931163267364503,0.885773751120453,0.997343993153846,-1.24580091491339,-0.990982568923183,0.235889654343979,"N","N","N","esv_14","Otu00014","Bacteria(100)","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia","",NA,NA,NA,"","NNN"
"Otu01224","Otu01224",4.01661380130743e-08,1.5664793825099e-06,1.5798540859477e-09,6.00344552660125e-08,7.12579244304401e-07,2.70780112835672e-05,9.84723282225069,10.7926616939578,8.3623201898608,"Y","Y","Y","esv_1412","Otu01224","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","",NA,NA,NA,"","Non-bleached + Heated and Bleached + Ambient and Bleached + Heated"
"Otu01258","Otu01258",0.454062572883636,NA,0.0142121967229719,0.0900105792454887,0.224478602668287,0.853679817873513,-2.30146801787656,-8.25319160795845,-3.32275585970804,NA,"N","N","esv_1455","Otu01258","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Agaribacter","",NA,NA,NA,"","NANN"
"Otu00147","Otu00147",0.168914839483762,0.520079900515794,0.395532671063792,0.816754226383084,0.442255667729948,0.997343993153846,-1.58462209758464,-0.967474311254693,-0.780693440159391,"N","N","N","esv_147","Otu00147","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Marinobacteraceae","Marinobacter","",NA,NA,NA,"","NNN"
"Otu01285","Otu01285",0.806268497432121,0.962585859179165,0.383211419394576,0.816754226383084,0.832989252230656,0.997343993153846,-0.493401826750372,1.72892677971866,0.374373130134539,"N","N","N","esv_1494","Otu01285","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonadaceae_unclassified","",NA,NA,NA,"","NNN"
"Otu01296","Otu01296",4.39447278258246e-05,0.000856922192603581,2.04403093363981e-05,0.000561011398097157,0.000270614852759909,0.00514168220243828,10.0440404270764,10.4593491919096,8.23252083744586,"Y","Y","Y","esv_1505","Otu01296","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","",NA,NA,NA,"","Non-bleached + Heated and Bleached + Ambient and Bleached + Heated"
"Otu01307","Otu01307",0.373593280113435,NA,0.161700060600536,0.546186871361811,0.109325776374728,0.536048968030922,1.72081337732541,2.67091097230267,2.73431068596441,NA,"N","N","esv_1516","Otu01307","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Umboniibacter","",NA,NA,NA,"","NANN"
"Otu00016","Otu00016",0.0841137845833172,NA,0.0624083140572812,0.263501770464076,0.0223788150988926,0.161979995001508,-7.30967398359587,-7.88531752776961,-8.56105159017688,NA,"N","N","esv_16","Otu00016","Bacteria(100)","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ib","",NA,NA,NA,"","NANN"
"Otu00161","Otu00161",0.726270718878255,0.923626892486477,0.911125757867964,0.996338958244104,0.884415923713291,0.997343993153846,-0.480943156069763,0.153159643319758,0.178386506933775,"N","N","N","esv_161","Otu00161","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Psychrosphaera","",NA,NA,NA,"","NNN"
"Otu00163","Otu00163",0.409438582597141,0.754232410160575,0.771377610163581,0.941906394828814,0.796079824265302,0.997343993153846,-1.06822039585976,-0.373861397491679,0.296938473004744,"N","N","N","esv_163","Otu00163","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","",NA,NA,NA,"","NNN"
