"","Mo_2019_320","Mo_2019_321","Mo_2019_322","Mo_2019_323","Mo_2019_324","Mo_2019_325","Mo_2019_326","Mo_2019_327","Mo_2019_328","Mo_2019_329","Mo_2019_330","Mo_2019_331","Mo_2019_332","Mo_2019_333","Mo_2019_334","Mo_2019_335","Mo_2019_336","Mo_2019_337","Mo_2019_338","Mo_2019_339","Mo_2019_340","Mo_2019_341","Mo_2019_342","Mo_2019_343","Mo_2019_344","Mo_2019_345","Mo_2019_346","Mo_2019_347","Mo_2019_348","Mo_2019_349","Mo_2019_350","Mo_2019_351","Mo_2019_352","Mo_2019_353","Mo_2019_543"
"6211_225.0911_8.8249_168_3-(4-hydroxyphenyl)-1-phenyl-2-propen-1-one_4,2',5'-TRIHYDROXYCHALCONE_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_NA",0,1858788,0,1281086,605651.6,107278.2,481366.3,0,5564370,2513053,3592408,1730305,672979.4,1919230,188535.6,172959.3,135778.6,132245.8,3285126,160155.5,1189564,475120.6,240552.5,76212.74,81901.41,4552622,2047755,1907156,949713.2,717462.8,2075471,156635.3,409382.4,137944.7,0
"6212_182.0811_2.994_91_6-isopropoxynicotinic acid_METHYL NICOTINIC ACID_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA",1151068,3147598,2469344,140930700,4514375,7511293,4111151,2503584,9521602,3374820,4369222,5500023,7141456,1495502,2204369,3545736,4666159,6950687,4603235,1612782,105126500,6608197,8284661,5517682,2303181,2041616,8157763,19350860,10038980,8016184,10664440,7839382,1791639,1777358,1892614
"6214_285.111_7.5315_1045_4-methoxy-9-(2-methylbut-3-en-2-yl)furo[3,2-g]chromen-7-one_CHEMBL1512936_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA",285406.1,1207870,1954532,465769.1,374334.8,291275,484527.5,508679.5,346807.4,406784.6,1602680,17091610,1114021,569329.9,563855.4,243103.3,813428.3,2658383,1507881,3629405,6524230,209386.7,492730.9,616503.2,291217.8,6659518,4198972,1339277,1187644,759992.9,580532.3,336559.2,248584.2,554697.5,191867.8
"6215_297.181_3.0349_1585_N/A_NA_NA_Organic compounds_Benzenoids_Stilbenes_NA",1528720,1942285,903697.5,696326.6,1668483,3022978,6442854,3371753,1343108,457694,2424729,1537652,8920812,3600410,1520298,2304018,1183088,1991163,813550,945572.3,3718679,581838.6,2338669,3902090,2598744,2282754,1822398,967941.1,640894.6,2115226,2052651,792994.6,1792841,2577119,1114703
"6216_274.1285_3.1128_1314_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Quinolines and derivatives_Quinolones and derivatives",19908550,15173230,11423240,14943070,16527890,9980425,28507460,10756530,10432540,15353120,13370600,7217201,2463223,10142560,4311186,11761720,9014221,20493390,19310690,11493570,14698250,18151340,35676350,9242733,30287960,11254310,10582750,10770670,25549490,16510810,1587931,3505493,3772292,11905300,21283950
"6218_196.0969_0.9385_520_N/A_diacetylsongorine_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_Amino acids, peptides, and analogues",1380190,1484637,1874922,12415990,866842.6,516427.9,998309.8,1032888,708841.4,1667422,7545388,1160753,1478161,883486.3,1765653,1274347,1140571,2058332,896797.7,2236556,26197110,1384671,1150205,797099.8,1246041,964732.1,1149013,14222680,1767947,1149660,1139943,745642.9,1181282,715470,771578.1
"6219_313.1553_4.5445_45_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Organooxygen compounds_NA",10840820,5044698,7173621,75540310,2678799,575715.9,931252.6,722292.2,1073391,3406630,28626720,729977.8,415676,1445523,739582.6,775085.6,4584962,330887.3,748276.1,406483.3,1615856,452687.1,315150.6,209908.6,380141.8,319574.1,508264.4,369812.8,151708.6,222193.3,244639.1,287814.7,750684.4,246781.1,711238.9
"6220_528.2637_7.1958_21_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Carboxylic acids and derivatives_NA",519675.2,3987507,216460.6,1366771,11793800,0,0,0,0,0,0,919836.6,0,0,200448.7,0,0,486028.7,3984905,0,2019112,7460208,130858.8,0,0,193337.6,0,200301.4,882079.2,0,195872.9,0,180597.6,0,0
"6221_300.2018_1.0775_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",1856920,6308001,9487545,12437640,31224270,511153.7,791501.8,10025330,13782150,22917690,29909650,12877980,15525140,2791582,1473061,3702349,10677300,4431317,1484599,7542997,1630038,6199111,697595.3,1388498,7895154,2505635,18678340,13355900,10447010,7992135,6994838,3517689,1056633,6639426,730995.3
"6222_193.0972_2.0517_1268_N/A_(1)-1,2,3,4-Tetrahydroisoquinoline-3-carboxylic acid_NA_Organic compounds_Organoheterocyclic compounds_Benzene and substituted derivatives_Benzodiazines",11277330,18463770,12061140,228902100,8325971,3235680,1109792,2750839,6122793,9366294,28752980,623788.4,9267607,6635006,1796280,4618295,738341.8,6393987,9191321,6007259,59500780,7538312,551565.6,4351426,3467691,1143477,9091165,12555590,734227.9,2685660,4865368,502713.8,764682.3,2049604,749730.4
