"","Mo_2019_320","Mo_2019_321","Mo_2019_322","Mo_2019_323","Mo_2019_324","Mo_2019_325","Mo_2019_326","Mo_2019_327","Mo_2019_328","Mo_2019_329","Mo_2019_330","Mo_2019_331","Mo_2019_332","Mo_2019_333","Mo_2019_334","Mo_2019_335","Mo_2019_336","Mo_2019_337","Mo_2019_338","Mo_2019_339","Mo_2019_340","Mo_2019_341","Mo_2019_342","Mo_2019_343","Mo_2019_344","Mo_2019_345","Mo_2019_346","Mo_2019_347","Mo_2019_348","Mo_2019_349","Mo_2019_350","Mo_2019_351","Mo_2019_352","Mo_2019_353","Mo_2019_543"
"1_570.4208_10.666_107_N/A_smenospongidine_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",160836100,111861500,109665000,123987500,87518640,88825980,188233700,84345820,95391860,89324770,133161800,67418530,59052310,85054290,95855590,103494600,94250080,75736980,86131860,91429210,95508000,125426900,126352300,151103500,87422890,69901780,128379800,96520090,128638100,81457250,98075010,168718000,99731370,174160000,105749800
"2_614.4473_10.663_107_N/A_(2-aminoethoxy)[2,3-bis(tetradecanoyloxy)propoxy]phosphinic acid_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",129955100,108287900,112579600,116555800,3614311,92486650,6875579,82030620,90874860,92763360,129682900,75619010,2074727,4393600,82301090,114905300,89409440,82542570,99151080,110793600,97883440,124665800,135652600,170905700,102795400,3285094,3553523,3017832,100640100,3224007,113403700,165056700,87825190,5357035,117775000
"3_338.3418_12.4219_87_Spectral Match to 13-Docosenamide, (Z)- from NIST14_Spectral Match to 9-Octadecenamide, (Z)- from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",795373500,455806800,584512700,515335800,301290000,757544200,396539600,286388400,814142700,274020200,456094200,504706800,1053931000,806762600,249498100,353304700,582615900,640171300,543110500,742600800,625584800,829441600,555850600,546885100,338718500,719183900,598833700,941038400,866696400,332064500,577125600,396377800,563663300,457183800,156122200
"4_526.3947_10.6831_107_N/A_5,6,11-trihydroxy-4-(hydroxymethyl)-8,12,15,15-tetramethyl-7-oxo-3-oxapentacyclo[9.5.0.01/4,?.0?,1/4?.01/4?,1/4?]hexadec-8-en-14-yl tetradecanoate_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",118240800,71841290,74300480,82644300,69390750,68085780,130365000,70847390,65040550,68649790,101044200,53621280,41126860,58483980,71795790,79988750,80845080,55986800,69102710,78574590,67420420,87335600,104237400,101819700,76433950,2457728,85975770,66761100,90974870,76074250,81110210,120566700,77600530,109637300,107540700
"5_658.4736_10.631_107_N/A_GalCer(d18:2/16:2); [M+H]+ C40H72N1O8_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",108700700,63209820,67482540,95327580,71253190,70657330,110972100,78837070,70412470,69111080,96756650,56666660,48219480,81242070,63291880,78483350,76465410,82389210,62762360,77227870,75444260,97016690,114100900,116789500,81748810,61344200,89519540,80094360,79491080,79019770,78533750,117241800,70821750,107306100,81375970
"6_536.1653_12.3652_172_Contaminants septum vial Thermo C4000-53 and C4000-54 serie_Contaminants septum vial Thermo C4000-53 and C4000-54 serie_NA_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_Flavonoid glycosides",1225296000,161269300,1379675000,1038313000,1600956000,20180050,468690500,984203500,175216700,624289600,13994190,580137.3,112047.9,1074534000,312349.8,991468800,748911200,648600900,103679600,977720000,3202751,372316600,1039105000,1252542000,11919800,365014.8,588882500,191845000,1467222000,2085911000,1835318000,1045745000,463853,1154566000,271926900
"8_554.1762_11.261_184_N/A_Contaminant vial septum ThermoFisher C5000-44B_NA_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_Flavonoid glycosides",66621760,67611040,59304520,73800960,139522500,169262800,283854900,178615400,121696000,98518680,176596300,51292510,47756980,94210270,67112270,237321200,102841300,283616600,266843000,167022000,321650800,233137200,307197700,221560700,168270600,175651100,304110600,286271800,602278700,343505800,373509500,120116400,99070400,194488600,128751600
"9_227.1754_2.9523_112_N/A_Massbank:LU071601 SR271425|Formamide, N-((1-((2-(diethylamino)ethyl)amino)-7-methoxy-9-oxo-9H-thioxanthen-4-yl)methyl)-|N-[[1-[2-(diethylamino)ethylamino]-7-methoxy-9-oxothioxanthen-4-yl]methyl]formamide_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Amino acids, peptides, and analogues",6990536000,5327196000,7957195000,3711381000,6309483000,1402842000,1657100000,1717439000,4600541000,2635540000,6239546000,2439464000,2074591000,1874292000,1734913000,1712205000,4434235000,6846016000,5100228000,6866724000,4227185000,6780702000,1464302000,1362694000,1676243000,4098758000,2763909000,6280065000,2467173000,2013956000,1895613000,1639841000,1443428000,4196928000,352572900
"10_702.4999_10.6147_107_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",62228740,37311530,39061390,54990200,34441340,43196630,61312270,46234750,42435590,42072660,59532210,26075230,33232310,55150200,35607640,49371140,45375740,35411280,50690060,46360020,45013570,56818400,57858730,69798380,42005310,37972780,60900790,50196650,43933360,45177590,36896940,57311070,49797840,68457500,56369170
"11_446.2751_10.0563_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",23679560,28575920,76983020,29010450,36165530,302611200,334092200,87018380,9777558,21011110,3445585,1487473,23267140,99849110,27475530,6162618,8860230,12163320,12988410,32241660,26685430,31250320,259535700,21036760,33474820,25061860,9746733,22163260,1145774,2031980,9284429,5663770,7418168,27556310,1364054
"12_682.3634_11.0727_651_N/A_AC1L1X1Z_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Pregnane steroids",33275290,23069520,24056990,19439990,30879690,47872570,46591680,34195540,30183790,40528350,31487000,31036980,32087810,35206930,38463610,25108390,34442810,39084840,40231650,49458950,21647440,34958030,50802460,48420250,34629740,43666790,33396050,41184440,29790750,35578930,39422210,51938540,53663050,43361570,63620360
"13_482.3685_10.6947_107_N/A_5,6,11-trihydroxy-4-(hydroxymethyl)-8,12,15,15-tetramethyl-7-oxo-3-oxapentacyclo[9.5.0.01/4,?.0?,1/4?.01/4?,1/4?]hexadec-8-en-14-yl tetradecanoate_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",63334290,38496350,41168720,43637660,38976020,34459700,70663700,41832300,35562250,34069710,48849660,23904460,25902870,39797100,36144340,38534720,45936840,31285550,37626970,36319670,29978810,50266370,58097510,56705180,39439700,37089120,44636130,37934180,45774830,36980050,42529840,63954740,51436940,55457540,69287010
"14_598.4521_11.0943_107_N/A_PE(P-16:0/16:0); [M-H]- C37H73N1O7P1_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",44177780,30540600,25660670,36511330,29057700,36285940,47562820,37909370,27721200,28918790,49847610,28891970,29768070,29102520,38431320,31885360,39070160,29652540,22162910,33609320,29178990,26270240,48185760,39678720,23998810,27740860,31651560,25876660,43656050,38391240,34695570,49916770,35326200,26621340,33575370
"15_448.279_11.8541_87_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",291874.6,267097,388657.8,166662.5,145885.4,331083.1,567352.6,191578.7,622857.7,248437.1,326176.6,1356915,3702370,303580.2,175263.6,288449.1,730741.9,568140.5,255125.1,570336.9,326536.1,793046.9,760853.9,630241.9,83650.68,207850.9,97306.31,241377.6,1933024,94114,273920,0,114823.4,96620.56,37524.27
"17_450.2759_11.855_87_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",0,0,405127.5,0,0,151096.5,0,61607.3,569558.3,150805.5,190527.8,1357323,3673954,154998.6,141412.7,203994.1,683851.5,458702.7,122624.4,405195.9,460769.4,586475.2,896363.5,686695.2,48315.85,258972.3,77820.32,168885.4,1762549,123333.3,262893.5,53046.01,129844.5,79090.37,43471.4
"18_628.1951_11.6194_184_Contaminant vial septum ThermoFisher C5000-44B_Contaminant vial septum ThermoFisher C5000-44B_NA_Organic compounds_Phenylpropanoids and polyketides_Flavonoids_Flavonoid glycosides",63721580,67481590,66773030,64036960,144437100,72558130,201258500,179459800,113750300,77730420,399941800,61640180,43526910,108895100,117843600,236036600,76598580,247588700,326283000,109435900,288317600,180966000,330757800,196606200,130574600,185732400,255661000,301950000,517991100,545574600,308996300,328001400,78583170,324450700,134833800
"21_418.2437_10.0116_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",118030900,309561600,332368900,286215300,324547000,269455200,719448200,631439300,138290500,343830000,66116820,85554490,361627400,355232400,108277000,154808500,32652070,75581360,79966030,163361900,92089810,104013500,143152300,94810230,152021700,76879480,36580310,71591360,16557250,23717730,26654090,30851850,44818550,110366400,41592600
"22_546.3267_10.296_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA",8015929,12870150,22829680,10069640,11504660,17682090,156444500,86667050,16956480,78979610,2419928,1759388,55278540,34032030,20384130,29765920,1873740,236804.8,7378796,2928230,603530.2,948287.9,33073080,2428430,8999393,11216950,3593732,3804392,396939.7,416406.8,598577.9,5390653,3145483,17103840,11132420
"24_242.2115_9.4094_176_N/A_5-(hydroxyimino)-2,15-dimethyltetracyclo[8.7.0.0.0]heptadecan-14-o l_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",35701220,28826340,66388160,7828819,49473200,28686140,27584730,58486330,51399730,67095820,19552140,863701.3,19709150,65535780,48760760,38393720,46621310,26229820,41068990,51556310,20295020,38328490,49858630,64924420,37822420,50754230,34210260,33511550,6975455,16925350,24504520,60816100,63755760,51767600,26460300
"25_223.989_0.5599_1189_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Benzothiazoles_NA",77522120,34772310,10373040,15907460,32414390,17734580,20500530,14018250,13607860,13739080,70307930,866081.9,9882258,69655590,37872960,33681180,30168500,15758560,62304970,160047400,20355140,16220900,13043990,74221700,44474070,90378940,184714200,116716600,5475479,49579340,25849860,89284960,35131690,65615220,66336080
"26_151.0353_0.5592_1017_N/A_NA_NA_Organic compounds_Benzenoids_Phenol ethers_Anisoles",52392830,28600990,14816870,20082990,31723660,18157870,21575990,15917200,19917750,19146660,46275950,4116533,11249520,51977100,29507720,40614080,26530410,18022560,43284740,75018160,24458710,21481820,14331240,43877590,38607960,52553230,94824100,58516180,10593250,43942130,26854010,51112150,24428230,49869140,47560500
"27_228.1959_9.4104_209_N/A_VITAMIN K1_NA_Organic compounds_Organic acids and derivatives_Carboxylic acids and derivatives_NA",399196300,345955700,678964100,129655200,445002100,147489000,213867400,416041500,485061400,458438600,175143200,46460580,208336100,522353700,351988800,273577300,327303400,196781900,260614500,263492700,213975800,234449700,258932200,300338200,171879500,293340700,226105700,180491100,89770570,124518100,151146800,260957300,328792900,295818500,125805100
"28_646.3792_10.4766_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA",5570165,10615360,23435910,11300700,7946316,13176530,101818800,34852630,19375390,32802140,4156501,1320379,41676490,48142990,10834560,9855231,451396.4,2544655,5913655,4703912,731187.1,3663081,23656320,6517119,4893051,5306658,2296364,1119623,460448.3,445232.9,193335.3,2773202,1954188,9648793,7700317
"30_418.2437_9.5979_34_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA",33281280000,35128070000,32390050000,28665600000,35790440000,45972670000,45414620000,25497990000,576957400,164709500,914476400,342393800,276450700,132551400,100367600,488560000,94712640,24617240000,25469810000,24408200000,24659860000,29400580000,30550680000,26592870000,19188060000,1021098000,842502300,730565400,275705200,714843100,1031123000,902429500,959793300,937174700,73559260
"31_746.526_10.5976_107_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",24104020,21234590,20509130,26738930,16285780,19581400,34585620,18601440,19682350,20801480,37889080,14058940,17000220,26177250,16972880,24233750,21506790,17962720,24987440,20292560,24281000,28709370,25873980,32706470,21166590,21473570,33956970,26037580,21544460,23752980,21754340,25765680,20907920,28429430,26837020
"33_498.1765_12.2016_87_N/A_Spectral Match to Linoleic acid ethyl ester from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",98151.56,27717.97,56249.1,12620.26,22807.86,26677.13,69252.79,44389.21,68245.02,28157.91,0,0,244972.8,55962.3,28391.46,37175.18,96682.89,63170.09,12660.6,57946.39,0,83411.15,149926.3,237005.3,0,117625.9,64449.51,97814.67,292052.4,52031.04,116887.5,116038.2,159981,98229.73,56386.26
"36_453.3436_4.6497_112_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Amino acids, peptides, and analogues",22897550000,21554370000,28020460000,17097850000,23633980000,1092615000,1003639000,2856537000,18541460000,9483148000,20543320000,7604098000,1832790000,1627010000,1652933000,1264336000,4107747000,24576400000,21528350000,23974810000,19027950000,24240700000,1106017000,868738500,3075191000,16272130000,9322300000,19121970000,6750343000,1761353000,1475800000,1611465000,1117911000,3732548000,149216100
"37_319.2956_9.4085_852_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_Hydroxysteroids",16520590,13023070,24230390,3340232,23195860,12148220,11595380,28207040,21972200,32096690,8924171,0,10155740,32040620,21355140,18162880,21935010,12655080,20424620,26784990,9017992,15834870,24718320,32422000,19603600,19440080,13801960,14953180,2498158,7446813,12642500,25099090,29767470,23129430,13445080
"39_243.0005_0.5564_1017_N/A_NA_NA_Organic compounds_Benzenoids_Phenol ethers_Anisoles",53476160,21021890,7311138,13830940,27302900,9647825,15451220,11410500,16901230,10772450,39657600,1035068,6626726,47457950,22314050,37425300,14954950,13263390,32915470,83444900,22813060,15649610,8376930,39036750,31179420,62410580,115313000,64262060,4138427,38099010,20766690,44260580,19509330,46574200,38556880
"43_518.2955_10.2936_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA",30352170,43491450,82554920,82555900,39216290,38214490,379717500,206874000,88271190,170207400,21705620,43001350,383958700,225272100,76279260,84587870,4881445,1488672,16263570,7744299,6140308,4491071,60126860,5326286,19571170,34283720,9324201,8806264,5375681,3802980,2116727,10160490,7376402,36611220,22022860
"44_336.3262_11.8764_87_N/A_Spectral Match to 9-Octadecenamide, (Z)- from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",12679970,8871277,16977830,13729330,7913319,10782620,3358629,2072674,12352170,2678431,4322151,7986577,32125900,16282460,3297081,3861820,6531289,18768800,8656361,18052240,34313750,29156710,5937031,4651647,1574071,11095290,10695200,20358640,62086810,7905449,26688740,7008821,2389079,2892849,2593304
"47_654.3321_11.0724_651_N/A_AC1L1X1Z_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_Pregnane steroids",29299540,22131350,23050220,24233020,23697120,31907540,47892880,34532860,26434670,23187310,30833310,52758250,48309170,39172610,29050270,25589690,20847650,21798740,23606790,27257360,17095390,22417090,29998160,30736400,42558020,28384750,23070450,24566890,52142230,59887520,39707120,40627060,43526510,30607290,30766920
"53_532.3109_10.13_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA",1825434,7484928,10493330,6764986,3518895,13043480,101391300,20689710,12843470,38148080,770276.1,320699.3,20977540,33675190,4746210,20437820,0,0,1348344,889694.9,0,229432.5,17127880,498246.3,6099224,7462881,711590.3,1540681,0,0,494468,602355.3,884665.2,8866543,7074368
"55_510.3996_11.1162_107_N/A_Palmitoylcarnitine_NA_Organic compounds_Lipids and lipid-like molecules_Steroids and steroid derivatives_NA",29233810,20318600,27761550,21682090,14577750,27139090,27988730,21164750,18790490,13519230,25966670,13733930,13783780,20071410,17786350,22432070,19739280,12560900,11250560,16405630,15541260,21638120,17130100,26989090,19864300,18250540,18888920,14436340,28472280,22444830,20036690,28508710,23146330,17337360,21769500
"56_423.9549_0.5545_2106_N/A_NA_NA_Organic compounds_Benzenoids_Benzene and substituted derivatives_Nitrobenzenes",21082910,8282285,2929717,4926125,12482350,4574436,7062191,6117977,4887276,4739202,18682170,51988.31,2573728,23463070,8848515,15741470,6121146,5316990,18856060,41658010,8621290,6251316,3006963,17861730,17886750,30667430,44173190,31628590,1330858,16314860,8883842,22502560,11365870,24258000,18837700
"63_493.3355_11.8458_87_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",30122.39,18677.09,34971.74,91672.27,6298.722,32249.1,73466.09,0,54777.07,14786.11,24796.51,110274.4,438007.6,41285.34,15176.4,7359.648,214858.5,229952.6,32484.87,117706.8,56166.15,292472.2,143030.1,210526.4,0,61055.37,18051.79,48457.34,143569.4,0,0,0,9781.015,22113.43,7958.197
"64_686.505_11.0705_-1_N/A_PE(16:0/16:0); [M-H]- C37H73N1O8P1_NA_no matches_no matches_no matches_no matches",15525760,14945010,14800690,18579190,15728580,19502540,29635340,15802220,13527960,12632600,19801000,21549620,13372420,14334360,14490560,14211740,15166810,14505260,12454190,15637280,13281840,11846530,17723660,22272020,12416090,12481270,18061850,14310460,16724510,15295340,14852820,20806370,15884740,21568710,16546380
"65_582.2073_11.2611_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",4899629,6297594,5817976,4224989,10872320,17785310,12172200,7269776,12099530,8680850,9466333,3782048,3767844,8777367,3141348,16410490,17374880,31852100,31774030,24060030,29057600,30281630,36716070,27104370,6687900,19864730,38372910,38270930,31909820,10538590,19797310,5970989,5626000,14817790,19457930
"67_512.4154_10.7541_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",16269730,20482450,22548800,18066210,40063100,15942120,16557540,25364140,15020870,13879780,23871510,19454880,9842312,11973110,19282750,16833720,10567780,10369410,11511490,10263600,10649700,16374820,11607000,9245681,11705910,10717260,4361590,7772285,11975310,12052530,9329581,9357982,13183030,7938327,11223700
"73_432.2596_9.884_34_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA",80658830,84488970,98495560,72801580,111755100,182457700,194641200,65874020,3252580,49298320,711319.6,613487.4,7770977,10189000,11790880,2544465,964393.1,47964150,51257830,49902940,51527330,60386110,80139580,48952260,27323730,9972181,1157867,4048488,1438768,665629.9,794156.7,1539981,1422424,8624990,6820504
"75_618.3477_10.4778_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA",23686560,38055880,78245310,56965760,34587110,39586290,201975300,124502400,66138300,74107310,19563830,19273880,205965200,144068800,45982130,40238710,1365954,1973202,15664670,11349120,9619066,8930914,43590310,11536870,12684170,14705620,4434628,2746151,2898091,3229375,1745509,6547766,5850268,15957710,7903035
"76_520.3327_4.294_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA",2712139000,3210963000,4712950000,4155323000,6412691000,362970200,436224400,1184130000,3719281000,6436568000,6437047000,2438927000,2819530000,3378088000,1275248000,930251000,3066056000,1851878000,1794214000,2591141000,3829985000,4937629000,289413200,191547400,977401000,2412264000,5464594000,3738691000,1673968000,1826700000,2309163000,823517900,413787400,1372563000,736613300
"77_399.3944_10.9645_87_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",2744777,1262749,1091475,958637.5,1039392,3396280,977551.4,844969,2090470,1031277,3437919,695010,1215166,1065886,838575.8,854188.8,2020241,3388480,3277713,7512105,1080753,3930090,4709375,5796678,1248648,3218598,2684887,4811445,1304418,403682.9,2302538,1484211,1958732,2404582,2120975
"79_258.2065_9.1755_147_N/A_VITAMIN K1_NA_Organic compounds_Organoheterocyclic compounds_Carboxylic acids and derivatives_NA",381008300,557230000,755268400,264343200,487386500,79513690,124326800,208049600,353036100,265313200,26171000,285179000,329561400,470720200,270611500,150822800,295212400,82179970,69917780,68180980,99937960,32459510,46753580,70030950,43712320,176261000,138002100,55384280,158591800,88298700,72372070,41444470,48074880,69859280,52705010
"80_336.3262_12.0749_87_N/A_Spectral Match to 9-Octadecenamide, (Z)- from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",10261910,4157685,24166510,2927560,1996816,4611904,17945600,5908799,15344430,4552545,2261434,7652347,44265940,5737833,6363710,10240800,13518720,4077952,1902244,3737118,3263147,5293668,4287253,4622205,1375839,3982643,3058399,5241419,16417560,2570399,3165874,971049.2,4513907,1919882,3100998
"86_404.2278_9.7655_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA",23253960,22692850,35074120,65979700,30153440,36116900,358130100,60669170,50615600,194215000,15858020,43016730,282698300,179088400,40773360,66734230,1710927,11255700,10923080,11561200,6641459,15377580,2597518,7654103,14432620,32649470,3011938,16565880,1447221,1247903,2885639,1322944,1555751,26087820,18157720
"87_352.3211_11.0452_87_N/A_Spectral Match to Linolenic acid ethyl ester from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",14283580,9840817,9051757,6573335,8338573,13453520,10255110,8961206,13139710,5556194,27974080,10108590,13244070,12404460,10869750,8129204,10622720,19238980,15008020,25813590,13760270,19051350,20430550,18577820,12888940,18825350,16518660,18813940,23612740,10885870,13214570,16010040,17003130,13784110,6703305
"88_504.2801_10.1142_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA",18988380,30356710,54670400,58949350,28168860,31944820,332674900,144026900,62243650,127423400,17281740,40138570,296864400,189051800,50553210,68174470,2926293,435198.7,16485570,6291401,5705416,1778516,47494460,3982423,20688790,28736590,7476692,9698537,3341753,645560.9,1896197,7584322,4650600,29749330,17178360
"92_790.5523_10.5822_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",9990780,11675740,10303180,11103590,7832142,8598693,14330870,8178070,6893149,11448570,16035970,6351698,6820631,8758148,8884696,11355870,10032420,7888873,12743770,9432165,8334977,9780401,12787070,14439700,11379670,7366572,14755000,9376571,9811944,9118358,9773322,14354590,11101120,12550710,11473900
"95_296.2205_9.4088_613_N/A_Himbacine_NA_Organic compounds_Organoheterocyclic compounds_Pyrrolidines_N-acylpyrrolidines",18922230,12530590,32567300,2950517,21518810,10996010,12698080,24107680,20720230,31299300,8530624,0,10500550,27179980,24901050,17648630,20548280,13219890,18253590,22188110,8983326,17480040,20810760,31673270,14270110,23825460,14864410,12200760,1287525,4625866,10679510,25491230,32471270,24214660,12553720
"97_632.3635_10.3296_496_N/A_NA_NA_Organic compounds_Organoheterocyclic compounds_Prenol lipids_NA",4422493,6586224,12208570,1460493,5536373,6667885,58976920,32810650,8069408,25927130,887518.2,398938.3,22371360,18652040,6400388,8842959,300047.2,289537.1,2817162,660598.1,273463.2,345023.3,11972240,1702135,4616976,3200931,1038870,548903.9,169478,0,0,1397877,884690.8,5356247,3185111
"99_397.3789_11.0455_87_N/A_NA_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",4717435,2800708,3080716,1634653,3143184,5475873,3295047,2433526,4009426,2740385,10894840,1978235,2741087,3651069,3603240,3306097,4644107,9532258,7493530,12029590,5198571,7114176,9983737,9630205,4037008,8547623,8404162,8943278,5166078,2050878,4755091,7552280,6387952,6120637,3784201
"101_454.2267_11.9996_87_N/A_Spectral Match to Linoleic acid ethyl ester from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",169802.9,75577.08,204615.3,55348.53,16599.79,79595.55,62349.22,12130.37,159870.7,22629.23,122362.8,38962.33,412691.8,119277.5,20123.23,129524.3,168216.9,83078.93,88897.32,291867.8,137089.4,192204.1,222508.3,137326.6,26423.45,135948.9,67818.06,120068.8,47949.83,26158.78,79568.5,14742.65,111158,39406.31,5898.701
"102_336.3259_10.9429_-1_N/A_NA_NA_no matches_no matches_no matches_no matches",4078401,4305908,14099750,5142235,4184339,1634492,2623409,2565108,5584242,2088213,2012721,5532889,9803039,5267306,2191170,472998,5777750,8325146,4747502,13973620,10770800,13945400,11981720,13116590,3947883,8802878,7340926,14012410,14906070,2980778,13287050,4474455,4713319,6385045,1955724
"103_434.263_11.1938_87_N/A_Spectral Match to Linoleic acid ethyl ester from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",89896.51,202041.8,305959.2,134921.3,125313.2,284704.9,206369.4,75571.16,162346.3,129886.7,87347.05,617264.1,1476181,182476.8,122236.8,127884,203902.7,328166.8,212791.8,267356,172697.4,559838.6,737770.4,644033.5,180875.6,266507.5,211802.5,441739.9,2457503,261673.8,267078.8,245313.6,446468.4,270684,42562.18
"104_564.3591_4.4737_110_N/A_Spectral Match to Nonaethylene glycol from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Prenol lipids_NA",2475354000,2888681000,4262928000,3851667000,5772504000,276410100,295183100,1012099000,3377937000,6261083000,5520255000,1859755000,2400481000,2674437000,983290400,625035100,2310678000,1586213000,1597878000,2239907000,3684736000,4568575000,200894400,136358200,818558400,2273664000,5001129000,3474245000,1380760000,1628172000,2019534000,698463000,301806200,1013988000,443654500
"107_423.2751_5.2433_30_N/A_Spectral Match to Undecaethylene glycol from NIST14_Kahalalide_E_Kahalalide_E_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides",1170538000,1616491000,2041408000,1716631000,3376454000,107323100,109639400,445466600,1891277000,3606723000,3044528000,864544600,1102413000,1356838000,379478700,169475700,459240400,922817300,1099237000,1429657000,1980419000,2983338000,102692800,68790620,396102700,1412758000,3045193000,2098270000,645442200,859815800,1088855000,314289900,112953300,377450800,57997190
"113_290.2691_8.6536_1602_N/A_Massbank:BML00395 Cyclocytidine_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",20225410,33914620,20657950,19010540,19660010,24151550,32944930,21691110,21781360,21987540,35397180,0,0,0,25831310,27507830,25751140,7963053,9967653,7703989,7472596,8454441,9405921,9359007,9594707,8757394,6760161,8114818,0,0,8199367,8793686,9614874,8082332,22713220
"114_401.2622_5.1376_30_N/A_Spectral Match to Undecaethylene glycol from NIST14_Aurilide_B_Aurilide_B_Organic compounds_Lipids and lipid-like molecules_Peptidomimetics_Depsipeptides",1390534000,1920635000,2494366000,2041895000,3950900000,119473900,109748000,575607700,2216157000,4536096000,3713919000,951536600,1246173000,1751184000,478438500,188574000,546839100,1060939000,1234045000,1725802000,2219674000,3221015000,105814100,68573940,506101700,1782101000,3700385000,2577034000,715855100,952429800,1313062000,368872900,127605600,432646100,68573850
"116_284.2949_11.7277_77_Spectral Match to Octadecanamide from NIST14_Spectral Match to Palmitamide from NIST14_NA_Organic compounds_Organic nitrogen compounds_Organonitrogen compounds_Amines",29898790,14246510,13292520,16302930,16439860,14321620,59621920,71256290,21596950,29447460,76633210,29407480,2216120,21562880,99269370,31425230,6036152,16387700,13454090,19387600,16942270,10877190,13769450,23485430,53785540,24825630,15837410,12042580,32903870,91935060,26857000,79081790,49652890,30473650,23085670
"117_336.3261_12.252_87_N/A_Spectral Match to 9-Octadecenamide, (Z)- from NIST14_NA_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty amides",22562570,7926982,61294000,7721216,7960397,14590620,35814990,12196930,39101440,16151780,7082294,8182109,98711190,24846400,21445960,30223670,42427400,7419755,4892097,8102029,2834666,2634903,7353691,6422336,2789624,7861192,2753044,7650012,13480740,5635581,8148848,995135.4,5616523,3611028,7613843
