"","OTU","Sample","abund","ESV.x","Doman.x","Phylum.x","Class.x","Order.x","Family","Genus.x","X","X.1","X.2","X.3","X.4","Sample_Name","Sample_Name_Unique","PCR_setting","Experiment.x","Replicate","Temp","Bleaching_Status","Stress_status","Treatment","Sample_Type","Timepoint_char","Timepoint","Bottle_NR","Notes","PLANC_aquaria","Experiment.y","Treatment_Timepoint","stress_status_v1","heated.p","heated.padj","bleached.p","bleached.padj","bleached.heated.p","bleached.heated.padj","heated.l2fc","bleached.l2fc","bleached.heated.l2fc","heated.l2fcSE","bleached.l2fcSE","bleached.heated.l2fcSE","heated.sig","bleached.sig","bleached.heated.sig","ESV.y","OTUNumber","Doman.y","Phylum.y","Class.y","Order.y","Family.y","Genus.y","DA_in","heated.enrich","bleached.enrich","bleached.heated.enrich","Mean Bleached + Ambient Abundance","Mean Bleached + Heated Abundance","Mean Non-bleached + Ambient Abundance","Mean Non-bleached + Heated Abundance","sig","sig.enrichment"
"11","Otu00002","ABC_057",0.174143736313197,"esv_2","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","ABC_057","ABC_057","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,3,NA,"PB3_T7H","ABCDOM","Bleached + Heated_36","Stressed",0.000259464154224875,0.00433675800633005,3.29485747688121e-05,0.000834697227476572,0.0142342061575142,0.120199963107898,1.29277138137765,1.46897061957481,0.775714565692639,0.353918953811491,0.353792608899645,0.316450537989095,"Y","Y","N","esv_2","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Non-bleached + Heated and Bleached + Ambient","enriched","enriched","enriched",12266.6666666667,14815.5,18450,17488.3333333333,"Y","enriched"
"12","Otu00002","ABC_065",0.391529805117409,"esv_2","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","ABC_065","ABC_065","Standard","ABC","I","Ambient","Bleached","Ambient","Bleached","Sterivex","Tend",36,11,NA,"BL2_T7C","ABCDOM","Bleached_36","Stressed",0.000259464154224875,0.00433675800633005,3.29485747688121e-05,0.000834697227476572,0.0142342061575142,0.120199963107898,1.29277138137765,1.46897061957481,0.775714565692639,0.353918953811491,0.353792608899645,0.316450537989095,"Y","Y","N","esv_2","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Non-bleached + Heated and Bleached + Ambient","enriched","enriched","enriched",12266.6666666667,14815.5,18450,17488.3333333333,"Y","enriched"
"13","Otu00002","ABC_055_v1",0.239069247378162,"esv_2","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","ABC_055","ABC_055_v1","Standard","ABC","II","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,1,NA,"PB1_T7H","ABCDOM","Bleached + Heated_36","Stressed",0.000259464154224875,0.00433675800633005,3.29485747688121e-05,0.000834697227476572,0.0142342061575142,0.120199963107898,1.29277138137765,1.46897061957481,0.775714565692639,0.353918953811491,0.353792608899645,0.316450537989095,"Y","Y","N","esv_2","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Non-bleached + Heated and Bleached + Ambient","enriched","enriched","enriched",12266.6666666667,14815.5,18450,17488.3333333333,"Y","enriched"
"14","Otu00002","ABC_068",0.139810020966155,"esv_2","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","ABC_068","ABC_068","Standard","ABC","I","Ambient","Non Bleached","Ambient","Control","Sterivex","Tend",36,14,NA,"HE2_T7C","ABCDOM","Control_36","Ambient",0.000259464154224875,0.00433675800633005,3.29485747688121e-05,0.000834697227476572,0.0142342061575142,0.120199963107898,1.29277138137765,1.46897061957481,0.775714565692639,0.353918953811491,0.353792608899645,0.316450537989095,"Y","Y","N","esv_2","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Non-bleached + Heated and Bleached + Ambient","enriched","enriched","enriched",12266.6666666667,14815.5,18450,17488.3333333333,"Y","enriched"
"15","Otu00002","ABC_060",0.26073177758571,"esv_2","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","ABC_060","ABC_060","Dil","ABC","I","Hot","Non Bleached","Thermal Stress","Heated","Sterivex","Tend",36,6,NA,"HE3_T7H","ABCDOM","Heated_36","Stressed",0.000259464154224875,0.00433675800633005,3.29485747688121e-05,0.000834697227476572,0.0142342061575142,0.120199963107898,1.29277138137765,1.46897061957481,0.775714565692639,0.353918953811491,0.353792608899645,0.316450537989095,"Y","Y","N","esv_2","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Non-bleached + Heated and Bleached + Ambient","enriched","enriched","enriched",12266.6666666667,14815.5,18450,17488.3333333333,"Y","enriched"
"16","Otu00002","ABC_066",0.17638029817176,"esv_2","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","ABC_066","ABC_066","Standard","ABC","I","Ambient","Bleached","Ambient","Bleached","Sterivex","Tend",36,12,NA,"BL3_T7C","ABCDOM","Bleached_36","Stressed",0.000259464154224875,0.00433675800633005,3.29485747688121e-05,0.000834697227476572,0.0142342061575142,0.120199963107898,1.29277138137765,1.46897061957481,0.775714565692639,0.353918953811491,0.353792608899645,0.316450537989095,"Y","Y","N","esv_2","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Non-bleached + Heated and Bleached + Ambient","enriched","enriched","enriched",12266.6666666667,14815.5,18450,17488.3333333333,"Y","enriched"
"17","Otu00002","ABC_069",0.140512611326399,"esv_2","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","ABC_069","ABC_069","Standard","ABC","I","Ambient","Non Bleached","Ambient","Control","Sterivex","Tend",36,15,NA,"HE3_T7C","ABCDOM","Control_36","Ambient",0.000259464154224875,0.00433675800633005,3.29485747688121e-05,0.000834697227476572,0.0142342061575142,0.120199963107898,1.29277138137765,1.46897061957481,0.775714565692639,0.353918953811491,0.353792608899645,0.316450537989095,"Y","Y","N","esv_2","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Non-bleached + Heated and Bleached + Ambient","enriched","enriched","enriched",12266.6666666667,14815.5,18450,17488.3333333333,"Y","enriched"
"18","Otu00002","ABC_059_v1",0.340312475216115,"esv_2","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","ABC_059","ABC_059_v1","Standard","ABC","II","Hot","Non Bleached","Thermal Stress","Heated","Sterivex","Tend",36,5,NA,"HE2_T7H","ABCDOM","Heated_36","Stressed",0.000259464154224875,0.00433675800633005,3.29485747688121e-05,0.000834697227476572,0.0142342061575142,0.120199963107898,1.29277138137765,1.46897061957481,0.775714565692639,0.353918953811491,0.353792608899645,0.316450537989095,"Y","Y","N","esv_2","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Non-bleached + Heated and Bleached + Ambient","enriched","enriched","enriched",12266.6666666667,14815.5,18450,17488.3333333333,"Y","enriched"
"19","Otu00002","ABC_056",0.243632810114212,"esv_2","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","ABC_056","ABC_056","Standard","ABC","I","Hot","Bleached","Thermal Stress","Bleached + Heated","Sterivex","Tend",36,2,NA,"PB2_T7H","ABCDOM","Bleached + Heated_36","Stressed",0.000259464154224875,0.00433675800633005,3.29485747688121e-05,0.000834697227476572,0.0142342061575142,0.120199963107898,1.29277138137765,1.46897061957481,0.775714565692639,0.353918953811491,0.353792608899645,0.316450537989095,"Y","Y","N","esv_2","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Non-bleached + Heated and Bleached + Ambient","enriched","enriched","enriched",12266.6666666667,14815.5,18450,17488.3333333333,"Y","enriched"
"20","Otu00002","ABC_067",0.151694617762629,"esv_2","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","",NA,NA,NA,"","ABC_067","ABC_067","Standard","ABC","I","Ambient","Non Bleached","Ambient","Control","Sterivex","Tend",36,13,NA,"HE1_T7C","ABCDOM","Control_36","Ambient",0.000259464154224875,0.00433675800633005,3.29485747688121e-05,0.000834697227476572,0.0142342061575142,0.120199963107898,1.29277138137765,1.46897061957481,0.775714565692639,0.353918953811491,0.353792608899645,0.316450537989095,"Y","Y","N","esv_2","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Non-bleached + Heated and Bleached + Ambient","enriched","enriched","enriched",12266.6666666667,14815.5,18450,17488.3333333333,"Y","enriched"
