"","Sample","Well","Plate","Plate_Well","Tube Name:","Sample ID:","All Events","include Events","Sym-FSC Events","Sym-SSC Events","All Events  Events/μL(V)","include Events/μL(V)","Sym-FSC Events/μL(V)...11","Sym-SSC Events/μL(V)...12","Notes.x","Run Volume","Run Speed (uL/min)","Run Time (seconds)","starting time gate (seconds)","run time for data collection (seconds)","volume for data collection (uL)","events/event*ul-1","include events/events*uL-1","symFSC events/symFSC events*uL-1","Sym-FSC Events/μL(V)_corrected","Sym-FSC Events/μL(V)...24","symFSC_diff_percentage","Sym-SSC Events/μL(V)_corrected","Sym-SSC Events/μL(V)...27","symSSC_diff_percentage","Length","Width","Height","Shape","Vol","SA","Notes.y","Aquaria","Timepoint_Heat","Genotype","Timepoint","Heat","Aquaria_Timepoint_Heat","Outlier","Outlier1","Collection_Bleaching_Level","Collection_Bleaching_Level1","Species","sym.con","events","sym.total","sym.SA","log10.sym.SA"
"51","PC_BL3_T7H_E","C6",3,"03-Well-C6","03-Well-C6",NA,90774,62649,1452,1169,756.04,680.98,12.09,9.74,NA,120,60,120,10,110,110,120.0650759,"91.99829657","120.0992556",13.2,12.09,"1.091811414",10.62727273,9.74,"0.916509837",2,2.5,1,"box",13,14,"dead, overgrown by green epiphytic algae","BL3","T7H","E","T7","H","BL3_T7H",NA,NA,"BL","BL","Porites rus",13.2,1452,171600,12257.1428571429,4.08838924783445
"52","PC_BL3_T7H_F","C7",3,"03-Well-C7","03-Well-C7",NA,183004,137591,27770,17456,1524.95,1496.53,231.4,145.46,NA,120,60,120,10,110,110,120.0065576,"91.94002125","120.008643",252.4545455,231.4,"1.090987664",158.6909091,145.46,"0.916624656",2.4,2.5,0.8,"box",12.5,13.84,NA,"BL3","T7H","F","T7","H","BL3_T7H",NA,NA,"BL","BL","Porites rus",252.4545455,27770,3155681.81875,228011.692106214,5.35795711755754
"53","PC_HE1_T0C_A","D1",2,"02-Well-D1","02-Well-D1",NA,251681,186248,53599,49153,2097.32,2025.88,446.65,409.6,NA,120,60,120,10,110,110,120.0012397,"91.93436926","120.0022389",487.2636364,446.65,"1.090929444",446.8454545,409.6,"0.916648017",NA,1,3.2,"cone",15,10.53253785,NA,"HE1","T0C","A","T0","C","HE1_T0C",NA,NA,"HE","HE","Acropora pulchra",487.2636364,53599,7308954.546,693940.496591712,5.84132223254451
"54","PC_HE1_T0C_B","D2",2,"02-Well-D2","02-Well-D2",NA,183746,137456,55172,52037,1531.21,1495.16,459.76,433.64,NA,120,60,120,10,110,110,120.0005225,"91.93397362","120.00174",501.5636364,459.76,"1.090924909",473.0636364,433.64,"0.916663144",NA,1.4,2.8,"cone",10,13.76863687,NA,"HE1","T0C","B","T0","C","HE1_T0C",NA,NA,"HE","HE","Acropora pulchra",501.5636364,55172,5015636.364,364279.805717616,5.56143509628036
"55","PC_HE1_T0C_C","D3",2,"02-Well-D3","02-Well-D3",NA,666863,478047,52795,48723,5556.22,5198.75,439.88,405.95,"Use Sym-SSC Sym-SSC Events/μL(V)",120,60,120,10,110,110,120.0209855,"91.95421976","120.0213695",479.9545455,439.88,"1.091103359",442.9363636,405.95,"0.916497342",2.3,2.8,3,"box",10,37.04,"Lost ~2.5ml","HE1","T0C","C","T0","C","HE1_T0C",NA,NA,"HE","HE","Pocillopora verrucosa",442.9363636,48723,4429363.636,119583.251511879,5.07767035786878
"56","PC_HE1_T0C_D","D4",2,"02-Well-D4","02-Well-D4",NA,337281,238281,32879,29568,2810.1,2591.2,273.94,246.35,"Use Sym-SSC Sym-SSC Events/μL(V)",120,60,120,10,110,110,120.0245543,"91.95778018","120.0226327",298.9,273.94,"1.091114843",268.8,246.35,"0.916480655",1.5,2.2,3.2,"box",15,26.98,NA,"HE1","T0C","D","T0","C","HE1_T0C",NA,NA,"HE","HE","Pocillopora verrucosa",268.8,29568,4032000,149444.032616753,5.17447857810158
"57","PC_HE1_T0C_E","D5",2,"02-Well-D5","02-Well-D5",NA,120760,78665,2307,1595,1006.32,855.66,19.22,13.29,NA,120,60,120,10,110,110,120.00159,"91.93488068","120.0312175",20.97272727,19.22,"1.091192886",14.5,13.29,"0.916551724",1.8,1.2,2.8,"Box",15,18.96,"lost some blastate","HE1","T0C","E","T0","C","HE1_T0C",NA,NA,"HE","HE","Porites rus",20.97272727,2307,314590.90905,16592.3475237342,4.21990783536003
"58","PC_HE1_T0C_F","D6",2,"02-Well-D6","02-Well-D6",NA,243157,166839,6393,5087,2025.71,1814.09,53.26,42.38,NA,120,60,120,10,110,110,120.0354444,"91.96842494","120.0337965",58.11818182,53.26,"1.091216332",46.24545455,42.38,"0.91641439",3.5,4.1,3.8,"box with no lid or bottom",15,57.76,NA,"HE1","T0C","F","T0","C","HE1_T0C",NA,NA,"HE","HE","Porites rus",58.11818182,6393,871772.7273,15093.0181319252,4.17877609378332
"59","PC_HE1_T7C_A","C8",3,"03-Well-C8","03-Well-C8",NA,192895,142147,35260,34082,1607,1545.62,293.75,283.94,NA,120,60,120,10,110,110,120.0342253,"91.96762464","120.0340426",320.5454545,293.75,"1.091218569",309.8363636,283.94,"0.916419224",NA,0.7,2.8,"cylinder",10,13.8544236,NA,"HE1","T7C","A","T7","C","HE1_T7C",NA,NA,"HE","HE","Acropora pulchra",320.5454545,35260,3205454.545,231366.864298851,5.36430116065459
"60","PC_HE1_T7C_B","C9",3,"03-Well-C9","03-Well-C9",NA,437592,332458,57333,59586,3646.29,3615.89,477.73,496.51,"Use Sym-SSC Sym-SSC Events/μL(V)",120,60,120,10,110,110,120.0102022,"91.94361554","120.0113035",521.2090909,477.73,"1.09101185",541.6909091,496.51,"0.916592824",NA,0.9,4.7,"cylinder",10,29.1225639,"lost some blastate","HE1","T7C","B","T7","C","HE1_T7C","Y","Y","HE","HE","Acropora pulchra",541.6909091,59586,5416909.091,186003.852875055,5.26952194026655
"61","PC_HE1_T7C_C","C10",3,"03-Well-C10","03-Well-C10",NA,274759,202626,53799,49163,2288.68,2202.82,448.13,409.52,NA,120,60,120,10,110,110,120.0512959,"91.98481946","120.052217",489.0818182,448.13,"1.091383791",446.9363636,409.52,"0.91628257",2.3,1.3,2.4,"box",10,20.27,NA,"HE1","T7C","C","T7","C","HE1_T7C",NA,NA,"HE","HE","Pocillopora verrucosa",489.0818182,53799,4890818.182,241283.580759743,5.38252776936814
"62","PC_HE1_T7C_D","C11",3,"03-Well-C11","03-Well-C11",NA,284958,144016,4709,4152,2374.43,2038.32,39.24,34.6,NA,120,60,120,10,110,110,120.0111185,"70.6542643","120.0050968",42.80909091,39.24,"1.090955426",37.74545455,34.6,"0.916666667",1.4,1.8,3.5,"box",15,24.92,NA,"HE1","T7C","D","T7","C","HE1_T7C",NA,NA,"HE","HE","Pocillopora verrucosa",42.80909091,4709,642136.36365,25767.9118639647,4.41107922636227
"63","PC_HE1_T7C_E","C12",3,"03-Well-C12","03-Well-C12",NA,252438,126245,4298,3887,2103.32,1865.85,35.81,32.39,NA,120,60,120,10,110,110,120.0188274,"67.66085162","120.0223401",39.07272727,35.81,"1.091112183",35.33636364,32.39,"0.916619501",NA,1.3,2.3,"cylinder",10.5,24.09601565,"lost some blastate","HE1","T7C","E","T7","C","HE1_T7C","Y","Y","HE","HE","Porites rus",39.07272727,4298,410263.636335,17026.2022690461,4.23111778844839
"64","PC_HE1_T7C_F","D1",3,"03-Well-D1","03-Well-D1",NA,6686,1724,140,78,55.65,18.35,1.17,0.65,NA,120,60,120,10,110,110,120.1437556,"93.95095368","119.6581197",1.272727273,1.17,"1.087801088",0.709090909,0.65,"0.916666667",1.1,1.3,3.1,"box",10,16.31,NA,"HE1","T7C","F","T7","C","HE1_T7C",NA,NA,"HE","HE","Porites rus",1.272727273,140,12727.27273,780.335544451257,2.8922813895728
"65","PC_HE1_T7H_A","D2",3,"03-Well-D2","03-Well-D2",NA,3707,770,164,135,30.89,29.66,1.37,1.12,NA,120,60,120,10,110,110,120.0064746,"25.96089009","119.7080292",1.490909091,1.37,"1.088254811",1.227272727,1.12,"0.912592593",NA,1,8,"cone",10,25.32832971,"epiphytic algae. Some","HE1","T7H","A","T7","H","HE1_T7H",NA,NA,"HE","HE","Acropora pulchra",1.490909091,164,14909.09091,588.633008204788,2.76984461195873
"66","PC_HE1_T7H_B","D3",3,"03-Well-D3","03-Well-D3",NA,13122,9100,850,559,109.27,108.55,7.08,4.66,NA,120,60,120,10,110,110,120.0878558,"83.83233533","120.0564972",7.727272727,7.08,"1.091422702",5.081818182,4.66,"0.916994633",NA,1,4,"cylinder",10,28.27433388,NA,"HE1","T7H","B","T7","H","HE1_T7H",NA,NA,"HE","HE","Acropora pulchra",7.727272727,850,77272.72727,2732.96366938141,3.43663385844273
"67","PC_HE1_T7H_C","D4",3,"03-Well-D4","03-Well-D4",NA,4524,3383,335,228,37.69,36.62,2.79,1.9,NA,120,60,120,10,110,110,120.0318387,"92.38121245","120.0716846",3.045454545,2.79,"1.091560769",2.072727273,1.9,"0.916666667",NA,1.8,1.4,"dome",10,12.89508026,NA,"HE1","T7H","C","T7","H","HE1_T7H",NA,NA,"HE","HE","Pocillopora verrucosa",3.045454545,335,30454.54545,2361.71817747182,3.37322807224821
"68","PC_HE1_T7H_D","D5",3,"03-Well-D5","03-Well-D5",NA,4537,3044,64,44,37.79,33.09,0.53,0.37,NA,120,60,120,10,110,110,120.0582165,"91.99153823","120.754717",0.581818182,0.53,"1.097770154",0.4,0.37,"0.925",2.6,1.6,2.6,"box",10,26,"epiphytic algae. Some","HE1","T7H","D","T7","H","HE1_T7H","Y",NA,"HE","HE","Pocillopora verrucosa",0.581818182,64,5818.18182,223.776223846154,2.34981394099056
"69","PC_HE1_T7H_E","D6",3,"03-Well-D6","03-Well-D6",NA,28148,6398,521,411,234.52,220.18,4.34,3.42,NA,120,60,120,10,110,110,120.0238786,"29.05804342","120.0460829",4.736363636,4.34,"1.091328027",3.736363636,3.42,"0.915328467",0.9,1.7,2.7,"box",15,15.57,NA,"HE1","T7H","E","T7","H","HE1_T7H",NA,NA,"HE","HE","Porites rus",4.736363636,521,71045.45454,4562.97074759152,3.65924768459552
"70","PC_HE1_T7H_F","D7",3,"03-Well-D7","03-Well-D7",NA,151344,118547,32886,32003,1260.3,1253.04,273.85,266.5,NA,120,60,120,10,110,110,120.0856939,"94.60751452","120.0876392",298.9636364,273.85,"1.091705811",290.9363636,266.5,"0.916007874",NA,2,2.1,"dome",10,18.2,NA,"HE1","T7H","F","T7","H","HE1_T7H",NA,NA,"HE","HE","Porites rus",298.9636364,32886,2989636.364,164265.734285714,5.21554697936537
"71","PC_HE2_T0C_A","D7",2,"02-Well-D7","02-Well-D7",NA,132502,99046,31647,28709,1103.56,1076.57,263.58,239.11,NA,120,60,120,10,110,110,120.0677806,"92.00144905","120.0660141",287.7,263.58,"1.091509219",260.9909091,239.11,"0.916162179",NA,1.2,2.4,"cylinder",10,22.61946711,NA,"HE2","T0C","A","T0","C","HE2_T0C",NA,NA,"HE","HE","Acropora pulchra",287.7,31647,2877000,127191.325330918,5.10445749268518
"72","PC_HE2_T0C_B","D8",2,"02-Well-D8","02-Well-D8",NA,213720,160039,45554,42496,1780.5,1740.18,379.51,354.03,NA,120,60,120,10,110,110,120.0336984,"91.96692296","120.0337277",414.1272727,379.51,"1.091215706",386.3272727,354.03,"0.916399191",NA,0.9,1.8,"cylinder",10,12.72345025,NA,"HE2","T0C","B","T0","C","HE2_T0C",NA,NA,"HE","HE","Acropora pulchra",414.1272727,45554,4141272.727,325483.469155703,5.51252893626283
"73","PC_HE2_T0C_C","D9",2,"02-Well-D9","02-Well-D9",NA,738131,517326,77770,68987,6148.9,5624.58,647.85,574.69,"Use Sym-SSC Sym-SSC Events/μL(V)",120,60,120,10,110,110,120.0427719,"91.9759342","120.0432199",707,647.85,"1.091301999",627.1545455,574.69,"0.916345108",1.4,3.1,3.6,"box",10,36.74,NA,"HE2","T0C","C","T0","C","HE2_T0C",NA,NA,"HE","HE","Pocillopora verrucosa",627.1545455,68987,6271545.455,170700.747278171,5.23223542233369
"74","PC_HE2_T0C_D","D10",2,"02-Well-D10","02-Well-D10",NA,160896,117479,12616,11130,1340.58,1277.6,105.12,92.74,NA,120,60,120,10,110,110,120.019693,"91.9528804","120.0152207",114.6909091,105.12,"1.091047461",101.1818182,92.74,"0.916567835",2.3,1.5,2.8,"cylinder",10,33.45796176,NA,"HE2","T0C","D","T0","C","HE2_T0C",NA,NA,"HE","HE","Pocillopora verrucosa",114.6909091,12616,1146909.091,34279.108190361,4.53502951473765
"75","PC_HE2_T0C_E","D11",2,"02-Well-D11","02-Well-D11",NA,126963,80289,2614,2080,1057.58,872.86,21.77,17.33,NA,120,60,120,10,110,110,120.0504926,"91.98382329","120.0734956",23.76363636,21.77,"1.091577233",18.90909091,17.33,"0.916490385",1,2,2.2,"box",15,15.2,NA,"HE2","T0C","E","T0","C","HE2_T0C",NA,NA,"HE","HE","Porites rus",23.76363636,2614,356454.5454,23450.9569342105,4.37016056913075
"76","PC_HE2_T0C_F","D12",2,"02-Well-D12","02-Well-D12",NA,136112,86816,2953,2318,1134.09,944.15,24.6,19.31,NA,120,60,120,10,110,110,120.0186934,"91.95149076","120.0406504",26.84545455,24.6,"1.09127864",21.07272727,19.31,"0.916350302",NA,2.4,3.1,"cone",15,29.55956565,NA,"HE2","T0C","F","T0","C","HE2_T0C",NA,NA,"HE","HE","Porites rus",26.84545455,2953,402681.81825,13622.7244682129,4.13426397271511
"77","PC_HE2_T7C_A","D8",3,"03-Well-D8","03-Well-D8",NA,328964,248037,88034,62809,2740.63,2697.06,733.42,523.27,NA,120,60,120,10,110,110,120.0322554,"91.96569598","120.032178",800.3090909,733.42,"1.091201618",570.9909091,523.27,"0.916424398",NA,1,7,"cone",10,22.21441469,NA,"HE2","T7C","A","T7","C","HE2_T7C",NA,NA,"HE","HE","Acropora pulchra",800.3090909,88034,8003090.909,360265.666265907,5.55662287532892
"78","PC_HE2_T7C_B","D9",3,"03-Well-D9","03-Well-D9",NA,629869,116958,17061,15452,5248.32,4446.98,142.16,128.75,NA,120,60,120,10,110,110,120.0134519,"26.30054554","120.0126618",155.1,142.16,"1.091024198",140.4727273,128.75,"0.91654802",NA,0.9,3.2,"cylinder",10.5,20.64026373,NA,"HE2","T7C","B","T7","C","HE2_T7C",NA,NA,"HE","HE","Acropora pulchra",155.1,17061,1628550,78901.6081045976,4.89708585471558
"79","PC_HE2_T7C_C","D10",3,"03-Well-D10","03-Well-D10",NA,560090,316479,48000,41727,4666.3,4427.05,399.9,347.64,NA,120,60,120,10,110,110,120.0287165,"71.48755944","120.0300075",436.3636364,399.9,"1.091181886",379.3363636,347.64,"0.916442591",NA,1.6,3.9,"cylinder",10,47.24955351,"lost some blastate","HE2","T7C","C","T7","C","HE2_T7C",NA,NA,"HE","HE","Pocillopora verrucosa",436.3636364,48000,4363636.364,92352.9650513305,4.96545084330371
"80","PC_HE2_T7C_D","D11",3,"03-Well-D11","03-Well-D11",NA,97201,68648,1571,1182,809.94,737.2,13.09,9.85,NA,120,60,120,10,110,110,120.0101242,"93.11991319","120.0152788",14.28181818,13.09,"1.091047989",10.74545455,9.85,"0.916666667",1.1,1.5,2.7,"box",10,15.69,"lost some blastate","HE2","T7C","D","T7","C","HE2_T7C",NA,NA,"HE","HE","Pocillopora verrucosa",14.28181818,1571,142818.1818,9102.49724665392,3.95916055623952
"81","PC_HE2_T7C_E","D12",3,"03-Well-D12","03-Well-D12",NA,86055,55146,3804,3281,716.84,599.53,31.69,27.33,NA,120,60,120,10,110,110,120.0477094,"91.98205261","120.0378668",34.58181818,31.69,"1.091253335",29.82727273,27.33,"0.916275526",1.7,2.2,2.3,"box",10,21.68,NA,"HE2","T7C","E","T7","C","HE2_T7C",NA,NA,"HE","HE","Porites rus",34.58181818,3804,345818.1818,15951.0231457565,4.20278854521797
"82","PC_HE2_T7C_F","E1",3,"03-Well-E1","03-Well-E1",NA,6773,4750,253,151,56.4,51.62,2.11,1.26,NA,120,60,120,10,110,110,120.0886525,"92.01859744","119.9052133",2.3,2.11,"1.090047393",1.372727273,1.26,"0.917880795",0.9,1.6,2.1,"box",10,11.94,"lost some blastate","HE2","T7C","F","T7","C","HE2_T7C","Y",NA,"HE","HE","Porites rus",2.3,253,23000,1926.29815745394,3.28472350922424
"83","PC_HE2_T7H_A","E2",3,"03-Well-E2","03-Well-E2",NA,1143,758,16,10,9.49,8.21,0.13,0.08,NA,120,60,120,10,110,110,120.4425711,"92.32643118","123.0769231",0.145454545,0.13,"1.118881119",0.090909091,0.08,"0.88",NA,0.9,2.9,"cylinder",10,18.9438037,NA,"HE2","T7H","A","T7","H","HE2_T7H",NA,NA,"HE","HE","Acropora pulchra",0.145454545,16,1454.54545,76.7821221669437,1.88526011133253
"84","PC_HE2_T7H_B","E3",3,"03-Well-E3","03-Well-E3",NA,9057,6444,374,236,75.44,70.05,3.12,1.97,NA,120,60,120,10,110,110,120.0556734,"91.99143469","119.8717949",3.4,3.12,"1.08974359",2.145454545,1.97,"0.918220339",NA,0.8,1.1,"cylinder",10,7.539822369,NA,"HE2","T7H","B","T7","H","HE2_T7H",NA,NA,"HE","HE","Acropora pulchra",3.4,374,34000,4509.39005404041,3.65411780261437
"85","PC_HE2_T7H_C","E4",3,"03-Well-E4","03-Well-E4",NA,3926,2787,549,425,32.69,30.28,4.57,3.54,NA,120,60,120,10,110,110,120.0978893,"92.04095112","120.131291",4.990909091,4.57,"1.092102646",3.863636364,3.54,"0.916235294",1.4,2.2,3.1,"box",10,25.4,NA,"HE2","T7H","C","T7","H","HE2_T7H",NA,NA,"HE","HE","Pocillopora verrucosa",4.990909091,549,49909.09091,1964.92483897638,3.29334594267984
"86","PC_HE2_T7H_D","E5",3,"03-Well-E5","03-Well-E5",NA,1638,1029,37,30,13.65,11.19,0.31,0.25,NA,120,60,120,10,110,110,120,"91.95710456","119.3548387",0.336363636,0.31,"1.085043988",0.272727273,0.25,"0.916666667",1.5,2.7,3,"box",10,29.25,"epiphytic algae. maybe","HE2","T7H","D","T7","H","HE2_T7H",NA,NA,"HE","HE","Pocillopora verrucosa",0.336363636,37,3363.63636,114.996114871795,2.06068316802106
"87","PC_HE2_T7H_E","E6",3,"03-Well-E6","03-Well-E6",NA,4272,1976,82,57,35.59,38.8,0.68,0.47,NA,120,60,120,10,110,110,120.0337173,"50.92783505","120.5882353",0.745454545,0.68,"1.096256684",0.518181818,0.47,"0.907017544",1.2,1.8,2.7,"box-y triangle",15,5.724,NA,"HE2","T7H","E","T7","H","HE2_T7H",NA,NA,"HE","HE","Porites rus",0.745454545,82,11181.818175,1953.49723532495,3.29081280092862
"88","PC_HE2_T7H_F","E7",3,"03-Well-E7","03-Well-E7",NA,682963,387672,97313,73236,5690.62,5330.87,810.84,610.22,NA,120,60,120,10,110,110,120.0155695,"72.72208851","120.0150461",884.6636364,810.84,"1.091045874",665.7818182,610.22,"0.916546507",1.5,2.4,2.6,"box",15,23.88,NA,"HE2","T7H","F","T7","H","HE2_T7H",NA,NA,"HE","HE","Porites rus",884.6636364,97313,13269954.546,555693.238944724,5.74483511280686
"89","PC_HE3_T0C_A","E1",2,"02-Well-E1","02-Well-E1",NA,151893,118297,37830,34231,1012.22,969.7,252.1,228.12,NA,120,60,120,10,110,110,150.0592757,"121.9934","150.0595002",343.9090909,252.1,"1.364177275",311.1909091,228.12,"0.733054833",NA,0.8,2.2,"cylinder",10,13.06902544,"chunk had dark tissue—black maybe","HE3","T0C","A","T0","C","HE3_T0C","Y",NA,"HE","HE","Acropora pulchra",343.9090909,37830,3439090.909,263148.229742829,5.42020045276672
"90","PC_HE3_T0C_B","E2",2,"02-Well-E2","02-Well-E2",NA,626705,390161,108286,102348,5222.28,4831.29,902.34,852.86,NA,120,60,120,10,110,110,120.0060127,"80.75710628","120.0057628",984.4181818,902.34,"1.09096148",930.4363636,852.86,"0.916623676",NA,1,5.5,"cylinder",10,37.69911184,NA,"HE3","T0C","B","T0","C","HE3_T0C",NA,NA,"HE","HE","Acropora pulchra",984.4181818,108286,9844181.818,261125.03285966,5.41684850763946
"91","PC_HE3_T0C_C","E3",2,"02-Well-E3","02-Well-E3",NA,366574,105551,17221,15619,3054.48,3652.8,143.49,130.15,NA,120,60,120,10,110,110,120.0119169,"28.89591546","120.0153321",156.5545455,143.49,"1.091048473",141.9909091,130.15,"0.916607977",1.4,1.7,2.3,"BOX",10,16.64,NA,"HE3","T0C","C","T0","C","HE3_T0C",NA,NA,"HE","HE","Pocillopora verrucosa",156.5545455,17221,1565545.455,94083.2605168269,4.97351235975172
"92","PC_HE3_T0C_D","E4",2,"02-Well-E4","02-Well-E4",NA,159945,90412,13228,11126,1332.68,1488.56,110.22,92.7,NA,120,60,120,10,110,110,120.0175586,"60.73789434","120.0145164",120.2545455,110.22,"1.091041058",101.1454545,92.7,"0.916501887",2,3.2,2.8,"box",15,35.52,NA,"HE3","T0C","D","T0","C","HE3_T0C",NA,NA,"HE","HE","Pocillopora verrucosa",120.2545455,13228,1803818.1825,50783.1695523649,4.70571980319672
"93","PC_HE3_T0C_E","E5",2,"02-Well-E5","02-Well-E5",NA,141155,104731,3462,2690,1175.99,1106.58,28.84,22.41,NA,120,60,120,10,110,110,120.0307826,"94.64385765","120.0416089",31.47272727,28.84,"1.091287353",24.45454545,22.41,"0.916394052",NA,1.8,2,"cone",15,15.21569033,"fell on ground before chunking","HE3","T0C","E","T0","C","HE3_T0C","Y",NA,"HE","HE","Porites rus",31.47272727,3462,472090.90905,31026.5849797957,4.49173397648493
"94","PC_HE3_T0C_F","E6",2,"02-Well-E6","02-Well-E6",NA,283404,194560,8289,7178,2360.3,2114.69,69.03,59.78,NA,120,60,120,10,110,110,120.0711774,"92.00402896","120.0782269",75.35454545,69.03,"1.091620244",65.25454545,59.78,"0.916104765",1.4,1.7,2.4,"box",15,17.26,NA,"HE3","T0C","F","T0","C","HE3_T0C",NA,NA,"HE","HE","Porites rus",75.35454545,8289,1130318.18175,65487.7277954809,4.81615992212824
"95","PC_HE3_T7C_A","E8",3,"03-Well-E8","03-Well-E8",NA,252500,69231,8646,7705,2104.12,2361.23,72.05,64.21,NA,120,60,120,10,110,110,120.0026614,"29.31988836","120",78.6,72.05,"1.090909091",70.04545455,64.21,"0.916690461",NA,1.1,5.8,"cylinder",10,43.88804937,NA,"HE3","T7C","A","T7","C","HE3_T7C",NA,NA,"HE","HE","Acropora pulchra",78.6,8646,786000,17909.2033317224,4.25307626723752
"96","PC_HE3_T7C_B","E9",3,"03-Well-E9","03-Well-E9",NA,332693,248156,34814,29826,2771.8,2698.49,290.05,248.49,NA,120,60,120,10,110,110,120.0277798,"91.9610597","120.0275815",316.4909091,290.05,"1.091159831",271.1454545,248.49,"0.916445383",NA,1,2.8,"cylinder",10,20.73451151,NA,"HE3","T7C","B","T7","C","HE3_T7C",NA,NA,"HE","HE","Acropora pulchra",316.4909091,34814,3164909.091,152639.674654192,5.18366743167842
"97","PC_HE3_T7C_C","E10",3,"03-Well-E10","03-Well-E10",NA,505940,280678,48035,43778,4214.92,3748.27,400.17,364.71,NA,120,60,120,10,110,110,120.035493,"74.88201223","120.0364845",436.6818182,400.17,"1.091240768",397.9818182,364.71,"0.916398648",NA,1.9,2.7,"cylinder",10,43.57389011,NA,"HE3","T7C","C","T7","C","HE3_T7C",NA,NA,"HE","HE","Pocillopora verrucosa",436.6818182,48035,4366818.182,100216.39497819,5.00093877608318
"98","PC_HE3_T7C_D","E11",3,"03-Well-E11","03-Well-E11",NA,233178,169313,5230,4319,1942.5,1812.5,43.57,35.98,NA,120,60,120,10,110,110,120.0401544,"93.41406897","120.0367225",47.54545455,43.57,"1.091242932",39.26363636,35.98,"0.91636953",1.5,2.3,3,"box",10,26.25,"lost some blastate","HE3","T7C","D","T7","C","HE3_T7C",NA,NA,"HE","HE","Pocillopora verrucosa",47.54545455,5230,475454.5455,18112.5541142857,4.25797969600859
"99","PC_HE3_T7C_E","E12",3,"03-Well-E12","03-Well-E12",NA,87921,65220,203,144,732.48,709.17,1.69,1.2,NA,120,60,120,10,110,110,120.0319463,"91.96666526","120.1183432",1.845454545,1.69,"1.091984938",1.309090909,1.2,"0.916666667",2,1.2,1.7,"square bottom cone (count bottom)",10,5.910213669,NA,"HE3","T7C","E","T7","C","HE3_T7C",NA,NA,"HE","HE","Porites rus",1.845454545,203,18454.54545,3122.48363317167,3.49450017065166
"100","PC_HE3_T7C_F","F1",3,"03-Well-F1","03-Well-F1",NA,56795,40516,12335,11879,473.15,440.54,102.76,98.96,NA,120,60,120,10,110,110,120.0359294,"91.9689472","120.0369794",112.1363636,102.76,"1.091245267",107.9909091,98.96,"0.916373432",1.5,2.3,2.4,"box",15,21.69,"lost some blastate","HE3","T7C","F","T7","C","HE3_T7C",NA,NA,"HE","HE","Porites rus",112.1363636,12335,1682045.454,77549.3524204703,4.88957817556818
"101","PC_HE3_T7H_A","F2",3,"03-Well-F2","03-Well-F2",NA,868289,495844,110262,107475,7234.27,6988.02,918.66,895.44,NA,120,60,120,10,110,110,120.0244116,"70.95629377","120.0248188",1002.381818,918.66,"1.091134716",977.0454545,895.44,"0.91647732",NA,0.9,3.5,"cylinder",10,22.33672377,NA,"HE3","T7H","A","T7","H","HE3_T7H",NA,NA,"HE","HE","Acropora pulchra",1002.381818,110262,10023818.18,448759.553245798,5.65201370699645
"102","PC_HE3_T7H_B","F3",3,"03-Well-F3","03-Well-F3",NA,420907,313805,39804,37061,3506.28,3411.78,331.58,308.73,"Use Sym-SSC Sym-SSC Events/μL(V)",120,60,120,10,110,110,120.0437501,"91.97691528","120.0434284",361.8545455,331.58,"1.091303895",336.9181818,308.73,"0.916335231",NA,1.2,5.5,"cylinder",10,45.99291645,NA,"HE3","T7H","B","T7","H","HE3_T7H",NA,NA,"HE","HE","Acropora pulchra",336.9181818,37061,3369181.818,73254.3634553533,4.86483349889839
"103","PC_HE3_T7H_C","F4",3,"03-Well-F4","03-Well-F4",NA,1371065,291176,14428,13600,11425.47,11588.05,120.23,113.33,NA,120,60,120,10,110,110,120.0007527,"25.12726473","120.003327",131.1636364,120.23,"1.090939336",123.6363636,113.33,"0.916639706",NA,1.7,3.7,"cylinder",14,48.60043835,NA,"HE3","T7H","C","T7","H","HE3_T7H",NA,NA,"HE","HE","Pocillopora verrucosa",131.1636364,14428,1836290.9096,37783.4227826466,4.57730129790248
"104","PC_HE3_T7H_D","F5",3,"03-Well-F5","03-Well-F5",NA,13729,9632,108,98,114.32,104.66,0.9,0.82,NA,120,60,120,10,110,110,120.0927222,"92.03133958","120",0.981818182,0.9,"1.090909091",0.890909091,0.82,"0.920408163",NA,1.3,5.6,"cylinder",14,51.05088062,NA,"HE3","T7H","D","T7","H","HE3_T7H",NA,NA,"HE","HE","Pocillopora verrucosa",0.981818182,108,13745.454548,269.250096787067,2.43015586808546
"105","PC_HE3_T7H_E","F6",3,"03-Well-F6","03-Well-F6",NA,7156,3791,49,34,59.63,41.23,0.41,0.28,NA,120,60,120,10,110,110,120.006708,"91.94761096","119.5121951",0.445454545,0.41,"1.086474501",0.309090909,0.28,"0.905882353",NA,1,2.4,"cylinder",15,18.22123739,NA,"HE3","T7H","E","T7","H","HE3_T7H",NA,NA,"HE","HE","Porites rus",0.445454545,49,6681.818175,366.704962565663,2.5643167872453
