"","Sample","Well","Plate","Plate_Well","Tube Name:","Sample ID:","All Events","include Events","Sym-FSC Events","Sym-SSC Events","All Events  Events/μL(V)","include Events/μL(V)","Sym-FSC Events/μL(V)...11","Sym-SSC Events/μL(V)...12","Notes.x","Run Volume","Run Speed (uL/min)","Run Time (seconds)","starting time gate (seconds)","run time for data collection (seconds)","volume for data collection (uL)","events/event*ul-1","include events/events*uL-1","symFSC events/symFSC events*uL-1","Sym-FSC Events/μL(V)_corrected","Sym-FSC Events/μL(V)...24","symFSC_diff_percentage","Sym-SSC Events/μL(V)_corrected","Sym-SSC Events/μL(V)...27","symSSC_diff_percentage","Length","Width","Height","Shape","Vol","SA","Notes.y","Aquaria","Timepoint_Heat","Genotype","Timepoint","Heat","Aquaria_Timepoint_Heat","Outlier","Outlier1","Collection_Bleaching_Level","Collection_Bleaching_Level1","Species","sym.con","events","sym.total","sym.SA","log10.sym.SA"
"12","PC_BL1_T7C_F","H12",2,"02-Well-H12","02-Well-H12",NA,47514,30201,1725,1377,395.74,328.28,14.37,11.47,NA,120,60,120,10,110,110,120.0636782,"91.9976849","120.0417537",15.68181818,14.37,"1.09128867",12.51818182,11.47,"0.916267248",NA,1.4,1.7,"dome",14,9.686096192,NA,"BL1","T7C","F","T7","C","BL1_T7C",NA,NA,"BL","BL","Porites rus",15.68181818,1725,219545.45452,22666.0411137903,4.35537567219637
"13","PC_BL1_T7H_A","A1",3,"03-Well-A1","03-Well-A1",NA,3334,2055,146,103,27.77,22.34,1.22,0.86,NA,120,60,120,10,110,110,120.0576161,"91.98746643","119.6721311",1.327272727,1.22,"1.087928465",0.936363636,0.86,"0.918446602",NA,1,2.7,"cylinder",10,20.10619298,NA,"BL1","T7H","A","T7","H","BL1_T7H",NA,NA,"BL","BL","Acropora pulchra",1.327272727,146,13272.72727,660.131298013633,2.81963032392321
"14","PC_BL1_T7H_B","A2",3,"03-Well-A2","03-Well-A2",NA,803,599,100,65,6.66,6.47,0.83,0.54,NA,120,60,120,10,110,110,120.5705706,"92.58114374","120.4819277",0.909090909,0.83,"1.095290252",0.590909091,0.54,"0.913846154",NA,1,3,"cylinder",10,21.99114858,"dead, epiphytic algae","BL1","T7H","B","T7","H","BL1_T7H",NA,NA,"BL","BL","Acropora pulchra",0.909090909,100,9090.90909,413.389462443439,2.61635940199375
"15","PC_BL1_T7H_C","A3",3,"03-Well-A3","03-Well-A3",NA,11885,8749,1294,1368,98.92,95.02,10.77,11.39,NA,120,60,120,10,110,110,120.147594,"92.07535256","120.1485608",11.76363636,10.77,"1.092259644",12.43636364,11.39,"0.915862573",NA,1.2,2.7,"cylinder",10,24.88141382,NA,"BL1","T7H","C","T7","H","BL1_T7H",NA,NA,"BL","BL","Pocillopora verrucosa",11.76363636,1294,117636.3636,4727.88099788133,3.67466653669429
"16","PC_BL1_T7H_D","A4",3,"03-Well-A4","03-Well-A4",NA,2738,1763,296,214,22.78,19.14,2.46,1.78,NA,120,60,120,10,110,110,120.1931519,"92.1107628","120.3252033",2.690909091,2.46,"1.093865484",1.945454545,1.78,"0.914953271",1.5,2.2,2.8,"box",10,24.02,NA,"BL1","T7H","D","T7","H","BL1_T7H",NA,NA,"BL","BL","Pocillopora verrucosa",2.690909091,296,26909.09091,1120.27855578684,3.0493260228485
"17","PC_BL1_T7H_E","A5",3,"03-Well-A5","03-Well-A5",NA,826,640,15,10,6.87,6.94,0.12,0.08,NA,120,60,120,10,110,110,120.2328967,"92.21902017","125",0.136363636,0.12,"1.136363636",0.090909091,0.08,"0.88",1.8,1.6,0.8,"box",10,8.32,"lost most of blastate","BL1","T7H","E","T7","H","BL1_T7H","Y","Y","BL","BL","Porites rus",0.136363636,15,1363.63636,163.898600961538,2.21457524644861
"18","PC_BL1_T7H_F","A6",3,"03-Well-A6","03-Well-A6",NA,10159,6920,229,120,84.61,75.21,1.91,1,NA,120,60,120,10,110,110,120.0685498,"92.00904135","119.895288",2.081818182,1.91,"1.089957163",1.090909091,1,"0.916666667",1,1.2,3.2,"box",10,15.28,NA,"BL1","T7H","F","T7","H","BL1_T7H",NA,NA,"BL","BL","Porites rus",2.081818182,229,20818.18182,1362.44645418848,3.13431944297992
"19","PC_BL2_T0C_A","A7",2,"02-Well-A7","02-Well-A7",NA,1715,976,41,18,11.43,14.42,0.27,0.12,NA,150,30,300,10,290,145,150.0437445,"67.68377254","151.8518519",0.282758621,0.27,"1.047254151",0.124137931,0.12,"0.966666667",NA,1,1.4,"cylinder",10,11.93805208,"epiphytic algae. Some","BL2","T0C","A","T0","C","BL2_T0C","Y",NA,"BL","BL","Acropora pulchra",0.282758621,41,2827.58621,236.854906566968,2.37448238578295
"20","PC_BL2_T0C_B","A8",2,"02-Well-A8","02-Well-A8",NA,26486,12684,4647,3968,176.54,187.47,30.97,26.45,NA,150,30,300,10,290,145,150.0283222,"67.65882541","150.048434",32.04827586,30.97,"1.034816786",27.36551724,26.45,"0.966544859",NA,1.1,3.1,"cylinder",10,25.22698901,NA,"BL2","T0C","B","T0","C","BL2_T0C",NA,NA,"BL","BL","Acropora pulchra",32.04827586,4647,320482.7586,12703.9639361226,4.10393925221422
"21","PC_BL2_T0C_C","A9",2,"02-Well-A9","02-Well-A9",NA,22759,10983,1184,1029,151.72,162.32,7.89,6.86,NA,150,30,300,10,290,145,150.0065911,"67.6626417","150.0633714",8.165517241,7.89,"1.034919802",7.096551724,6.86,"0.966666667",1.2,2.6,2.5,"box-y triangle",10.5,7.683551249,NA,"BL2","T0C","C","T0","C","BL2_T0C",NA,NA,"BL","BL","Pocillopora verrucosa",8.165517241,1184,85737.9310305,11158.6333261796,4.04761100685562
