Otu00001,0.002667,0.0045,0.003917,0.003417,0.002667,0.012583,0.00875,0.010417,0.004333,0.00225,0.0065,0.0085,0.006,0.006333,0.006
Otu00002,0.26,0.262667,0.195917,0.37575,0.296667,0.044583,0.070333,0.169667,0.441833,0.223917,0.173,0.161667,0.160083,0.07825,0.149
Otu00003,0.05625,0.056833,0.056833,0.06025,0.047333,0.021333,0.01875,0.011,0.08625,0.023833,0.15125,0.050417,0.1835,0.006667,0.009
Otu00004,0.057083,0.0385,0.037917,0.020167,0.03625,0.07575,0.054417,0.030167,0.042417,0.028,0.040167,0.053833,0.034167,0.028583,0.049333
Otu00005,0.001083,0.001,0.000833,0.00175,0.0015,0.005083,0.004833,0.003417,0.00175,0.001333,0.002333,0.002917,0.001667,0.00325,0.002917
Otu00006,0.01475,0.018083,0.012583,0.062,0.012083,0.030583,0.029667,0.018667,0.009917,0.014583,0.016417,0.023583,0.022833,0.0255,0.016167
Otu00007,0.000833,0.001083,0.001167,0.000583,0.002,0.001,0.00175,0.002833,0.003083,0.000583,0.002,0.00075,0.001083,0.002167,0.001917
Otu00008,0.016833,0.016667,0.021167,0.013333,0.010667,0.027333,0.011333,0.025917,0.018917,0.007083,0.029667,0.043667,0.0355,0.024333,0.030667
Otu00009,0.014833,0.016,0.024167,0.007083,0.005917,0.004583,0.001833,0.002167,0.000667,0.004,0.010167,0.02475,0.022583,0.03375,0.003667
Otu00011,0,0.000833,5.00E-04,0,0.001167,0.00125,0.001333,0.002917,0,0.000917,0.001083,0.001167,0.001333,0.001833,0.000667
Otu00012,0.009083,0.004833,0.010917,0.004417,0.0095,0.006417,0.003833,0.014167,0.009667,0.0045,0.014083,0.006,0.012417,0.025,0.01525
Otu00013,0.00275,0.00125,0.003833,0.00875,0.002417,0.000167,0,0.000833,0.001167,0.000667,0.001583,0.00125,0.00175,0.000417,0.000667
Otu00014,0.001917,0.001167,0.001083,0,0.001167,0.000833,0.002083,0.001667,0.001333,0,0.000917,0.001667,0.0015,0.002,0.0015
Otu00016,0,0,0,0,0,0.00125,5.00E-04,0.002083,0,0,0.001417,0.00075,0.001,0.00125,0
Otu00017,0.00075,0.000833,0.00075,0,5.00E-04,0.002,0.00225,0.002417,0.001,0.000333,0.001333,0.000833,0.001333,0.001417,0.001083
Otu00018,0.00725,0.005333,0.002333,0.001417,0.002167,0.0085,0.006917,0.005167,0.00425,0.001167,0.006333,0.007167,0.003667,0.003333,0.003833
Otu00019,0.01875,0.015,0.0215,0.012583,0.015417,0.008083,0.00675,0.021417,0.007917,0.018583,0.0175,0.010083,0.025667,0.017917,0.015083
Otu00022,0.000917,0.001083,0.000667,0,0.00075,0.002917,0.001167,0.001,0.000583,0.000167,0.001167,0.0015,0.001083,0.00075,0.000417
Otu00023,0.000583,0.000667,5.00E-04,0,0.000583,0.001833,0.00075,0.00225,5.00E-04,0.00025,0.000917,0.001333,0.000833,0.003417,0.000583
