"","rep(abund.nosub.asv$ASV, times = 3)","adjusted_pval","Treatment","l2fc","Mean_Abundance","significant","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","Genus_OTU","Family_Genus_OTU","Family_OTU","significant1","fontface","l2fcSE"
"359","Otu00075",0.0680987482582268,"Bleached + Heated",2.54592397299272,709.5,"N","Otu00075","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00075","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00075","Pseudoalteromonadaceae_Otu00075","Y","bold",0.946819121522823
"362","Otu00085",0.163719496780619,"Bleached + Heated",1.79728029379886,1015.5,"N","Otu00085","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00085","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00085","Pseudoalteromonadaceae_Otu00085","Y","bold",0.796090926550863
"365","Otu00101",0.234524800495891,"Bleached + Heated",1.63394583465547,348,"N","Otu00101","Bacteria(100)","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Otu00101","Saprospiraceae_uncultured_Otu00101","Saprospiraceae_Otu00101","Y","bold",0.78350525540804
"374","Otu00179",3.62768468497101e-11,"Bleached + Heated",-10.2292298189423,0,"Y","Otu00179","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu00179","Alteromonadaceae_Alteromonadaceae_unclassified_Otu00179","Alteromonadaceae_Otu00179","Y","bold",1.41451767327251
"375","Otu00181",0.825283148090008,"Bleached + Heated",0.908461617956952,393,"N","Otu00181","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00181","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00181","Rhodobacteraceae_Otu00181","Y","bold",0.707082165158901
"379","Otu00195",0.163719496780619,"Bleached + Heated",0.845563640385409,411.5,"N","Otu00195","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_Otu00195","Alteromonadaceae_Alteromonas_Otu00195","Alteromonadaceae_Otu00195","Y","bold",0.376656667980893
"394","Otu00277",0.0102193584794709,"Bleached + Heated",1.55081937027975,423.5,"Y","Otu00277","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured","uncultured_Otu00277","Flavobacteriaceae_uncultured_Otu00277","Flavobacteriaceae_Otu00277","Y","bold",0.452223459443901
"403","Otu00322",5.80299499473393e-08,"Bleached + Heated",20.6556839946835,81.5,"Y","Otu00322","Bacteria(100)","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Otu00322","Saprospiraceae_uncultured_Otu00322","Saprospiraceae_Otu00322","Y","bold",3.39301044460778
"404","Otu00327",0.0384717386090593,"Bleached + Heated",8.46400923273078,26,"Y","Otu00327","Archaea(100)","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge","Marine_Group_II_ge_Otu00327","Marine_Group_II_fa_Marine_Group_II_ge_Otu00327","Marine_Group_II_fa_Otu00327","Y","bold",2.92407984360847
"409","Otu00368",0.0294645546657613,"Bleached + Heated",1.85501490340434,142.5,"Y","Otu00368","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu00368","Alteromonadaceae_Alteromonadaceae_unclassified_Otu00368","Alteromonadaceae_Otu00368","Y","bold",0.614054217516198
"416","Otu00410",0.997337269467708,"Bleached + Heated",-0.632939002610002,27.5,"N","Otu00410","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Kordia","Kordia_Otu00410","Flavobacteriaceae_Kordia_Otu00410","Flavobacteriaceae_Otu00410","Y","bold",1.25194403553132
"417","Otu00419",0.997337269467708,"Bleached + Heated",-0.928675994898341,36,"N","Otu00419","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola","Litoricola_Otu00419","Litoricolaceae_Litoricola_Otu00419","Litoricolaceae_Otu00419","Y","bold",2.18847665923749
"423","Otu00457",0.00015136324702495,"Bleached + Heated",-8.92731854813474,41.5,"Y","Otu00457","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00457","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00457","Rhodobacteraceae_Otu00457","Y","bold",1.95531472281523
"425","Otu00476",0.0368151688598026,"Bleached + Heated",-8.25836260176782,41,"Y","Otu00476","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00476","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00476","Rhodobacteraceae_Otu00476","Y","bold",2.81866407746572
"426","Otu00480",0.997337269467708,"Bleached + Heated",1.10715583184007,36.5,"N","Otu00480","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","Phaeocystidibacter","Phaeocystidibacter_Otu00480","Cryomorphaceae_Phaeocystidibacter_Otu00480","Cryomorphaceae_Otu00480","Y","bold",1.3579300090936
"441","Otu00649",0.0115817942683289,"Bleached + Heated",2.20522046027136,124.5,"Y","Otu00649","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea","Thalassotalea_Otu00649","Colwelliaceae_Thalassotalea_Otu00649","Colwelliaceae_Otu00649","Y","bold",0.655095926609708
"445","Otu00686",0.0255290553979121,"Bleached + Heated",-4.51170047296891,161.5,"Y","Otu00686","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_Otu00686","Alteromonadaceae_Alteromonas_Otu00686","Alteromonadaceae_Otu00686","Y","bold",1.46106850765646
"449","Otu00734",3.16357625711834e-17,"Bleached + Heated",20.7533844009519,113.5,"Y","Otu00734","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu00734","Alteromonadaceae_Alteromonadaceae_unclassified_Otu00734","Alteromonadaceae_Otu00734","Y","bold",2.30365306453582
"453","Otu00802",0.997337269467708,"Bleached + Heated",1.18878485505553,195,"N","Otu00802","Bacteria(100)","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","OM27_clade_Otu00802","Bdellovibrionaceae_OM27_clade_Otu00802","Bdellovibrionaceae_Otu00802","Y","bold",2.21633513732151
"455","Otu00823",0.0236562252610166,"Bleached + Heated",8.91157135458978,50,"Y","Otu00823","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00823","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00823","Pseudoalteromonadaceae_Otu00823","Y","bold",2.84158701415457
"457","Otu00853",0.00076517641346026,"Bleached + Heated",10.3663888159957,122,"Y","Otu00853","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00853","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00853","Pseudoalteromonadaceae_Otu00853","Y","bold",2.50597494228975
"463","Otu01012",0.997337269467708,"Bleached + Heated",0.518303002441571,25.5,"N","Otu01012","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu01012","Alteromonadaceae_Alteromonadaceae_unclassified_Otu01012","Alteromonadaceae_Otu01012","Y","bold",1.49448040114222
"464","Otu01023",0.997337269467708,"Bleached + Heated",0.238395274234782,23.5,"N","Otu01023","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu01023","Alteromonadaceae_Alteromonadaceae_unclassified_Otu01023","Alteromonadaceae_Otu01023","Y","bold",1.50283421856525
"470","Otu01224",2.70783837900891e-05,"Bleached + Heated",8.36226745536937,53,"Y","Otu01224","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu01224","Pseudoalteromonadaceae_Pseudoalteromonas_Otu01224","Pseudoalteromonadaceae_Otu01224","Y","bold",1.6866548321339
"473","Otu01296",0.00514184559472111,"Bleached + Heated",8.23243224706098,45.5,"Y","Otu01296","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu01296","Pseudoalteromonadaceae_Pseudoalteromonas_Otu01296","Pseudoalteromonadaceae_Otu01296","Y","bold",2.26047153330433
