CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
170	229	5	0.9164	88.052
151	29116	5	0.9102	-15.995
1275	1378	5	0.9309	28.031
393	1378	5	0.9654	56.063
161	197	5	0.9681	-44.026
184	28927	5	0.9094	72.058
151	184	5	0.9535	-44.026
28927	29116	5	0.9394	-44.026
172	295	5	0.9043	-28.031
60582	66921	5	0.9047	-44.026
167	1227	5	0.9154	14.016
66921	67617	5	0.917	79.956
28927	43544	5	0.9075	44.026
827	1378	5	0.9433	42.047
161	229	5	0.9138	132.078
172	67617	5	0.9499	-0.000
12803	16231	5	0.9691	-44.026
151	197	5	0.9051	15.995
161	167	5	0.9643	88.052
827	1275	5	0.9615	14.016
161	170	5	0.9559	44.026
229	67617	5	0.9631	28.031
1227	16231	5	0.9077	-28.031
393	1275	5	0.9041	28.031
184	29116	5	0.9355	28.031
161	346	5	0.9149	-132.079
172	12803	5	0.9403	-42.047
184	197	5	0.9052	60.021
184	346	5	0.9134	-28.031
172	229	5	0.9642	-28.031
229	393	5	0.9108	44.027
229	12803	5	0.9784	-14.016
167	197	5	0.9389	-132.079
12803	67617	5	0.9606	42.047
151	28927	5	0.9135	28.031
167	170	5	0.9563	-44.026
1178	1275	5	0.9392	14.016
167	229	5	0.9544	44.026
170	197	5	0.9412	-88.052
172	66921	5	0.9009	-79.956
827	1178	5	0.9149	0.000
1457	68219	6	0.8715	-222.056
59570	60613	6	0.9215	-74.019
62521	126220	6	0.8374	-92.029
12714	76862	6	0.8733	74.019
62453	126324	6	0.8962	-150.016
52710	80819	6	0.8678	-133.985
44113	98306	6	0.8866	-370.093
36357	62453	6	0.9584	-0.000
34101	126220	6	0.887	-1.978
44113	126324	6	0.8907	-298.053
54077	74090	6	0.8861	-59.967
53522	62453	6	0.8953	70.060
59606	126220	6	0.8443	-241.061
1887	103386	6	0.958	-222.056
1351	1498	6	0.8786	239.083
34957	85571	6	0.8655	-132.005
59799	86397	6	0.8095	74.018
4373	5137	6	0.8682	0.000
54077	76862	6	0.8852	74.019
35300	103386	6	0.9091	-148.038
8860	98306	6	0.8768	-296.075
85571	126220	6	0.8305	56.008
45239	52710	6	0.8287	59.967
110	79976	6	0.8678	-296.075
59521	59799	6	0.8201	-151.011
1351	76862	6	0.9461	-0.000
44113	85571	6	0.8703	-280.042
34101	85571	6	0.8676	-57.986
1351	80029	6	0.9282	-222.057
45229	59799	6	0.7924	-77.977
31651	80029	6	0.8954	-296.075
76862	80029	6	0.9462	-222.056
5137	52046	6	0.7981	-17.026
12714	53522	6	0.9616	0.000
8860	45049	6	0.8671	18.010
1457	76783	6	0.9645	-0.000
36357	54077	6	0.898	-70.060
1351	74090	6	0.8816	-133.986
59489	80819	6	0.7889	-95.003
12080	76712	6	0.8432	77.977
34957	36357	6	0.9022	0.000
8860	52710	6	0.8665	74.018
59606	60103	6	0.8079	-167.043
12714	76712	6	0.9143	222.056
59680	59799	6	0.8221	-74.019
1105	12714	6	0.8987	-222.056
59521	85571	6	0.7993	-223.051
52710	59680	6	0.8589	-133.984
30169	126220	6	0.8247	-94.008
34101	62453	6	0.9088	74.019
98306	126220	6	0.8624	146.059
1351	1457	6	0.8482	239.083
59799	80819	6	0.8045	74.018
76783	76862	6	0.8716	-239.083
52710	85571	6	0.851	-280.042
1887	79976	6	0.8645	-296.075
54077	62453	6	0.9004	70.060
43730	86397	6	0.8051	-169.022
80819	86397	6	0.9374	-0.000
60613	74090	6	0.889	18.010
60103	61272	6	0.8064	92.029
68219	76783	6	0.8835	222.056
43730	44113	6	0.8335	-35.037
126220	126324	6	0.9209	-74.018
52710	98306	6	0.868	-370.093
53522	76712	6	0.9207	222.056
8860	34101	6	0.8975	-148.038
52710	126324	6	0.8843	-298.052
110	1887	6	0.9896	-0.001
44113	80819	6	0.8491	-133.985
52710	59606	6	0.8914	17.027
79976	103386	6	0.9026	74.019
76783	88346	6	0.9589	-17.026
52046	76712	6	0.9051	-0.000
8860	80819	6	0.856	-59.966
34101	44113	6	0.8959	222.056
59799	78147	6	0.8672	0.000
59680	80819	6	0.909	-0.001
110	31651	6	0.9818	0.000
43730	58960	6	0.8042	0.000
59489	76783	6	0.7652	133.986
53522	76862	6	0.8907	74.019
62453	98306	6	0.8983	-222.056
74090	79976	6	0.8628	-88.071
45049	59489	6	0.8689	17.026
1105	5137	6	0.8588	17.026
8860	126324	6	0.838	-224.034
43730	85571	6	0.7945	-315.080
12714	74090	6	0.8865	-59.967
1498	59489	6	0.7835	-133.986
1351	35300	6	0.9483	0.000
1105	76712	6	0.9552	-0.000
12714	54077	6	0.9561	0.000
30169	45229	6	0.9285	-0.000
45049	76712	6	0.8653	59.967
68219	80029	6	0.8824	-239.083
12714	36357	6	0.8822	70.061
36357	60613	6	0.8958	-148.037
35300	79976	6	0.9156	-222.057
1887	31651	6	0.9816	0.001
60514	85571	6	0.8536	16.032
60514	62453	6	0.9016	148.038
60613	80029	6	0.899	-70.061
35300	74090	6	0.8853	-133.986
60103	61112	6	0.7705	-74.019
43730	47208	6	0.821	0.000
34101	60514	6	0.9024	-74.018
45049	45229	6	0.8478	-74.018
1498	68219	6	0.8945	-222.056
68219	88346	6	0.8849	205.030
1105	52046	6	0.8816	0.000
59606	59680	6	0.8324	-151.011
60514	126220	6	0.8718	72.041
34957	126220	6	0.9131	-75.997
35300	88346	6	0.9113	222.056
4373	52046	6	0.7889	-17.026
59521	59680	6	0.815	-76.992
59521	61112	6	0.7747	-167.043
59606	126324	6	0.8399	-315.079
76862	79976	6	0.9116	-222.057
1457	88346	6	0.9462	-17.027
12714	80029	6	0.8973	-148.037
59570	126324	6	0.8625	-75.997
45049	76783	6	0.8482	151.012
80029	103386	6	0.9325	74.019
44113	59606	6	0.8672	17.027
59606	59799	6	0.7921	-225.030
34957	62453	6	0.9353	0.000
35300	54077	6	0.8842	-74.019
60514	98306	6	0.9312	-74.018
59489	78147	6	0.8179	-169.021
12714	62453	6	0.8886	70.061
52710	60514	6	0.8858	-296.075
8860	44113	6	0.8527	74.019
59606	61112	6	0.8421	-241.062
1498	88346	6	0.9681	-17.027
76862	88346	6	0.9115	222.056
34101	34957	6	0.958	74.019
59521	78147	6	0.789	-151.011
44113	126220	6	0.8619	-224.034
60103	62521	6	0.9208	18.011
34101	98306	6	0.9319	-148.037
44113	52710	6	0.9086	-0.000
44113	60514	6	0.8861	-296.075
76862	103386	6	0.9003	-148.038
35300	68219	6	0.9149	17.026
45049	59799	6	0.8395	-151.995
44113	59680	6	0.8514	-133.984
30169	45049	6	0.8649	74.018
53522	103386	6	0.8864	-74.019
1351	76783	6	0.8554	239.083
59680	78147	6	0.8199	-74.019
110	103386	6	0.9599	-222.057
35300	80029	6	0.9501	-222.057
34957	126324	6	0.9234	-150.015
8860	12080	6	0.8979	0.000
78147	86397	6	0.8441	74.018
45229	78147	6	0.8219	-77.977
110	80029	6	0.8934	-296.075
1498	35300	6	0.9003	-239.083
68219	79976	6	0.8582	-239.083
34957	98306	6	0.9259	-222.056
78147	80819	6	0.8297	74.018
45049	76862	6	0.8754	-88.071
61112	126220	6	0.8727	0.001
34957	52710	6	0.9047	148.037
53522	80029	6	0.9036	-148.038
59680	85571	6	0.7979	-146.059
30169	78147	6	0.8445	-77.977
35300	45049	6	0.8822	88.070
60514	126324	6	0.9091	-1.978
45049	88346	6	0.8706	133.986
54077	60613	6	0.8995	-77.977
1351	88346	6	0.8943	222.056
35300	53522	6	0.8877	-74.019
1498	45049	6	0.8596	-151.012
1351	68219	6	0.9081	17.026
43730	80819	6	0.7827	-169.022
44113	86397	6	0.8444	-133.985
74090	80029	6	0.8843	-88.071
79976	80029	6	0.936	0.000
34101	126324	6	0.9148	-75.996
12714	79976	6	0.8794	-148.037
8860	60514	6	0.8852	-222.056
45239	86397	6	0.832	-74.018
1351	79976	6	0.8927	-222.057
74090	76862	6	0.8839	133.986
59606	85571	6	0.8616	-297.069
8860	59799	6	0.8421	-133.985
52710	86397	6	0.8615	-133.985
34957	44113	6	0.8971	148.037
1105	12080	6	0.8308	-77.977
31651	79976	6	0.8704	-296.076
34101	52710	6	0.9163	222.056
31651	103386	6	0.9578	-222.057
61112	62521	6	0.8589	92.030
53522	54077	6	0.9551	0.000
47208	58960	6	0.7289	-0.000
1105	4373	6	0.8528	17.026
8860	78147	6	0.8573	-133.984
68219	76862	6	0.9141	-17.027
59680	86397	6	0.857	-0.001
8860	59680	6	0.8639	-59.965
59606	62521	6	0.8137	-149.032
85571	126324	6	0.8842	-18.010
8860	30169	6	0.8543	-56.008
35300	76862	6	0.9815	-0.000
1351	45049	6	0.8442	88.070
98306	126324	6	0.8993	72.041
52710	126220	6	0.8576	-224.034
35300	76783	6	0.874	239.083
4373	76712	6	0.859	-17.027
1457	1498	6	0.958	0.000
1498	76783	6	0.9725	-0.000
1105	54077	6	0.8939	-222.056
1105	53522	6	0.9042	-222.056
1498	76862	6	0.8981	-239.083
54077	80029	6	0.9027	-148.038
1887	80029	6	0.8895	-296.075
34957	60514	6	0.9323	-148.037
54077	76712	6	0.9131	222.056
45239	80819	6	0.8373	-74.018
61112	85571	6	0.8186	-56.007
5137	76712	6	0.8774	-17.027
35300	60613	6	0.8869	-151.996
28628	44109	7	0.8935	-28.031
5564	12100	7	0.9158	12.000
4900	28630	7	0.9708	-14.016
30187	33994	7	0.8767	12.000
28755	33994	7	0.8107	0.000
12100	28628	7	0.8593	14.016
28755	44109	7	0.8082	-16.031
5564	28637	7	0.8172	40.031
28637	85282	7	0.7835	-40.031
28629	28637	7	0.8641	14.016
5564	28630	7	0.9093	-16.031
32899	33994	7	0.8	32.026
28630	44109	7	0.8394	14.016
11682	44109	7	0.8727	-2.016
33994	85282	7	0.9311	-14.016
12100	28630	7	0.9656	-28.031
31033	32899	7	0.9285	0.000
12100	28637	7	0.8373	28.031
11682	30187	7	0.8069	2.016
44109	85282	7	0.841	2.016
11682	28755	7	0.7811	14.016
4900	44109	7	0.8116	0.000
28629	28755	7	0.8074	-12.000
28755	30187	7	0.7913	-12.000
28628	28637	7	0.922	14.016
30187	85282	7	0.8951	-2.016
