Sample Name,Temp,Bleaching_Status,Stress_status,Treatment,Sample_Type,Timepoint_char,Timepoint,Bottle_NR,Notes,PLANC_aquaria,Experiment
ABC_051,Ambient,Non Bleached,Ambient,Control,DOC,T0,0,15,,HE3_T7C,ABCDOM
ABC_052,Ambient,NA,Ambient,Negative Control,DOC,T0,0,16,,,ABCDOM
ABC_053,Ambient,NA,Ambient,Negative Control,DOC,T0,0,17,,,ABCDOM
ABC_054,Ambient,NA,Ambient,Negative Control,DOC,T0,0,18,,,ABCDOM
ABC_055,Hot,Bleached,Thermal Stress,Bleached + Heated,Sterivex,Tend,36,1,,PB1_T7H,ABCDOM
ABC_056,Hot,Bleached,Thermal Stress,Bleached + Heated,Sterivex,Tend,36,2,,PB2_T7H,ABCDOM
ABC_057,Hot,Bleached,Thermal Stress,Bleached + Heated,Sterivex,Tend,36,3,,PB3_T7H,ABCDOM
ABC_058,Hot,Non Bleached,Thermal Stress,Heated,Sterivex,Tend,36,4,Not taken,HE1_T7H,ABCDOM
ABC_059,Hot,Non Bleached,Thermal Stress,Heated,Sterivex,Tend,36,5,,HE2_T7H,ABCDOM
ABC_060,Hot,Non Bleached,Thermal Stress,Heated,Sterivex,Tend,36,6,,HE3_T7H,ABCDOM
ABC_061,Hot,NA,Thermal Stress,Negative Control + Heated,Sterivex,Tend,36,7,,,ABCDOM
ABC_062,Hot,NA,Thermal Stress,Negative Control + Heated,Sterivex,Tend,36,8,,,ABCDOM
ABC_063,Hot,NA,Thermal Stress,Negative Control + Heated,Sterivex,Tend,36,9,,,ABCDOM
ABC_064,Ambient,Bleached,Ambient,Bleached,Sterivex,Tend,36,10,,BL1_T7C,ABCDOM
ABC_065,Ambient,Bleached,Ambient,Bleached,Sterivex,Tend,36,11,,BL2_T7C,ABCDOM
ABC_066,Ambient,Bleached,Ambient,Bleached,Sterivex,Tend,36,12,,BL3_T7C,ABCDOM
ABC_067,Ambient,Non Bleached,Ambient,Control,Sterivex,Tend,36,13,,HE1_T7C,ABCDOM
ABC_068,Ambient,Non Bleached,Ambient,Control,Sterivex,Tend,36,14,,HE2_T7C,ABCDOM
ABC_069,Ambient,Non Bleached,Ambient,Control,Sterivex,Tend,36,15,,HE3_T7C,ABCDOM
ABC_070,Ambient,NA,Ambient,Negative Control,Sterivex,Tend,36,16,,,ABCDOM
ABC_071,Ambient,NA,Ambient,Negative Control,Sterivex,Tend,36,17,,,ABCDOM
ABC_072,Ambient,NA,Ambient,Negative Control,Sterivex,Tend,36,18,,,ABCDOM
ABC_073,Hot,Bleached,Thermal Stress,Bleached + Heated,PPL,Tend,36,1,,PB1_T7H,ABCDOM
ABC_074,Hot,Bleached,Thermal Stress,Bleached + Heated,PPL,Tend,36,2,,PB2_T7H,ABCDOM
ABC_075,Hot,Bleached,Thermal Stress,Bleached + Heated,PPL,Tend,36,3,,PB3_T7H,ABCDOM
ABC_076,Hot,Non Bleached,Thermal Stress,Heated,PPL,Tend,36,4,Not taken,HE1_T7H,ABCDOM
ABC_077,Hot,Non Bleached,Thermal Stress,Heated,PPL,Tend,36,5,,HE2_T7H,ABCDOM
ABC_078,Hot,Non Bleached,Thermal Stress,Heated,PPL,Tend,36,6,,HE3_T7H,ABCDOM
ABC_079,Hot,NA,Thermal Stress,Negative Control + Heated,PPL,Tend,36,7,,,ABCDOM
ABC_080,Hot,NA,Thermal Stress,Negative Control + Heated,PPL,Tend,36,8,,,ABCDOM
ABC_081,Hot,NA,Thermal Stress,Negative Control + Heated,PPL,Tend,36,9,,,ABCDOM
ABC_082,Ambient,Bleached,Ambient,Bleached,PPL,Tend,36,10,,BL1_T7C,ABCDOM
ABC_083,Ambient,Bleached,Ambient,Bleached,PPL,Tend,36,11,,BL2_T7C,ABCDOM
ABC_084,Ambient,Bleached,Ambient,Bleached,PPL,Tend,36,12,,BL3_T7C,ABCDOM
ABC_085,Ambient,Non Bleached,Ambient,Control,PPL,Tend,36,13,,HE1_T7C,ABCDOM
ABC_086,Ambient,Non Bleached,Ambient,Control,PPL,Tend,36,14,,HE2_T7C,ABCDOM
ABC_087,Ambient,Non Bleached,Ambient,Control,PPL,Tend,36,15,,HE3_T7C,ABCDOM
ABC_088,Ambient,NA,Ambient,Negative Control,PPL,Tend,36,16,,,ABCDOM
ABC_089,Ambient,NA,Ambient,Negative Control,PPL,Tend,36,17,,,ABCDOM
ABC_090,Ambient,NA,Ambient,Negative Control,PPL,Tend,36,18,,,ABCDOM
ABC_091,Hot,Bleached,Thermal Stress,Bleached + Heated,DOC,Tend,36,1,,PB1_T7H,ABCDOM
ABC_092,Hot,Bleached,Thermal Stress,Bleached + Heated,DOC,Tend,36,2,,PB2_T7H,ABCDOM
ABC_093,Hot,Bleached,Thermal Stress,Bleached + Heated,DOC,Tend,36,3,,PB3_T7H,ABCDOM
ABC_094,Hot,Non Bleached,Thermal Stress,Heated,DOC,Tend,36,4,Not taken,HE1_T7H,ABCDOM
ABC_095,Hot,Non Bleached,Thermal Stress,Heated,DOC,Tend,36,5,,HE2_T7H,ABCDOM
ABC_096,Hot,Non Bleached,Thermal Stress,Heated,DOC,Tend,36,6,,HE3_T7H,ABCDOM
ABC_097,Hot,NA,Thermal Stress,Negative Control + Heated,DOC,Tend,36,7,,,ABCDOM
ABC_098,Hot,NA,Thermal Stress,Negative Control + Heated,DOC,Tend,36,8,,,ABCDOM
ABC_099,Hot,NA,Thermal Stress,Negative Control + Heated,DOC,Tend,36,9,,,ABCDOM
ABC_100,Ambient,Bleached,Ambient,Bleached,DOC,Tend,36,10,,BL1_T7C,ABCDOM
ABC_101,Ambient,Bleached,Ambient,Bleached,DOC,Tend,36,11,,BL2_T7C,ABCDOM
ABC_102,Ambient,Bleached,Ambient,Bleached,DOC,Tend,36,12,,BL3_T7C,ABCDOM
ABC_103,Ambient,Non Bleached,Ambient,Control,DOC,Tend,36,13,,HE1_T7C,ABCDOM
ABC_104,Ambient,Non Bleached,Ambient,Control,DOC,Tend,36,14,,HE2_T7C,ABCDOM
ABC_105,Ambient,Non Bleached,Ambient,Control,DOC,Tend,36,15,,HE3_T7C,ABCDOM
ABC_106,Ambient,NA,Ambient,Negative Control,DOC,Tend,36,16,,,ABCDOM
ABC_107,Ambient,NA,Ambient,Negative Control,DOC,Tend,36,17,,,ABCDOM
ABC_108,Ambient,NA,Ambient,Negative Control,DOC,Tend,36,18,,,ABCDOM
ABC_109,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T0,0,1,,PB1_T7H,ABCDOM
ABC_110,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T0,0,2,,PB2_T7H,ABCDOM
ABC_111,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T0,0,3,,PB3_T7H,ABCDOM
ABC_112,Hot,Non Bleached,Thermal Stress,Heated,FCM,T0,0,4,Not taken,HE1_T7H,ABCDOM
ABC_113,Hot,Non Bleached,Thermal Stress,Heated,FCM,T0,0,5,,HE2_T7H,ABCDOM
ABC_114,Hot,Non Bleached,Thermal Stress,Heated,FCM,T0,0,6,,HE3_T7H,ABCDOM
ABC_115,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T0,0,7,,,ABCDOM
ABC_116,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T0,0,8,,,ABCDOM
ABC_117,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T0,0,9,,,ABCDOM
ABC_118,Ambient,Bleached,Ambient,Bleached,FCM,T0,0,10,,BL1_T7C,ABCDOM
ABC_119,Ambient,Bleached,Ambient,Bleached,FCM,T0,0,11,,BL2_T7C,ABCDOM
ABC_120,Ambient,Bleached,Ambient,Bleached,FCM,T0,0,12,,BL3_T7C,ABCDOM
ABC_121,Ambient,Non Bleached,Ambient,Control,FCM,T0,0,13,,HE1_T7C,ABCDOM
ABC_122,Ambient,Non Bleached,Ambient,Control,FCM,T0,0,14,,HE2_T7C,ABCDOM
ABC_123,Ambient,Non Bleached,Ambient,Control,FCM,T0,0,15,,HE3_T7C,ABCDOM
ABC_124,Ambient,NA,Ambient,Negative Control,FCM,T0,0,16,,,ABCDOM
ABC_125,Ambient,NA,Ambient,Negative Control,FCM,T0,0,17,,,ABCDOM
ABC_126,Ambient,NA,Ambient,Negative Control,FCM,T0,0,18,,,ABCDOM
ABC_127,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T2,2,1,,PB1_T7H,ABCDOM
ABC_128,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T2,2,2,,PB2_T7H,ABCDOM
ABC_129,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,T2,2,3,,PB3_T7H,ABCDOM
ABC_130,Hot,Non Bleached,Thermal Stress,Heated,FCM,T2,2,4,Not taken,HE1_T7H,ABCDOM
ABC_131,Hot,Non Bleached,Thermal Stress,Heated,FCM,T2,2,5,,HE2_T7H,ABCDOM
ABC_132,Hot,Non Bleached,Thermal Stress,Heated,FCM,T2,2,6,,HE3_T7H,ABCDOM
ABC_133,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T2,2,7,,,ABCDOM
ABC_134,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T2,2,8,,,ABCDOM
ABC_135,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T2,2,9,,,ABCDOM
ABC_136,Ambient,Bleached,Ambient,Bleached,FCM,T2,2,10,,BL1_T7C,ABCDOM
ABC_137,Ambient,Bleached,Ambient,Bleached,FCM,T2,2,11,,BL2_T7C,ABCDOM
ABC_138,Ambient,Bleached,Ambient,Bleached,FCM,T2,2,12,,BL3_T7C,ABCDOM
ABC_139,Ambient,Non Bleached,Ambient,Control,FCM,T2,2,13,,HE1_T7C,ABCDOM
