Sample Name,Temp,Bleaching_Status,Stress_status,Treatment,Sample_Type,Timepoint_char,Timepoint,Bottle_NR,Notes,PLANC_aquaria,Experiment
ABC_253,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,Tend,36,2,,PB2_T7H,ABCDOM
ABC_254,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,Tend,36,3,,PB3_T7H,ABCDOM
ABC_255,Hot,Non Bleached,Thermal Stress,Heated,FCM,Tend,36,5,,HE2_T7H,ABCDOM
ABC_256,Hot,Non Bleached,Thermal Stress,Heated,FCM,Tend,36,6,,HE3_T7H,ABCDOM
ABC_257,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,Tend,36,7,,,ABCDOM
ABC_258,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,Tend,36,8,,,ABCDOM
ABC_259,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,Tend,36,9,,,ABCDOM
ABC_260,Ambient,Bleached,Ambient,Bleached,FCM,Tend,36,10,,BL1_T7C,ABCDOM
ABC_261,Ambient,Bleached,Ambient,Bleached,FCM,Tend,36,11,,BL2_T7C,ABCDOM
ABC_262,Ambient,Bleached,Ambient,Bleached,FCM,Tend,36,12,,BL3_T7C,ABCDOM
ABC_263,Ambient,Non Bleached,Ambient,Control,FCM,Tend,36,13,,HE1_T7C,ABCDOM
ABC_264,Ambient,Non Bleached,Ambient,Control,FCM,Tend,36,14,,HE2_T7C,ABCDOM
ABC_265,Ambient,Non Bleached,Ambient,Control,FCM,Tend,36,15,,HE3_T7C,ABCDOM
ABC_266,Ambient,NA,Ambient,Negative Control,FCM,Tend,36,16,,,ABCDOM
ABC_267,Ambient,NA,Ambient,Negative Control,FCM,Tend,36,17,,,ABCDOM
ABC_268,Ambient,NA,Ambient,Negative Control,FCM,Tend,36,18,,,ABCDOM
ABC_inoculum B_T0,Ambient,Inoculum,Inoculum,Inoculum,PPL,T0,0,19,,,ABCDOM
