Code,Length,Width,Height,Shape,Vol,SA,Notes,Aquaria,Timepoint_Heat,Genotype,Timepoint,Heat,Aquaria_Timepoint_Heat,Outlier,Outlier1,Collection_Bleaching_Level,Collection_Bleaching_Level1
PC_BL3_T7C_C,1.6,1.9,2.5,box w/ 2 missing sides,10,11.79,,BL3,T7C,C,T7,C,BL3_T7C,,,BL,BL
PC_BL3_T7C_D,,1,2.4,cylinder,10,18.22123739,epiphytic algae. Some,BL3,T7C,D,T7,C,BL3_T7C,Y,,BL,BL
PC_BL3_T7C_E,,2.4,3.5,square,10.5,16.8,"dead, epiphytic algae",BL3,T7C,E,T7,C,BL3_T7C,Y,,BL,BL
PC_BL3_T7C_F,1.1,4.6,0.8,square,10,14.18,,BL3,T7C,F,T7,C,BL3_T7C,,,BL,BL
PC_BL3_T7H_A,,0.9,2.2,cylinder,10,14.98539696,"dead, epiphytic algae",BL3,T7H,A,T7,H,BL3_T7H,Y,,BL,BL
PC_BL3_T7H_B,,0.9,6.8,dome,10,19.39421456,"dead, overgrown by green epiphytic algae",BL3,T7H,B,T7,H,BL3_T7H,,,BL,BL
PC_BL3_T7H_C,,1.5,1.5,dome,10,9.996486611,,BL3,T7H,C,T7,H,BL3_T7H,,,BL,BL
PC_BL3_T7H_D,1,0.8,0.9,box,10,4.04,,BL3,T7H,D,T7,H,BL3_T7H,,,BL,BL
PC_BL3_T7H_E,2,2.5,1,box,13,14,"dead, overgrown by green epiphytic algae",BL3,T7H,E,T7,H,BL3_T7H,,,BL,BL
PC_BL3_T7H_F,2.4,2.5,0.8,box,12.5,13.84,,BL3,T7H,F,T7,H,BL3_T7H,,,BL,BL
PC_HE1_T0C_A,,1,3.2,cone,15,10.53253785,,HE1,T0C,A,T0,C,HE1_T0C,,,HE,HE
PC_HE1_T0C_B,,1.4,2.8,cone,10,13.76863687,,HE1,T0C,B,T0,C,HE1_T0C,,,HE,HE
PC_HE1_T0C_C,2.3,2.8,3,box,10,37.04,Lost ~2.5ml,HE1,T0C,C,T0,C,HE1_T0C,,,HE,HE
PC_HE1_T0C_D,1.5,2.2,3.2,box,15,26.98,,HE1,T0C,D,T0,C,HE1_T0C,,,HE,HE
PC_HE1_T0C_E,1.8,1.2,2.8,Box,15,18.96,lost some blastate,HE1,T0C,E,T0,C,HE1_T0C,,,HE,HE
PC_HE1_T0C_F,3.5,4.1,3.8,box with no lid or bottom,15,57.76,,HE1,T0C,F,T0,C,HE1_T0C,,,HE,HE
PC_HE1_T7C_A,,0.7,2.8,cylinder,10,13.8544236,,HE1,T7C,A,T7,C,HE1_T7C,,,HE,HE
PC_HE1_T7C_B,,0.9,4.7,cylinder,10,29.1225639,lost some blastate,HE1,T7C,B,T7,C,HE1_T7C,Y,Y,HE,HE
PC_HE1_T7C_C,2.3,1.3,2.4,box,10,20.27,,HE1,T7C,C,T7,C,HE1_T7C,,,HE,HE
PC_HE1_T7C_D,1.4,1.8,3.5,box,15,24.92,,HE1,T7C,D,T7,C,HE1_T7C,,,HE,HE
PC_HE1_T7C_E,,1.3,2.3,cylinder,10.5,24.09601565,lost some blastate,HE1,T7C,E,T7,C,HE1_T7C,Y,Y,HE,HE
PC_HE1_T7C_F,1.1,1.3,3.1,box,10,16.31,,HE1,T7C,F,T7,C,HE1_T7C,,,HE,HE
PC_HE1_T7H_A,,1,8,cone,10,25.32832971,epiphytic algae. Some,HE1,T7H,A,T7,H,HE1_T7H,,,HE,HE
PC_HE1_T7H_B,,1,4,cylinder,10,28.27433388,,HE1,T7H,B,T7,H,HE1_T7H,,,HE,HE
PC_HE1_T7H_C,,1.8,1.4,dome,10,12.89508026,,HE1,T7H,C,T7,H,HE1_T7H,,,HE,HE
PC_HE1_T7H_D,2.6,1.6,2.6,box,10,26,epiphytic algae. Some,HE1,T7H,D,T7,H,HE1_T7H,Y,,HE,HE
PC_HE1_T7H_E,0.9,1.7,2.7,box,15,15.57,,HE1,T7H,E,T7,H,HE1_T7H,,,HE,HE
PC_HE1_T7H_F,,2,2.1,dome,10,18.2,,HE1,T7H,F,T7,H,HE1_T7H,,,HE,HE
PC_HE2_T0C_A,,1.2,2.4,cylinder,10,22.61946711,,HE2,T0C,A,T0,C,HE2_T0C,,,HE,HE
PC_HE2_T0C_B,,0.9,1.8,cylinder,10,12.72345025,,HE2,T0C,B,T0,C,HE2_T0C,,,HE,HE
PC_HE2_T0C_C,1.4,3.1,3.6,box,10,36.74,,HE2,T0C,C,T0,C,HE2_T0C,,,HE,HE
PC_HE2_T0C_D,2.3,1.5,2.8,cylinder,10,33.45796176,,HE2,T0C,D,T0,C,HE2_T0C,,,HE,HE
PC_HE2_T0C_E,1,2,2.2,box,15,15.2,,HE2,T0C,E,T0,C,HE2_T0C,,,HE,HE
PC_HE2_T0C_F,,2.4,3.1,cone,15,29.55956565,,HE2,T0C,F,T0,C,HE2_T0C,,,HE,HE
PC_HE2_T7C_A,,1,7,cone,10,22.21441469,,HE2,T7C,A,T7,C,HE2_T7C,,,HE,HE
PC_HE2_T7C_B,,0.9,3.2,cylinder,10.5,20.64026373,,HE2,T7C,B,T7,C,HE2_T7C,,,HE,HE
PC_HE2_T7C_C,,1.6,3.9,cylinder,10,47.24955351,lost some blastate,HE2,T7C,C,T7,C,HE2_T7C,,,HE,HE
PC_HE2_T7C_D,1.1,1.5,2.7,box,10,15.69,lost some blastate,HE2,T7C,D,T7,C,HE2_T7C,,,HE,HE
PC_HE2_T7C_E,1.7,2.2,2.3,box,10,21.68,,HE2,T7C,E,T7,C,HE2_T7C,,,HE,HE
PC_HE2_T7C_F,0.9,1.6,2.1,box,10,11.94,lost some blastate,HE2,T7C,F,T7,C,HE2_T7C,Y,,HE,HE
PC_HE2_T7H_A,,0.9,2.9,cylinder,10,18.9438037,,HE2,T7H,A,T7,H,HE2_T7H,,,HE,HE
