Tree#,Groups,WScore
1,A1_a_T36-A3_a_T36,0.138875
1,A1_c_T00-A3_a_T36,0.31206
1,A1_c_T36-A3_a_T36,0.25261
1,A1_w_T00-A3_a_T36,0.325233
1,A1_w_T36-A3_a_T36,0.139763
1,A1_x_T00-A3_a_T36,0.442876
1,A1_x_T_48-A3_a_T36,0.591342
1,A2_a_T00-A3_a_T36,0.390195
1,A2_a_T36-A3_a_T36,0.164282
1,A2_c_T00-A3_a_T36,0.353092
1,A2_c_T36-A3_a_T36,0.156731
1,A2_w_T00-A3_a_T36,0.381512
1,A2_w_T36-A3_a_T36,0.150248
1,A2_x_T00-A3_a_T36,0.482099
1,A2_x_T_48-A3_a_T36,0.638722
1,A3_a_T00-A3_a_T36,0.300512
1,A1_a_T00-A3_c_T00,0.197328
1,A1_a_T36-A3_c_T00,0.286457
1,A1_c_T00-A3_c_T00,0.160689
1,A1_c_T36-A3_c_T00,0.35369
1,A1_w_T00-A3_c_T00,0.170121
1,A1_w_T36-A3_c_T00,0.307652
1,A1_x_T00-A3_c_T00,0.25985
1,A1_x_T_48-A3_c_T00,0.476079
1,A2_a_T00-A3_c_T00,0.24469
1,A2_a_T36-A3_c_T00,0.324004
1,A2_c_T00-A3_c_T00,0.176614
1,A2_c_T36-A3_c_T00,0.360834
1,A2_w_T00-A3_c_T00,0.206794
1,A2_w_T36-A3_c_T00,0.296881
1,A2_x_T00-A3_c_T00,0.306407
1,A2_x_T_48-A3_c_T00,0.522716
1,A3_a_T00-A3_c_T00,0.113961
1,A3_a_T36-A3_c_T00,0.305857
1,A1_a_T00-A3_c_T36,0.346218
1,A1_a_T36-A3_c_T36,0.270632
1,A1_c_T00-A3_c_T36,0.316027
1,A1_c_T36-A3_c_T36,0.143379
1,A1_w_T00-A3_c_T36,0.348326
1,A1_w_T36-A3_c_T36,0.270781
1,A1_x_T00-A3_c_T36,0.453579
1,A1_x_T_48-A3_c_T36,0.597847
1,A2_a_T00-A3_c_T36,0.368438
1,A2_a_T36-A3_c_T36,0.312347
1,A2_c_T00-A3_c_T36,0.360553
1,A2_c_T36-A3_c_T36,0.251956
1,A2_w_T00-A3_c_T36,0.413249
1,A2_w_T36-A3_c_T36,0.301137
1,A2_x_T00-A3_c_T36,0.491123
1,A2_x_T_48-A3_c_T36,0.634611
1,A3_a_T00-A3_c_T36,0.3402
1,A3_a_T36-A3_c_T36,0.275438
1,A3_c_T00-A3_c_T36,0.34988
1,A1_a_T00-A3_w_T00,0.195685
1,A1_a_T36-A3_w_T00,0.301739
1,A1_c_T00-A3_w_T00,0.177787
1,A1_c_T36-A3_w_T00,0.367975
1,A1_w_T00-A3_w_T00,0.149924
1,A1_w_T36-A3_w_T00,0.318553
1,A1_x_T00-A3_w_T00,0.25474
1,A1_x_T_48-A3_w_T00,0.473228
1,A2_a_T00-A3_w_T00,0.239871
1,A2_a_T36-A3_w_T00,0.341987
1,A2_c_T00-A3_w_T00,0.185843
1,A2_c_T36-A3_w_T00,0.383568
1,A2_w_T00-A3_w_T00,0.169146
1,A2_w_T36-A3_w_T00,0.317265
1,A2_x_T00-A3_w_T00,0.296905
1,A2_x_T_48-A3_w_T00,0.511433
1,A3_a_T00-A3_w_T00,0.119432
1,A3_a_T36-A3_w_T00,0.308868
1,A3_c_T00-A3_w_T00,0.111355
1,A3_c_T36-A3_w_T00,0.36738
1,A1_a_T00-A3_w_T36,0.305454
1,A1_a_T36-A3_w_T36,0.198014
1,A1_c_T00-A3_w_T36,0.291206
1,A1_c_T36-A3_w_T36,0.318676
1,A1_w_T00-A3_w_T36,0.283766
1,A1_w_T36-A3_w_T36,0.139854
1,A1_x_T00-A3_w_T36,0.417355
1,A1_x_T_48-A3_w_T36,0.577092
1,A2_a_T00-A3_w_T36,0.361559
1,A2_a_T36-A3_w_T36,0.223244
1,A2_c_T00-A3_w_T36,0.323274
1,A2_c_T36-A3_w_T36,0.221427
1,A2_w_T00-A3_w_T36,0.331482
1,A2_w_T36-A3_w_T36,0.174638
1,A2_x_T00-A3_w_T36,0.453042
1,A2_x_T_48-A3_w_T36,0.615938
1,A3_a_T00-A3_w_T36,0.286952
1,A3_a_T36-A3_w_T36,0.133057
1,A3_c_T00-A3_w_T36,0.281483
1,A3_c_T36-A3_w_T36,0.311415
1,A3_w_T00-A3_w_T36,0.276687
1,A1_a_T00-A3_x_T00,0.256074
1,A1_a_T36-A3_x_T00,0.411898
1,A1_c_T00-A3_x_T00,0.278642
1,A1_c_T36-A3_x_T00,0.482959
1,A1_w_T00-A3_x_T00,0.290121
1,A1_w_T36-A3_x_T00,0.431646
1,A1_x_T00-A3_x_T00,0.155985
1,A1_x_T_48-A3_x_T00,0.381775
1,A2_a_T00-A3_x_T00,0.248459
1,A2_a_T36-A3_x_T00,0.442635
1,A2_c_T00-A3_x_T00,0.255419
1,A2_c_T36-A3_x_T00,0.510344
1,A2_w_T00-A3_x_T00,0.258612
1,A2_w_T36-A3_x_T00,0.416285
1,A2_x_T00-A3_x_T00,0.175824
1,A2_x_T_48-A3_x_T00,0.414527
1,A3_a_T00-A3_x_T00,0.23953
1,A3_a_T36-A3_x_T00,0.447315
1,A3_c_T00-A3_x_T00,0.265896
1,A3_c_T36-A3_x_T00,0.492994
1,A3_w_T00-A3_x_T00,0.26214
1,A3_w_T36-A3_x_T00,0.431685
1,A1_a_T00-A3_x_T_48,0.412925
1,A1_a_T36-A3_x_T_48,0.531374
1,A1_c_T00-A3_x_T_48,0.417472
1,A1_c_T36-A3_x_T_48,0.57417
1,A1_w_T00-A3_x_T_48,0.425426
1,A1_w_T36-A3_x_T_48,0.539636
1,A1_x_T00-A3_x_T_48,0.315559
1,A1_x_T_48-A3_x_T_48,0.081321
1,A2_a_T00-A3_x_T_48,0.359339
1,A2_a_T36-A3_x_T_48,0.558405
1,A2_c_T00-A3_x_T_48,0.37972
1,A2_c_T36-A3_x_T_48,0.610365
1,A2_w_T00-A3_x_T_48,0.389401
1,A2_w_T36-A3_x_T_48,0.540021
1,A2_x_T00-A3_x_T_48,0.266203
1,A2_x_T_48-A3_x_T_48,0.129163
1,A3_a_T00-A3_x_T_48,0.433872
1,A3_a_T36-A3_x_T_48,0.56949
1,A3_c_T00-A3_x_T_48,0.435686
1,A3_c_T36-A3_x_T_48,0.591785
1,A3_w_T00-A3_x_T_48,0.430321
1,A3_w_T36-A3_x_T_48,0.556976
1,A3_x_T00-A3_x_T_48,0.324737
