ID1,ID2,EdgeType,Score,Annotation
1490,2169,MS1 annotation,3.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
1490,1595,MS1 annotation,3.000,[M+ACN+H]+ [M+ACN+H]+ dm/z=0.0000
1495,8665,MS1 annotation,5.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
1495,8421,MS1 annotation,5.000,[M+NH4]+ [M+NH4]+ dm/z=0.0000
1495,7798,MS1 annotation,5.000,[M+NH4]+ [M+NH4]+ dm/z=0.0000
1497,1731,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
1499,1578,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
1549,2668,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0002
1565,1718,MS1 annotation,3.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
1565,9112,MS1 annotation,3.000,[M+NH4]+ [M+NH4]+ dm/z=0.0000
1566,1653,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
1569,8978,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0264
1570,1736,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9845
1588,2069,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9817
1594,1789,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9820
1595,2169,MS1 annotation,3.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
1661,2229,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0001
1688,1725,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
1691,5294,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
1699,4958,MS1 annotation,3.000,[M+ACN+Na]+ [2M+H]+ dm/z=271.1497
1699,4494,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
1701,2500,MS1 annotation,3.000,[M-H2O+H]+ [M+H]+ dm/z=18.0104
1711,6610,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=23.9999
1717,2337,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9842
1718,9112,MS1 annotation,3.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
1721,1957,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0001
1737,3001,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0270
1743,9207,MS1 annotation,3.000,[M+Na]+ [M+K]+ dm/z=15.9734
1751,8986,MS1 annotation,4.000,[M+K]+ [M+Na]+ dm/z=15.9743
1751,2385,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9826
1812,2554,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9822
1815,1819,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
1844,2483,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0269
1874,11240,MS1 annotation,2.000,[M-H2O+Na]+ [M+K]+ dm/z=33.9843
1875,2465,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
1897,2178,MS1 annotation,3.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
1897,9511,MS1 annotation,3.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
1911,2639,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
1919,3723,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0267
1919,6401,MS1 annotation,3.000,[M+HFA+NH4]+ [M+NH4]+ dm/z=46.0053
1929,9395,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
1970,11723,MS1 annotation,2.000,[M+NH4]+ [M+HFA+H]+ dm/z=28.9788
1989,2662,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0267
2001,4706,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
2031,2067,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0371
2045,2951,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0372
2059,2282,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
2059,4060,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0268
2081,2628,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9818
2113,6494,MS1 annotation,3.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
2113,6755,MS1 annotation,3.000,[M+NH4]+ [M+NH4]+ dm/z=0.0000
2122,3987,MS1 annotation,6.000,[M-H2O+H]+ [M+H]+ dm/z=18.0107
2122,2740,MS1 annotation,6.000,[M+NH4]+ [M+H]+ dm/z=17.0263
2122,9451,MS1 annotation,6.000,[M+NH4]+ [M+H]+ dm/z=17.0262
2122,3362,MS1 annotation,6.000,[M+NH4]+ [M+H]+ dm/z=17.0263
2122,3248,MS1 annotation,6.000,[M+H]+ [M+H]+ dm/z=0.0000
2122,8282,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0368
2128,2429,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0001
2152,7037,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9819
2152,5317,MS1 annotation,4.000,[M+NH4]+ [M+H]+ dm/z=17.0266
2152,5360,MS1 annotation,4.000,[M-H2O+H]+ [M+H]+ dm/z=18.0105
2157,2903,MS1 annotation,3.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0478
2157,3019,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
2165,2357,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0373
2170,6260,MS1 annotation,4.000,[M+Na]+ [M+2H]2+ dm/z=383.1970
2170,9419,MS1 annotation,4.000,[M+H]+ [M+2H]2+ dm/z=361.2152
2178,9511,MS1 annotation,3.000,[M+NH4]+ [M+NH4]+ dm/z=0.0000
2181,2954,MS1 annotation,2.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0477
2192,7327,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
2192,5992,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
2202,3426,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0267
2282,4060,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9826
2301,3552,MS1 annotation,3.000,[M-H2O+H]+ [M+H]+ dm/z=18.0106
2309,6586,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
2331,7317,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
2343,2374,MS1 annotation,2.000,[M+Na]+ [M-H2O+NH4]+ dm/z=22.9657
2365,3663,MS1 annotation,2.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0477
2369,3302,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
2385,8986,MS1 annotation,4.000,[M+K]+ [M+H]+ dm/z=37.9568
2396,3766,MS1 annotation,2.000,[M+HFA+NH4]+ [M+H]+ dm/z=63.0320
2399,5825,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0001
2406,2788,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=23.9999
2419,2869,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
2447,3026,MS1 annotation,3.000,[M-H2O+H]+ [M+H]+ dm/z=18.0108
2447,3030,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
2458,4073,MS1 annotation,3.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
2458,7673,MS1 annotation,3.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
2461,3409,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0371
2485,3183,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9931
2497,6543,MS1 annotation,2.000,[M+H]+ [M+HFA+NH4]+ dm/z=63.0322
2502,3351,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0263
2511,3931,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0371
2513,3549,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
2638,9561,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=23.9998
2645,7786,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
2663,2724,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0002
2672,4951,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9995
2679,9082,MS1 annotation,5.000,[M-H2O+H]+ [M+H]+ dm/z=18.0108
2679,9091,MS1 annotation,5.000,[M+K]+ [M+H]+ dm/z=37.9563
2679,11765,MS1 annotation,5.000,[M-2H2O+H]+ [M+H]+ dm/z=36.0214
2695,4899,MS1 annotation,3.000,[M+NH4]+ [M+NH4]+ dm/z=0.0000
2695,5086,MS1 annotation,3.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
2697,3597,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
2708,3826,MS1 annotation,3.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9844
2708,2962,MS1 annotation,3.000,[M-2H2O+Na]+ [M-H2O+Na]+ dm/z=18.0106
2728,3631,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
2730,10043,MS1 annotation,2.000,[M+HFA+NH4]+ [M+H]+ dm/z=63.0321
2740,3987,MS1 annotation,6.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0369
2740,9451,MS1 annotation,6.000,[M+NH4]+ [M+NH4]+ dm/z=0.0001
2740,3362,MS1 annotation,6.000,[M+NH4]+ [M+NH4]+ dm/z=0.0000
2740,3248,MS1 annotation,6.000,[M+H]+ [M+NH4]+ dm/z=17.0263
2763,3454,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9819
2766,3181,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
2776,9522,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9838
2802,9831,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9844
2802,3507,MS1 annotation,2.000,[2M+Fe-2H]+ [M+HFA+Na]+ dm/z=141.0788
2803,10474,MS1 annotation,5.000,[M-H2O+H]+ [M+2H]2+ dm/z=208.1570
2804,8549,MS1 annotation,3.000,[M-2H2O+Na]+ [M+K]+ dm/z=51.9951
2812,3685,MS1 annotation,2.000,[M+K]+ [M+ACN+Na]+ dm/z=25.0527
2816,5720,MS1 annotation,3.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0478
2816,5496,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0371
2820,4592,MS1 annotation,3.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9997
2820,4026,MS1 annotation,3.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0479
2820,10800,MS1 annotation,2.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9946
2863,3255,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0262
2874,7543,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0370
2874,4049,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0264
2879,6006,MS1 annotation,4.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0478
2879,5673,MS1 annotation,4.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0480
2879,7339,MS1 annotation,4.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
2899,10514,MS1 annotation,2.000,[M+2H]2+ [M+NH4]+ dm/z=510.3206
2899,10514,MS1 annotation,2.000,[M+H]+ [2M+NH4]+ dm/z=510.3206
2903,3019,MS1 annotation,3.000,[M+H]+ [M-2H2O+H]+ dm/z=36.0212
2926,2964,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
2937,2958,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
2940,4451,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0367
2940,4715,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9561
2954,9752,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0372
2962,3826,MS1 annotation,3.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9950
2965,4125,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
2970,9395,MS1 annotation,2.000,[M-2H2O+Na]+ [M+K]+ dm/z=51.9951
2970,3706,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
2973,6048,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0004
2974,5575,MS1 annotation,4.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0479
2974,5525,MS1 annotation,4.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0479
2974,7710,MS1 annotation,4.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0373
2978,10649,MS1 annotation,4.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0478
2978,3146,MS1 annotation,4.000,[M-H2O+H]+ [M-2H2O+H]+ dm/z=18.0106
2978,3222,MS1 annotation,4.000,[M-2H2O+H]+ [M-2H2O+H]+ dm/z=0.0000
2982,3257,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0263
2982,4161,MS1 annotation,5.000,[M-H2O+H]+ [M+H]+ dm/z=18.0107
2982,7991,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0264
2982,10089,MS1 annotation,5.000,[M-H2O+H]+ [M+H]+ dm/z=18.0107
2982,4929,MS1 annotation,4.000,[M+ACN+H]+ [M-H2O+H]+ dm/z=59.0370
2982,3464,MS1 annotation,4.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0369
2982,4161,MS1 annotation,4.000,[M-2H2O+H]+ [M-H2O+H]+ dm/z=18.0107
2982,4125,MS1 annotation,2.000,[M-2H2O+Na]+ [M+K]+ dm/z=51.9950
2986,3298,MS1 annotation,3.000,[M+NH4]+ [M+NH4]+ dm/z=0.0005
2986,3419,MS1 annotation,3.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9996
2988,10573,MS1 annotation,3.000,[M-H2O+Na]+ [M+K]+ dm/z=33.9843
2988,9814,MS1 annotation,3.000,[M-H2O+Na]+ [M+K]+ dm/z=33.9843
2991,3318,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0371
3003,5194,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
3010,4204,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
3023,5370,MS1 annotation,4.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0370
3023,4093,MS1 annotation,4.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0371
3023,8389,MS1 annotation,4.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0477
3026,3030,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0371
3038,7833,MS1 annotation,2.000,[M-H2O+Na]+ [M+K]+ dm/z=33.9844
3039,3628,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
3039,9102,MS1 annotation,3.000,[M-H2O+H]+ [M+H]+ dm/z=18.0105
3042,12123,MS1 annotation,2.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0478
3061,5170,MS1 annotation,2.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0477
3063,4769,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0001
3071,5774,MS1 annotation,2.000,[M+Na]+ [M-H2O+NH4]+ dm/z=22.9657
3083,3517,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
3100,4204,MS1 annotation,2.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9949
3109,10941,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0004
3121,9734,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9845
3143,8641,MS1 annotation,2.000,[M-H2O+Na]+ [M+K]+ dm/z=33.9844
3146,10649,MS1 annotation,4.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0372
3146,3222,MS1 annotation,4.000,[M-2H2O+H]+ [M-H2O+H]+ dm/z=18.0106
3151,6801,MS1 annotation,5.000,[M+NH4]+ [M+NH4]+ dm/z=0.0000
3151,9719,MS1 annotation,5.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0001
3151,8788,MS1 annotation,5.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
3151,3630,MS1 annotation,5.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0369
3151,8092,MS1 annotation,3.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9840
3151,8783,MS1 annotation,3.000,[M-2H2O+Na]+ [M-H2O+Na]+ dm/z=18.0106
3154,10131,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
3158,3339,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0263
3163,4241,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
3163,7689,MS1 annotation,3.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0478
3179,4664,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
3187,3378,MS1 annotation,3.000,[M+HFA+K]+ [M+HFA+K]+ dm/z=0.0000
3187,3514,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0002
3192,7261,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
3203,9089,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
3216,10618,MS1 annotation,2.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9950
3221,3543,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
3221,9607,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0268
3222,10649,MS1 annotation,4.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0478
3225,4308,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0370
3227,3400,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9997
3238,5627,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9998
3248,3987,MS1 annotation,6.000,[M-H2O+H]+ [M+H]+ dm/z=18.0106
3248,9451,MS1 annotation,6.000,[M+NH4]+ [M+H]+ dm/z=17.0262
3248,3362,MS1 annotation,6.000,[M+NH4]+ [M+H]+ dm/z=17.0263
3251,5838,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
3257,4161,MS1 annotation,5.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0371
3257,7991,MS1 annotation,5.000,[M+NH4]+ [M+NH4]+ dm/z=0.0000
3257,10089,MS1 annotation,5.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0370
3257,5933,MS1 annotation,2.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9946
3270,4273,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
3271,7754,MS1 annotation,2.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0477
3285,3807,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0002
3288,4747,MS1 annotation,2.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9944
3296,4631,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
3298,3419,MS1 annotation,3.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0001
3341,10717,MS1 annotation,2.000,[2M+Na]+ [M+H]+ dm/z=416.1452
3355,5086,MS1 annotation,2.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0477
3359,3685,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
3362,3987,MS1 annotation,6.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0369
3362,9451,MS1 annotation,6.000,[M+NH4]+ [M+NH4]+ dm/z=0.0001
3362,8584,MS1 annotation,2.000,[M+H]+ [M+HFA+NH4]+ dm/z=63.0320
3366,3467,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
3380,4819,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
3406,4051,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
3410,3527,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0371
3417,4465,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
3443,4462,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
3443,4304,MS1 annotation,2.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9950
3447,7369,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=23.9999
3453,9354,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
3453,9354,MS1 annotation,3.000,[2M+Na]+ [2M+H]+ dm/z=21.9819
3464,4929,MS1 annotation,4.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0001
3464,4161,MS1 annotation,4.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0476
3464,5090,MS1 annotation,2.000,[M+H]+ [M+HFA+NH4]+ dm/z=63.0320
3465,8196,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
3467,3588,MS1 annotation,3.000,[M-H2O+H]+ [M-H2O+H]+ dm/z=0.0000
3467,5530,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0369
3469,4115,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
3473,6017,MS1 annotation,2.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9946
3484,5314,MS1 annotation,2.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0473
3493,7833,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=23.9999
3493,5683,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0264
3504,4261,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0262
3508,7379,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0264
3534,4631,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0269
3536,5508,MS1 annotation,3.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0478
3536,7295,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
3542,5242,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9942
3542,5242,MS1 annotation,2.000,[M+Na]+ [2M-2H2O+2H]2+ dm/z=39.9942
3543,9607,MS1 annotation,3.000,[M+H]+ [M-H2O+H]+ dm/z=18.0103
3545,5980,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0006
3550,8008,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
3565,5382,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9992
3566,4114,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
3588,5530,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0369
3592,9721,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0371
3613,5572,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
3620,9048,MS1 annotation,2.000,[M+H]+ [M+HFA+NH4]+ dm/z=63.0318
3625,5505,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0370
3628,9102,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
3630,6801,MS1 annotation,5.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0369
3630,9719,MS1 annotation,5.000,[M+ACN+H]+ [M-H2O+H]+ dm/z=59.0370
3630,8788,MS1 annotation,5.000,[M+ACN+H]+ [M-H2O+H]+ dm/z=59.0369
3634,4937,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9995
3640,5354,MS1 annotation,4.000,[M-2H2O+Na]+ [M-2H2O+Na]+ dm/z=0.0001
3640,10799,MS1 annotation,4.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9949
3640,6621,MS1 annotation,4.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9948
3665,7712,MS1 annotation,2.000,[M+H]+ [M+HFA+NH4]+ dm/z=63.0322
3665,8301,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0370
3670,9380,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0264
3693,10466,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9998
3693,9669,MS1 annotation,2.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9943
3702,5683,MS1 annotation,2.000,[M-H2O+NH4]+ [M+H]+ dm/z=0.9842
3702,4218,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0001
3703,7521,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0370
3703,4188,MS1 annotation,3.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9997
3703,7946,MS1 annotation,2.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9943
3716,6930,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0001
3723,6401,MS1 annotation,3.000,[M+HFA+NH4]+ [M+H]+ dm/z=63.0320
3728,4258,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9998
3728,5026,MS1 annotation,2.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9942
3769,11963,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9996
3786,4207,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0264
3793,4283,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
3795,4552,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0372
3795,4798,MS1 annotation,3.000,[M+H]+ [M-H2O+H]+ dm/z=18.0106
3802,10861,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9994
3827,9690,MS1 annotation,3.000,[M+NH4]+ [M+ACN+H]+ dm/z=23.9996
3827,8493,MS1 annotation,3.000,[M+ACN+H]+ [M+ACN+H]+ dm/z=0.0001
3848,4947,MS1 annotation,3.000,[M+ACN+H]+ [M+H]+ dm/z=41.0258
3848,9335,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0263
3868,5783,MS1 annotation,2.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9950
3872,7937,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
3873,7100,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
