ID1,ID2,EdgeType,Score,Annotation
310,559,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
345,490,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0267
365,684,MS1 annotation,4.000,[M+K]+ [M+H]+ dm/z=37.9559
373,704,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
374,4869,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0267
385,3453,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
385,9354,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
395,961,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0265
401,472,MS1 annotation,5.000,[M-2H2O+H]+ [M-H2O+H]+ dm/z=18.0105
401,494,MS1 annotation,5.000,[M-H2O+NH4]+ [M-H2O+H]+ dm/z=17.0266
401,444,MS1 annotation,5.000,[M+H]+ [M-H2O+H]+ dm/z=18.0106
401,472,MS1 annotation,3.000,[M-H2O+H]+ [M+H]+ dm/z=18.0105
401,494,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
407,655,MS1 annotation,2.000,[M+H]+ [M-H2O+NH4]+ dm/z=0.9840
418,477,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0263
444,472,MS1 annotation,5.000,[M-2H2O+H]+ [M+H]+ dm/z=36.0211
444,494,MS1 annotation,5.000,[M-H2O+NH4]+ [M+H]+ dm/z=0.9840
472,494,MS1 annotation,5.000,[M-H2O+NH4]+ [M-2H2O+H]+ dm/z=35.0371
472,494,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0371
485,577,MS1 annotation,2.000,[M+H]+ [M-H2O+NH4]+ dm/z=0.9842
502,650,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
507,2803,MS1 annotation,5.000,[M+2H]2+ [M+NH4]+ dm/z=243.1948
507,763,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9553
507,10474,MS1 annotation,5.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0378
516,707,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
533,719,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0264
545,3533,MS1 annotation,2.000,[2M+Fe-2H]+ [M-H2O+K]+ dm/z=530.3307
548,766,MS1 annotation,3.000,[M-H2O+H]+ [M+H]+ dm/z=18.0101
567,643,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
570,6260,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
570,9419,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0264
570,2170,MS1 annotation,4.000,[M+2H]2+ [M+NH4]+ dm/z=378.2416
576,1877,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
583,5826,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
583,7296,MS1 annotation,3.000,[M-H2O+NH4]+ [M+NH4]+ dm/z=18.0106
583,6364,MS1 annotation,2.000,[M-H2O+NH4]+ [M+H]+ dm/z=0.9840
584,1109,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
639,3169,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0267
642,1751,MS1 annotation,4.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
642,8986,MS1 annotation,4.000,[M+K]+ [M+NH4]+ dm/z=20.9299
642,2385,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0269
659,1972,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9824
662,9464,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
667,2325,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
670,905,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
680,917,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
695,9466,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9556
706,2084,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
713,976,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
713,1041,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9817
715,2763,MS1 annotation,4.000,[M+H]+ [M+2H]2+ dm/z=317.1886
715,3454,MS1 annotation,4.000,[M+Na]+ [M+2H]2+ dm/z=339.1705
715,3454,MS1 annotation,3.000,[2M+Na]+ [M+H]+ dm/z=339.1705
722,7317,MS1 annotation,3.000,[2M+Na]+ [M-H2O+H]+ dm/z=266.1607
734,1675,MS1 annotation,2.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0372
736,3639,MS1 annotation,2.000,[2M+Fe-2H]+ [M-H2O+K]+ dm/z=361.2329
763,2803,MS1 annotation,5.000,[M+2H]2+ [M+Na]+ dm/z=248.1501
